,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.112152383,0.912197143,0.35718,0.267502966,0.454780352,0.824167032,1.072213345,0.912036765,0.477166852,0.305488066,0.343580419,0.264095366,0.165716781,0.088269521,0.098644537,0.039458983
X2,0.821824937,4.113699266,0.786571538,0.262513233,0.182987748,0.477692758,0.775118942,0.843851263,0.677571443,0.302899796,0.224499801,0.184456501,0.140357021,0.071946042,0.059924982,0.035652713
X3,0.178559479,1.210096681,5.373181679,0.662851951,0.284539453,0.267561894,0.378495985,0.62781193,0.764828019,0.422730065,0.25331103,0.129284433,0.073327443,0.055467597,0.066869609,0.041807842
X4,0.131498514,0.296068148,2.124829445,8.469693487,1.54078828,0.771833066,0.600526787,0.818121046,0.977894387,0.934365527,0.470195834,0.176421082,0.077685745,0.041180441,0.03999301,0.020932463
X5,0.29647084,0.222224977,0.289642429,2.639739073,5.571263604,2.3403397,1.485962581,1.293843915,1.098704916,1.338939353,0.886011121,0.415517309,0.129364978,0.04631329,0.08942119,0.056525487
X6,0.651273823,0.34442195,0.174036931,0.908704617,2.693851179,4.398584791,2.217369302,1.686240107,1.372838144,1.180521464,1.079717032,0.485371617,0.175233143,0.05783886,0.050125733,0.028330416
X7,0.75180171,0.96859807,0.626106413,0.508356221,1.298037639,2.159547257,3.394840013,2.178663148,1.577083663,1.249570075,0.928004469,0.547852405,0.245503639,0.083334281,0.075564612,0.05028454
X8,0.673521833,1.004757065,0.849707556,0.798894092,0.89369514,1.62409549,1.996966733,3.250892589,2.158730496,1.410538274,0.924265053,0.432664409,0.277222185,0.130666019,0.129261703,0.035833065
X9,0.331172831,0.631277332,0.840695458,1.101287933,1.036729452,1.370463079,1.7243929,1.915189315,2.750410582,1.696452766,1.073188624,0.311269629,0.193914868,0.090785322,0.101270087,0.035896274
X10,0.430283402,0.560138788,0.663516197,1.608367063,1.033548167,1.163978615,1.394100373,1.553416237,1.615894744,2.158879222,1.135464385,0.408646293,0.174900515,0.072600343,0.111480097,0.076615951
X11,0.377201134,0.718301909,0.982758956,1.415578973,1.24548843,1.538069938,1.318763007,1.244016254,1.575184335,1.795010782,1.896365666,0.799033881,0.314383182,0.104723517,0.130513268,0.089428671
X12,0.697475919,0.840485271,0.651645011,0.901436729,0.822222774,1.28877173,1.257079966,0.911712394,0.903192492,0.828087618,1.117939518,1.472846279,0.543685945,0.189314308,0.158156772,0.084506399
X13,0.54753317,0.50877282,0.337584479,0.469025072,0.482103242,0.705226362,0.803800563,0.817887599,0.581955271,0.513543061,0.533705222,0.695147254,1.022662678,0.329776769,0.274332044,0.082444164
X14,0.233646037,0.364699814,0.301274081,0.167469607,0.230048065,0.320330489,0.452488129,0.461592705,0.383389213,0.248646276,0.286299797,0.347706455,0.349350182,0.55404458,0.20932442,0.071019125
X15,0.218947634,0.631066398,0.58065875,0.551516081,0.281023019,0.478161441,0.45578764,0.802542505,0.767484705,0.678634591,0.533972398,0.469712174,0.708702139,0.549114865,1.124087622,0.292359649
X16,0.281580155,0.387818439,0.564441002,0.466931184,0.194410707,0.212010809,0.3124221,0.39689339,0.430441245,0.478822297,0.479944898,0.298957125,0.195234299,0.231791904,0.294632084,0.366545793
