,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,6.99790597,3.407572104,1.627322914,0.919670833,1.369561655,2.040571706,1.954155991,1.37110865,0.729273447,0.429206602,0.480044929,0.390563654,0.227854267,0.132659782,0.061061111,0.032434772
X2,3.118112972,13.778496,3.188723704,0.884439767,0.585519925,1.313671212,1.441104359,1.223012764,0.88090524,0.414756762,0.30986637,0.280657404,0.202779895,0.108024654,0.045511823,0.026784203
X3,0.998704624,4.570352917,14.41942702,1.62984756,0.794853281,0.743118962,0.833435197,0.86757617,0.85308752,0.491623501,0.295293946,0.149465587,0.096234425,0.080597206,0.048641186,0.025107027
X4,0.553633798,1.212949979,4.640718836,11.26539566,2.500412806,1.272384935,0.8277136,0.909217401,0.897956773,0.775925276,0.467557955,0.225220323,0.132193831,0.049759865,0.02396851,0.01293071
X5,0.872572836,0.771750703,0.839947137,4.195100807,5.858245979,2.836052177,1.593067877,1.220139813,0.964389019,0.964317519,0.728522093,0.414788314,0.233549373,0.03347553,0.025109426,0.016446898
X6,1.468783564,0.866401386,0.519661369,1.405787745,3.317782925,4.306276417,2.284999383,1.584103193,1.261061342,0.993233348,0.944330949,0.523589195,0.316780267,0.042088694,0.013237584,0.012292447
X7,1.307528817,1.745400053,1.329488852,0.701433739,1.443824022,2.324388333,2.53311634,1.82968965,1.390560459,1.07531491,0.800001713,0.566576202,0.329364938,0.04332826,0.02052915,0.012445828
X8,0.890097768,1.277226846,0.986183378,0.792165135,0.832038737,1.512941427,1.632776953,1.999252098,1.686240778,1.121538857,0.870578236,0.442926593,0.238284743,0.053688587,0.023375208,0.007690362
X9,0.609703025,0.980646474,1.006146259,0.937247083,0.926438379,1.274886353,1.494687329,1.529929455,1.783060969,1.358239978,1.038778951,0.419408044,0.299457452,0.0530049,0.021477365,0.010580562
X10,0.440817016,0.778931869,0.807270723,1.145902074,0.776339736,1.017153975,1.180842252,1.266249376,1.242899056,1.251707196,0.905618258,0.508745045,0.231197934,0.033440795,0.021074704,0.019183529
X11,0.536212427,0.86474574,1.09892494,1.029574455,0.86708791,1.264691825,1.209929956,1.141154427,1.459295999,1.476255931,1.235131004,0.74898485,0.303339482,0.033463724,0.025147137,0.021463038
X12,1.073817676,1.344933618,1.009742427,0.885698943,0.73697217,1.197902727,1.286179168,0.996308659,1.111123579,0.996156906,1.030078068,0.747501485,0.413246584,0.084300266,0.025512848,0.03055126
X13,0.605105986,0.656444095,0.542408087,0.440236794,0.500798109,0.778724783,0.84213654,0.937519188,0.877683271,0.828724497,0.733655949,0.668967412,0.328095025,0.079218025,0.026941158,0.007247726
X14,0.346882546,0.5635906,0.441813035,0.172559572,0.160968741,0.181828066,0.246534772,0.245315495,0.189193971,0.104354308,0.115218886,0.116523299,0.088060447,0.078487101,0.044269984,0.010272865
X15,0.145488866,0.459908049,0.370908799,0.256687507,0.072219708,0.138266143,0.103525524,0.177711689,0.156473713,0.15650319,0.151997911,0.093445277,0.095149659,0.06695153,0.051296891,0.048928359
X16,0.209507963,0.307035715,0.3930512,0.287239994,0.071361949,0.081916122,0.090539168,0.152454686,0.136651632,0.138755054,0.146996387,0.095951248,0.038770873,0.057847843,0.032158277,0.022497761
