,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.239237199,1.72279658,0.876352572,0.506616874,0.78424359,1.300195178,1.787100482,1.552847521,0.790155545,0.380066638,0.355842052,0.256352121,0.146343802,0.086044879,0.03811013,0.02529286
X2,1.518345644,10.02102128,2.166092763,0.593442644,0.350667841,0.916094544,1.542941142,1.675847519,1.205572512,0.461491181,0.250695534,0.198203072,0.130225585,0.075093821,0.030455449,0.022483269
X3,0.568663125,3.255918887,12.15070302,1.385749296,0.546398192,0.537208794,0.864272002,1.268044413,1.289215091,0.637429706,0.28761069,0.127445015,0.068764702,0.059722731,0.038403576,0.024295292
X4,0.280265689,0.715594709,3.976334896,10.94278204,1.640861863,0.852549227,0.715623763,0.987511505,1.017019827,0.868177978,0.409377136,0.145474427,0.062614966,0.036315771,0.017318172,0.011822705
X5,0.43518352,0.381143827,0.474210726,2.883425089,4.311218911,2.014119418,1.38041713,1.094820155,0.850168154,0.925634576,0.578421543,0.274226119,0.083345184,0.024074144,0.020094167,0.014987002
X6,0.938472054,0.553013605,0.283015554,0.978598927,2.374827586,3.737632755,2.213764037,1.577367142,1.10933547,0.818018528,0.727832242,0.359579493,0.141679316,0.038208158,0.011732664,0.013336545
X7,1.300558423,1.816346781,1.280321904,0.677754562,1.284471794,2.292788618,3.628510169,2.376463771,1.465373316,0.918577307,0.655404919,0.421801703,0.210346163,0.060593688,0.027065528,0.018020714
X8,1.203884331,1.980749871,1.559765493,0.875050611,0.836771904,1.602330463,2.322785513,3.388031899,2.015337047,1.0479224,0.636576647,0.320730678,0.200475831,0.105332122,0.047100389,0.015236838
X9,0.63762986,1.19060969,1.406274681,1.327911691,0.893366534,1.148085988,1.645414904,1.837346624,2.247761235,1.174985042,0.699386095,0.222562569,0.139260879,0.07506666,0.035803058,0.018436328
X10,0.307250978,0.71730438,0.776488492,1.356050853,0.756519149,0.814399035,1.031895504,1.15753026,1.092475776,1.190875819,0.624794828,0.242999227,0.083657613,0.032771076,0.02535413,0.026827051
X11,0.303891704,0.62665227,0.804147767,0.91158094,0.716230484,0.92828823,0.883598803,0.83121509,0.979470593,0.929611422,0.820994949,0.359658122,0.101292874,0.027391809,0.019645797,0.022967087
X12,0.464783214,0.651336015,0.484419291,0.561569391,0.450833681,0.744193837,0.811247854,0.621123083,0.601020149,0.458739908,0.475300404,0.448405575,0.159019489,0.052283632,0.016886619,0.017687435
X13,0.325877361,0.325694396,0.212381813,0.282660699,0.230828568,0.351191076,0.437681735,0.479581032,0.327950824,0.243349481,0.203951328,0.199601297,0.208596738,0.080157039,0.022853644,0.006891414
X14,0.180734768,0.283582745,0.227255309,0.113596927,0.122128903,0.163624565,0.273808019,0.27967826,0.210705111,0.097388175,0.084167563,0.099718165,0.090919712,0.153706964,0.046156041,0.009541459
X15,0.067704939,0.199779177,0.178554237,0.159048727,0.054590813,0.10273831,0.106869385,0.196033448,0.180786889,0.143416135,0.111128621,0.06825987,0.070202232,0.06572115,0.090214224,0.04988368
X16,0.097593216,0.150417937,0.200498075,0.172642415,0.050506175,0.057745624,0.083468571,0.127537061,0.131134644,0.121728709,0.109619859,0.05168124,0.024661782,0.038595973,0.030209632,0.040680286
