,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,5.856435972,2.905728477,1.434446719,0.863471203,1.190425611,1.597870801,1.521935781,1.162124879,0.6105675,0.352026267,0.348957294,0.29363218,0.179514322,0.114717606,0.068535137,0.027836133
X2,2.813424006,12.3298585,3.16906265,0.905799764,0.52603354,1.130840918,1.33943901,1.144317012,0.91403553,0.387640184,0.243990563,0.227412031,0.166017301,0.095615479,0.046827878,0.02503459
X3,1.090675308,4.989817524,20.13044975,1.887660108,0.785603632,0.663784117,0.786154514,0.917852746,0.836163368,0.470899332,0.256268866,0.141096106,0.087560913,0.07761253,0.052042168,0.027677222
X4,0.611596905,1.372886601,5.994475322,14.24457789,2.357701551,1.069343338,0.678950728,0.859045843,0.800542402,0.66396427,0.353769828,0.169505807,0.084471234,0.047091491,0.026033108,0.013851234
X5,0.873224336,0.71635754,0.753343171,4.237518166,5.161301711,2.169578081,1.153873837,0.899373906,0.69579697,0.683652485,0.459029343,0.253364379,0.093293417,0.028717042,0.027398057,0.016045079
X6,1.429238572,0.799769027,0.428856341,1.18975063,2.557289448,2.987825373,1.625302603,1.158996443,0.889066281,0.670811683,0.583700181,0.292467761,0.118289386,0.029296225,0.013118562,0.010002459
X7,1.306553217,1.677021216,1.292134538,0.60735047,1.053450948,1.667561635,1.817028653,1.415922822,1.008815236,0.74247861,0.521457855,0.326401456,0.13508065,0.033755154,0.018911071,0.010496893
X8,1.245569778,1.772785142,1.407448126,0.827238822,0.669490909,1.15453994,1.335661025,1.6670582,1.33575266,0.838717346,0.595840123,0.280391512,0.125405956,0.055156608,0.028244767,0.007997369
X9,0.78045568,1.288729167,1.27824267,1.113915218,0.730864796,0.917821576,1.129163941,1.239650787,1.403495389,1.025678833,0.71937197,0.245443041,0.122570437,0.041515636,0.019606911,0.010336829
X10,0.530476006,0.947576262,1.023252121,1.349249773,0.655120109,0.709517619,0.844645807,0.974255664,0.958499813,0.915198584,0.638518613,0.291617807,0.094325988,0.025831888,0.019733623,0.016741235
X11,0.616893003,0.883364879,1.237484457,1.109189941,0.702254547,0.870420817,0.82288124,0.79971636,1.031638395,1.03318621,0.788856454,0.446738655,0.122575329,0.027939922,0.0195638,0.01928939
X12,1.128258263,1.384408869,1.070153794,0.99831026,0.602588331,0.79186795,0.817344658,0.646113249,0.673380272,0.587206908,0.615794102,0.418943533,0.210170144,0.059722443,0.025872994,0.028466226
X13,1.064275518,1.167719319,0.816975005,0.699432411,0.399803128,0.447946233,0.475857636,0.525046225,0.39354075,0.352445714,0.321434692,0.340459595,0.154621266,0.12342916,0.047150924,0.01180698
X14,0.646986956,1.095505654,0.988982756,0.405619093,0.273210789,0.223423877,0.333769742,0.388040158,0.247868794,0.132849913,0.147057046,0.148066455,0.142267369,0.094699233,0.085140748,0.017756788
X15,0.431358144,1.411120547,1.106632533,0.795155633,0.150524457,0.234698491,0.211054473,0.366202883,0.190383765,0.27056909,0.202715078,0.185438235,0.203007107,0.169999054,0.083712331,0.092116393
X16,0.692265478,0.983073208,1.457675346,1.080862623,0.193874822,0.199912972,0.174456728,0.317458997,0.309297852,0.29458812,0.313576447,0.253362903,0.089140614,0.13658579,0.084814016,0.051344202
