,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,4.874041049,2.703903727,1.394963294,0.755393587,1.095645528,1.566025737,1.635508929,1.327016807,0.663837278,0.387118851,0.382393854,0.335761396,0.206516434,0.145154573,0.063573959,0.035888696
X2,2.518846168,14.59172145,3.312855647,0.88852084,0.543746524,1.191144801,1.453777373,1.416576125,0.946800539,0.439591054,0.288181718,0.281038119,0.211584938,0.133678633,0.052322417,0.034634121
X3,0.976258614,4.810639835,15.08950532,1.822597441,0.793271025,0.699015169,0.905790647,1.071185482,0.988396557,0.565413018,0.297273148,0.159728897,0.107307786,0.103514652,0.059181924,0.036235724
X4,0.486431853,1.193974434,5.566945921,16.44949749,2.174330108,1.064208685,0.74368426,0.9391249,0.85167144,0.741404252,0.410937678,0.207987993,0.123301201,0.056604427,0.025856534,0.015415349
X5,0.714596798,0.676553192,0.791364726,4.106474056,4.677342045,2.050398031,1.176036552,0.901046465,0.682290388,0.725709666,0.507076461,0.312156964,0.168020719,0.036501606,0.02674838,0.019651352
X6,1.180769395,0.734484469,0.473831877,1.206560252,2.424179757,2.920047476,1.615212275,1.123884814,0.787985475,0.649462364,0.603769091,0.362924003,0.217844474,0.042770881,0.013778641,0.012582151
X7,1.230092664,1.714236838,1.332055683,0.688718853,1.109097183,1.70620469,1.923204537,1.415384834,0.924476251,0.685493247,0.524911798,0.412931346,0.250126006,0.054157272,0.023814852,0.016580664
X8,1.084714867,1.665184983,1.297883199,0.833986392,0.678016594,1.141004948,1.33943592,1.683050588,1.180296096,0.743113617,0.550806288,0.330639169,0.214267766,0.08559741,0.036208748,0.012971318
X9,0.66588952,1.124504621,1.185634194,1.062121435,0.695732371,0.834985248,1.029860007,1.096923705,1.1859227,0.848469774,0.62716674,0.275469081,0.225797267,0.067537611,0.027831216,0.014297685
X10,0.427575545,0.863414379,0.918647607,1.297140207,0.642678856,0.689516466,0.774647639,0.867938766,0.799024309,0.822934636,0.597026786,0.34713484,0.171427672,0.041800067,0.02634167,0.024768512
X11,0.461264505,0.764615244,0.994327404,0.993541254,0.649781734,0.830473547,0.763467389,0.720611241,0.878183431,0.911612248,0.768877351,0.515096927,0.21683641,0.034759162,0.023947948,0.021406228
X12,1.026494273,1.327679644,1.063444946,0.929277295,0.627586383,0.945573743,0.979291623,0.737871478,0.752983907,0.707087756,0.744026619,0.584994667,0.342806909,0.090065032,0.027870471,0.032212912
X13,0.67667267,0.752735962,0.671465712,0.522849681,0.427837217,0.603359908,0.663120878,0.742325736,0.628437141,0.578549977,0.534769467,0.535012744,0.290496347,0.101078216,0.035412079,0.010784938
X14,0.529015858,0.866682351,0.694121121,0.279979008,0.245595291,0.265358907,0.37995603,0.406177388,0.300885955,0.160845723,0.169105307,0.172201411,0.137854503,0.126094688,0.067598994,0.018955883
X15,0.197016892,0.630385713,0.50776444,0.355584953,0.093751162,0.175454361,0.142060216,0.256238357,0.210620092,0.206783188,0.182554888,0.118851132,0.129348115,0.101144253,0.073672006,0.062241578
X16,0.359344942,0.516221075,0.697269023,0.505614272,0.122048205,0.130759655,0.150720514,0.262056684,0.238024298,0.236295045,0.243860193,0.161420599,0.065485919,0.102061417,0.05692374,0.041005147
