,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,4.964964198,2.954152768,1.495930138,0.827396183,1.035440978,1.461792083,1.289133423,1.113793278,0.594523243,0.380885162,0.392744719,0.325331014,0.232054828,0.15481032,0.076618495,0.037771987
X2,2.779335293,20.08732722,3.54324822,0.996055812,0.593661101,1.281818748,1.312122045,1.279727144,0.887626616,0.46293291,0.355125706,0.320590866,0.276171709,0.156243208,0.067525772,0.039577286
X3,1.027699925,5.19857266,13.14656632,1.672680946,0.744237861,0.713635028,0.755159752,0.856341036,0.733015546,0.45264664,0.285866229,0.153138885,0.128701738,0.113349107,0.068470941,0.036792667
X4,0.654557066,1.575729768,5.115228052,12.86249896,2.147874169,1.172340893,0.756851763,0.965581999,0.783456381,0.649499108,0.404282235,0.207909424,0.135381163,0.073818714,0.036280286,0.018775904
X5,0.849662636,0.884270763,0.868237723,3.734220567,4.015846954,2.164019912,1.223672545,1.013153268,0.757201979,0.70722885,0.524285322,0.315414261,0.138096176,0.042052943,0.031837973,0.021263051
X6,1.282470566,0.906704991,0.528648419,1.235118185,2.412251533,3.337722117,1.954354038,1.580237505,1.222298733,0.943243406,0.845743704,0.470312309,0.20459295,0.047248703,0.016670834,0.013140137
X7,1.189814915,2.002004256,1.345018475,0.673564794,1.150738024,2.05824704,2.108069289,1.816853681,1.388298914,1.070768417,0.77364278,0.552038151,0.239530902,0.052684702,0.024979284,0.01686315
X8,1.060400631,1.795738607,1.186591397,0.781008695,0.738861131,1.559173243,1.668771066,2.092349952,1.773005022,1.168150178,0.904277039,0.468105724,0.215882049,0.085271757,0.038196786,0.013994343
X9,0.805210208,1.405198354,1.242174168,0.987302136,0.789740324,1.294709707,1.535260828,1.643115654,1.765295481,1.371385143,1.057797089,0.438370059,0.253869398,0.088397044,0.034748198,0.01646493
X10,0.531978128,1.170127838,1.011839086,1.175865157,0.680456473,1.040886431,1.204961157,1.356190737,1.259213346,1.204514825,0.927754266,0.542489214,0.181113751,0.057076538,0.034383349,0.030046113
X11,0.602324412,1.057053721,1.12249873,0.931520947,0.678096535,1.180161582,1.177789179,1.16790922,1.454405975,1.452302126,1.170361139,0.752236579,0.214600315,0.044999803,0.034014294,0.024700477
X12,1.249662006,1.672119409,1.066771389,0.833888674,0.623870778,1.17343344,1.2983535,1.039092876,1.143291958,1.051024691,1.054469752,0.709244849,0.305321955,0.105985014,0.031444824,0.038690447
X13,0.863393756,1.004648914,0.65920634,0.492950071,0.365399492,0.585507739,0.629896479,0.733959682,0.624903335,0.543595017,0.517206584,0.435169935,0.159702754,0.098867436,0.040633633,0.012082699
X14,0.65240148,1.049116924,0.791334305,0.272621185,0.254165008,0.286705627,0.382601604,0.415206905,0.330704581,0.193035499,0.221690384,0.190844459,0.135342693,0.079561644,0.061162262,0.020025765
X15,0.269819683,0.884213703,0.687700834,0.407641189,0.11196334,0.242871861,0.158560987,0.299417911,0.280041888,0.277135633,0.287311883,0.152075483,0.171282061,0.104061295,0.058863769,0.06342999
X16,0.398197146,0.573455162,0.669933782,0.411588491,0.119474917,0.138428449,0.170662531,0.314139373,0.240375979,0.272733544,0.291801853,0.201746925,0.081061847,0.120224509,0.054961687,0.023770347
