,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.473932733,1.692057032,0.933964594,0.603479141,0.843146819,1.177163862,1.275631279,1.048877275,0.573634077,0.33543959,0.341049497,0.296100259,0.188393986,0.14333944,0.078632695,0.041420511
X2,1.584090765,6.892887511,2.270529546,0.674051678,0.389915649,0.868596736,1.179603232,1.141666462,0.892903833,0.38374661,0.244420009,0.236214348,0.186008493,0.129924149,0.059061955,0.04161555
X3,0.667572409,3.399858695,15.06394622,1.904484725,0.772468766,0.601325503,0.851851347,1.145768698,1.195107501,0.652712964,0.341719056,0.183876947,0.120577269,0.125404198,0.084380821,0.061507835
X4,0.378437552,0.933240409,5.513645003,15.91726414,2.552733683,1.111591602,0.785758653,1.071265398,1.158792363,0.992394938,0.524014655,0.240419137,0.119102189,0.076024098,0.040669602,0.026312873
X5,0.53810845,0.461162841,0.677173682,4.349805501,5.373494647,2.216593714,1.311346476,1.087198133,0.906624938,0.968288525,0.667428648,0.38233996,0.142100717,0.04959577,0.047425419,0.036399406
X6,0.84863741,0.507293159,0.346260734,1.177112972,2.531576238,3.146287188,1.776822321,1.331215722,1.058716064,0.82794178,0.774494619,0.435490916,0.184458248,0.051565136,0.021885882,0.016239002
X7,0.826029519,1.173393525,1.035232387,0.631498492,1.161435739,1.785247655,2.283961982,1.677495269,1.220300098,0.888359666,0.664850527,0.482321791,0.22226353,0.068375749,0.034127599,0.026196277
X8,0.771983391,1.229011553,1.134044564,0.848421683,0.773563038,1.303407261,1.575359319,2.156231342,1.630086823,0.991054561,0.714963282,0.395871371,0.214465926,0.112462707,0.058365438,0.021040221
X9,0.466888139,0.854665941,1.14331612,1.201174435,0.894794701,1.077480193,1.352291933,1.488618367,1.817304049,1.200629543,0.842724394,0.332658748,0.185536291,0.083844113,0.048807063,0.023028137
X10,0.3715461,0.581984806,0.763584541,1.390817847,0.79871003,0.851851152,0.992507724,1.107784492,1.120676237,1.17195361,0.760336868,0.384021264,0.130630628,0.047298712,0.040265472,0.037072194
X11,0.344193205,0.580681823,0.946645214,1.126763222,0.876530464,1.090049929,0.99874469,0.93806326,1.195855114,1.199512685,1.043604305,0.60454485,0.180839162,0.05028388,0.036755264,0.033186737
X12,0.661392435,0.791905985,0.766663313,0.861117071,0.703659681,1.07560548,1.108152205,0.841647215,0.893929076,0.737326338,0.825281675,0.718525496,0.300961814,0.100691116,0.040666202,0.031954571
X13,0.597515899,0.566346101,0.437463518,0.525093715,0.45572702,0.64805161,0.73378829,0.764286641,0.557288307,0.447464991,0.415403788,0.46383194,0.349635478,0.187421174,0.076382193,0.02695355
X14,0.412417928,0.608689795,0.508869458,0.273958405,0.304811301,0.365236376,0.539024812,0.569409289,0.439384793,0.198978951,0.187829065,0.235071104,0.243767354,0.311333482,0.120850765,0.041594507
X15,0.186994689,0.543801324,0.49050791,0.451764518,0.16472767,0.280563958,0.256036936,0.478259901,0.458820744,0.35778763,0.247677304,0.165102681,0.235107281,0.235022904,0.253193136,0.129864953
X16,0.298011104,0.411791372,0.624066641,0.510212082,0.171687803,0.165812785,0.232826922,0.41291551,0.420793009,0.397576597,0.345307427,0.171385281,0.092167351,0.164202718,0.135765491,0.121949775
