,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,1.885563805,0.705792474,0.296285658,0.218511032,0.337686401,0.633328867,0.841354396,0.739982319,0.402561017,0.234432165,0.263218683,0.246861932,0.173831434,0.11468438,0.088662407,0.049610997
X2,0.655235141,3.985001505,0.818601625,0.268656396,0.144688261,0.434908114,0.757520387,0.830505165,0.682279071,0.285654877,0.213740445,0.210646968,0.178347297,0.110774771,0.064443112,0.054566686
X3,0.166076763,1.308225347,6.735423403,0.719924989,0.233256727,0.243105127,0.387444781,0.678867232,0.830406287,0.419030323,0.254644719,0.158084564,0.098207697,0.089189576,0.075865164,0.068815445
X4,0.11135584,0.28312424,2.443954312,9.118878106,1.088270961,0.589138011,0.494755537,0.748983375,0.890955675,0.792892615,0.394561685,0.178823386,0.088677555,0.058601002,0.041258815,0.030370148
X5,0.195334973,0.155231341,0.214167751,1.852608837,3.468032341,1.581274658,1.100429715,0.980824974,0.831191028,0.920895348,0.600521216,0.321253378,0.107611293,0.052708875,0.069394957,0.064242058
X6,0.474341657,0.278316896,0.152339528,0.705557038,1.843790025,3.328312358,1.776660943,1.378986294,1.129986803,0.923313601,0.818790003,0.413511299,0.152742256,0.067615264,0.043377518,0.032097949
X7,0.594640328,0.878857056,0.618951097,0.447777407,0.975981331,1.770414014,2.992181512,1.920589296,1.379122355,1.033397665,0.761693132,0.532344257,0.250712413,0.11581415,0.074107995,0.071724925
X8,0.574851234,0.943350835,0.859800442,0.716837162,0.680520233,1.336346589,1.77339798,2.946702,1.888200014,1.159539323,0.748601181,0.441038986,0.328090971,0.193032187,0.13682716,0.055025651
X9,0.302755091,0.61196768,0.849456329,1.106916927,0.819896577,1.13267308,1.512850076,1.678429729,2.488495064,1.403101559,0.877128372,0.30771758,0.22717153,0.135174154,0.110757432,0.05500548
X10,0.334098785,0.506164574,0.609497802,1.459159256,0.792607012,0.923780311,1.158938969,1.281164207,1.336388646,1.757477004,0.901547975,0.378186553,0.189232706,0.101395029,0.109110649,0.103079637
X11,0.30586014,0.657068048,0.978831137,1.290402264,0.920040222,1.189455043,1.083838133,1.017825024,1.291904197,1.416073695,1.541600226,0.762147139,0.350420742,0.151389286,0.126622363,0.114939767
X12,0.707828635,0.947538081,0.791749515,1.038446183,0.774900871,1.255561052,1.282928519,0.939753865,0.921473312,0.802987106,1.136365293,1.821893933,0.771113028,0.330984617,0.202442216,0.143528638
X13,0.669772775,0.657002882,0.439068011,0.610278475,0.507624565,0.769847859,0.934179309,0.98027127,0.698378179,0.561140979,0.60711861,1.011532076,1.521763212,0.615217155,0.39608024,0.178092298
X14,0.364782231,0.584006467,0.494170973,0.276907566,0.31676254,0.462030024,0.692302965,0.758724064,0.64403927,0.386450744,0.441165252,0.648975821,0.716705711,1.084700051,0.363483345,0.187882165
X15,0.221933492,0.657059499,0.615643355,0.574565166,0.241494429,0.453752835,0.46102383,0.868197311,0.831237181,0.699045865,0.52959943,0.579112759,0.963818312,0.845488381,1.262941492,0.423329165
X16,0.42523803,0.594299598,0.892737755,0.728191531,0.286613488,0.309880756,0.481147557,0.616143393,0.688820716,0.748173615,0.747589261,0.532098894,0.398178487,0.524736375,0.512143824,0.723846842
