,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,7.042615823,3.096679436,1.459367422,0.91507569,1.295621955,1.715468931,1.605541324,1.189724388,0.670846135,0.380469272,0.342303254,0.269131169,0.161516068,0.14721249,0.073528171,0.036996103
X2,3.046230826,13.23716885,3.12613135,0.933358878,0.592636565,1.154399597,1.263662304,1.136941784,0.860133643,0.392993919,0.23663082,0.208332967,0.158037806,0.123461125,0.051966011,0.033483715
X3,1.006784495,4.354129159,12.6684891,1.912718036,0.889754628,0.675059631,0.745596644,0.884788245,0.883064859,0.496293286,0.248521302,0.127673519,0.082811607,0.096651525,0.062207058,0.038506736
X4,0.575228828,1.275734716,5.295019222,15.66351681,2.503737128,1.031410625,0.55467612,0.729952668,0.747054821,0.650028232,0.331054392,0.147847876,0.086282246,0.058032075,0.030287191,0.017366527
X5,0.853332866,0.693952575,0.814338895,4.87085249,6.006352151,2.062389772,0.895464349,0.556942154,0.483445902,0.57886088,0.357104186,0.210889125,0.086846162,0.039323056,0.033328132,0.02332005
X6,1.272648649,0.706066709,0.383940512,1.132615257,2.523373738,2.529955171,1.128936987,0.628977746,0.434446377,0.383339033,0.344747394,0.20163316,0.107809529,0.039875708,0.015179377,0.01154413
X7,1.049382213,1.316327861,0.946409982,0.487877786,0.816345548,1.139586755,1.091197425,0.726023282,0.454350126,0.303662449,0.24369721,0.180038266,0.112332635,0.038793344,0.01893272,0.013005522
X8,0.926366476,1.282213959,1.018913709,0.563712103,0.434340656,0.648980686,0.72059443,0.811871333,0.575140292,0.327110533,0.216178149,0.13653709,0.09964481,0.058121523,0.028161542,0.009079601
X9,0.719221725,1.058634246,1.143896078,0.955719647,0.493386145,0.467635022,0.548309151,0.580762867,0.631169943,0.426059996,0.274844273,0.11006188,0.099586184,0.043091314,0.026796593,0.01156291
X10,0.496802323,0.820957256,0.864600227,1.158501336,0.51389536,0.402067436,0.373754885,0.428408753,0.43378133,0.425276707,0.308557379,0.149107158,0.078387831,0.029235672,0.02244797,0.017774381
X11,0.394471849,0.663219849,0.824270761,0.84553104,0.524369302,0.491005453,0.372342623,0.312449151,0.407923646,0.438505635,0.34746533,0.233711419,0.099258494,0.029155954,0.021285435,0.018343141
X12,0.613336768,0.838795987,0.651056791,0.657398808,0.40658129,0.513109324,0.446566207,0.309104283,0.318966461,0.312265085,0.32210702,0.264549564,0.177183321,0.063822642,0.024327882,0.016579657
X13,0.499394029,0.616927128,0.463645291,0.454249154,0.277056875,0.332192967,0.352993658,0.371718692,0.277493297,0.247420605,0.237520262,0.258156668,0.153000026,0.092455148,0.035672206,0.010641073
X14,0.402889984,0.719486907,0.618120107,0.277941237,0.253659269,0.25924725,0.310624808,0.319471501,0.225943508,0.128107405,0.140783473,0.168175476,0.136679946,0.138098433,0.077127262,0.021003495
X15,0.200869126,0.622817397,0.646107422,0.476489008,0.122823601,0.200938348,0.153692961,0.264417837,0.269466271,0.211542174,0.183246605,0.142073635,0.151274476,0.125577684,0.102793143,0.079686913
X16,0.250729338,0.393994025,0.619212449,0.471531566,0.107173119,0.107855144,0.124084729,0.184224393,0.203545281,0.17398283,0.207328266,0.102617014,0.068611249,0.098883408,0.070800776,0.050131323
