,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,1.322664209,0.594637107,0.336881347,0.214962095,0.420269776,0.808995681,0.956889997,0.773009299,0.361506393,0.234884686,0.31422309,0.276363887,0.188265646,0.115102657,0.066556307,0.045050192
X2,0.495490698,5.528573147,0.89781126,0.270242999,0.166630449,0.532256129,0.972694298,0.92817822,0.596971815,0.294839921,0.218160617,0.226503224,0.167963211,0.102959747,0.048448837,0.044435665
X3,0.207728191,1.602275722,7.883424283,0.825304926,0.29847135,0.322986082,0.566088107,0.841513659,0.806857415,0.469646654,0.262938032,0.159823396,0.095740812,0.087379968,0.065982938,0.055192424
X4,0.118351085,0.315529666,2.951963341,11.28255727,1.426426325,0.747644753,0.629263038,0.872787494,1.021631822,0.959998461,0.482615569,0.187179832,0.084207395,0.061545185,0.033500242,0.030000597
X5,0.239960804,0.18127362,0.266895818,2.434337639,4.466324511,2.084263204,1.39414985,1.225025074,1.042508399,1.238096151,0.855658628,0.342574864,0.097837619,0.055301001,0.060265943,0.056975776
X6,0.565006578,0.325697097,0.175611128,0.864444618,2.353264196,4.082398776,2.178906612,1.651759908,1.299898974,1.13598656,1.088019047,0.442860005,0.149623519,0.073313635,0.036874012,0.035788448
X7,0.683673442,1.065909616,0.780304773,0.550837286,1.219288215,2.156331488,3.684458646,2.279730237,1.606919556,1.252751149,0.990517397,0.583740325,0.269459976,0.123613297,0.060277728,0.057764627
X8,0.600098953,1.091853228,1.003924624,0.779894855,0.849914965,1.604616035,2.154585934,3.616287915,2.220945808,1.443149873,1.004575359,0.441187626,0.320088803,0.205413954,0.110873211,0.042731391
X9,0.267829992,0.581371509,0.865509319,1.251161625,1.013028177,1.301673266,1.772340933,1.989216887,2.914493276,1.714710831,1.155649803,0.275294068,0.188808621,0.128119613,0.084645425,0.04191401
X10,0.198401069,0.519632749,0.62003928,1.649190901,1.025875998,1.142183476,1.392058112,1.574822111,1.606447205,2.254703886,1.159365642,0.345073588,0.145188222,0.092768416,0.080782591,0.093976381
X11,0.263576409,0.692067049,0.945337355,1.380944593,1.133624328,1.525981367,1.398547379,1.328232201,1.654565535,1.813189249,1.958457839,0.687647797,0.268324206,0.128454676,0.084970886,0.098346856
X12,0.480630078,0.863021083,0.692124526,0.941004745,0.677253547,1.223582829,1.31457168,0.896725927,0.810866456,0.693729193,0.976967619,1.529500698,0.545825232,0.242811222,0.115560858,0.097066052
X13,0.481836422,0.44517591,0.302888111,0.436629091,0.400652927,0.669771724,0.883090344,0.849473939,0.533279952,0.401981451,0.443394633,0.705714283,1.133241895,0.418789159,0.206701537,0.088837487
X14,0.26448903,0.430218358,0.36962628,0.226905931,0.27768443,0.470320543,0.702331771,0.818907403,0.605935664,0.354207444,0.373526497,0.496963634,0.547382258,1.011966851,0.22615007,0.107228289
X15,0.126862728,0.393154488,0.419596064,0.374110595,0.193960863,0.389966913,0.347102287,0.69655848,0.68032482,0.54795287,0.371497031,0.342464978,0.511157297,0.476916699,0.789231645,0.208282134
X16,0.231935898,0.320392253,0.475549197,0.434676768,0.18866997,0.231193543,0.330190498,0.387735898,0.401646318,0.535703459,0.524667046,0.319126185,0.199334965,0.269423614,0.212609854,0.41288285
