,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.392348098,0.928755085,0.405809183,0.22693069,0.281501877,0.663278528,1.070035495,0.881829379,0.474735284,0.279486973,0.281711044,0.248841708,0.156991465,0.126311682,0.085386883,0.059426795
X2,0.828938603,3.912522819,0.778350358,0.206410086,0.114956058,0.36124333,0.659433632,0.78738912,0.684938837,0.279925149,0.185707826,0.162297861,0.126766813,0.093374911,0.047630745,0.040767734
X3,0.205784716,1.235600595,5.760095207,0.63469052,0.209104226,0.220996004,0.363159338,0.624041108,0.810533837,0.485135877,0.247907405,0.133749276,0.074744572,0.073330747,0.059856819,0.053849397
X4,0.110386196,0.240082713,1.998061432,6.956214028,1.096113609,0.603324679,0.524338336,0.673175788,0.85512042,0.851324785,0.424508729,0.150193759,0.064747362,0.04785015,0.030849187,0.024134399
X5,0.202527464,0.135240135,0.218690965,1.873509592,3.719674797,1.811470822,1.284095141,1.168360338,0.954226169,1.106638461,0.660099348,0.300113552,0.091388494,0.051201673,0.061348491,0.052521918
X6,0.650990691,0.29804608,0.147468272,0.70530749,2.063257587,4.026955859,2.147309693,1.65690337,1.396114726,1.113466313,0.820261559,0.371500357,0.14694806,0.067035494,0.039574705,0.030109622
X7,0.905230218,0.982945028,0.618251992,0.451570403,1.112559625,2.085436425,3.687940263,2.244359702,1.651051735,1.280310737,0.815986784,0.481831654,0.232523295,0.121714658,0.068056953,0.069868458
X8,0.77816848,1.149173716,0.948602425,0.666530879,0.790920578,1.589161759,2.075543337,3.600818846,2.302364485,1.450573061,0.809935026,0.388802586,0.280030184,0.193963035,0.120352946,0.05281175
X9,0.36159799,0.783037601,1.097772897,1.131387604,0.928799147,1.386908826,1.810425439,2.061294796,3.196030859,1.783647861,0.957185484,0.271848933,0.196594658,0.144476692,0.106867853,0.050736011
X10,0.414505054,0.511117972,0.758447001,1.576976084,0.856170861,1.100052397,1.423298512,1.582687615,1.678199736,2.371205401,0.999224529,0.34663844,0.170055118,0.106267364,0.102808382,0.102206559
X11,0.261181685,0.610403367,0.927205587,1.297940805,0.885360067,1.161026569,1.129329722,1.090769364,1.398332359,1.564080112,1.71423298,0.675587209,0.298322748,0.148850867,0.112248036,0.112876449
X12,0.515500652,0.633146901,0.556092004,0.74614367,0.579230212,0.975096829,1.044015025,0.788119675,0.805315641,0.70314342,0.951036257,1.584044121,0.559057434,0.277409852,0.154120695,0.110373
X13,0.382678124,0.334703449,0.233616656,0.351508655,0.343234981,0.56539481,0.702605678,0.729715104,0.556164503,0.471853666,0.477419106,0.698298554,1.202114599,0.466442688,0.280884382,0.130799528
X14,0.242944147,0.355665689,0.281608866,0.168844594,0.246080083,0.386263512,0.604384974,0.60661293,0.56138164,0.362106048,0.401371063,0.543843434,0.568531694,1.091510434,0.306583838,0.158173562
X15,0.148207682,0.333587744,0.349720248,0.35351572,0.182687374,0.321113291,0.363850555,0.61825767,0.690917954,0.526966653,0.434571338,0.442898161,0.711565834,0.762114405,1.099259788,0.320074059
X16,0.39764903,0.350134416,0.483102985,0.449934136,0.165615319,0.221355375,0.403703134,0.493013362,0.447125494,0.617147085,0.637933142,0.385997514,0.342189999,0.4577428,0.363102887,0.70814176
