,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.734235276,1.05551374,0.393014514,0.272910534,0.351442828,0.702638217,1.131086056,0.997231745,0.477319539,0.298704378,0.282304258,0.247110238,0.186205919,0.177285133,0.093112013,0.048173018
X2,0.975464542,4.567802355,0.873758584,0.26079663,0.156811391,0.383517724,0.810876225,1.002844021,0.760052815,0.298203269,0.180788817,0.159681638,0.166796302,0.144012853,0.05769324,0.043696181
X3,0.207296074,1.321435457,5.79773436,0.758432693,0.269250746,0.213192086,0.394598886,0.705293569,0.927026088,0.492246907,0.227811727,0.121896401,0.092452946,0.10548152,0.064389486,0.053649012
X4,0.137165094,0.318212227,2.338177523,9.56629589,1.543531335,0.735229257,0.622412161,0.854645198,1.126605651,1.101513762,0.533979535,0.231839022,0.092588444,0.078770989,0.039293517,0.025196881
X5,0.221258514,0.171662621,0.273685652,2.4727636,4.293638702,1.777888917,1.230458463,1.172772576,1.01072769,1.286243305,0.86439993,0.454643493,0.12086782,0.070538153,0.064763391,0.051392185
X6,0.524938544,0.248751685,0.169238872,0.815150651,2.003644289,3.504422895,1.850143355,1.516812653,1.304122599,1.040119405,1.026516925,0.537363407,0.154154015,0.070098766,0.033508416,0.021872793
X7,0.710685258,0.82321565,0.551100986,0.483155558,1.054926759,1.778080345,3.047180321,1.970984404,1.535915067,1.210762288,0.900020764,0.623074747,0.225490036,0.120539096,0.051483805,0.04810389
X8,0.682710317,1.028324613,0.819193258,0.768506778,0.789852543,1.443711369,1.814936588,3.260534798,2.169966846,1.411509583,1.042539657,0.554900866,0.285036112,0.209120671,0.103510582,0.040850945
X9,0.306240606,0.649928721,0.961308493,1.169793656,0.95175731,1.294335198,1.677456011,1.94490337,3.013877813,1.760016425,1.260201993,0.486531547,0.2299908,0.155759827,0.095900881,0.042977575
X10,0.386236509,0.449160845,0.630748327,1.601911881,0.946103528,1.041315984,1.336650026,1.537824033,1.645291442,2.282477974,1.201803981,0.589231993,0.18875213,0.1211224,0.090676772,0.075793365
X11,0.234572572,0.527637979,0.77831865,1.247494573,1.010269584,1.358212677,1.32518827,1.356006321,1.789363463,1.928293226,2.104865802,0.963161726,0.300449589,0.157435724,0.09014068,0.07616621
X12,0.515383822,0.637627084,0.643579525,0.904135526,0.755750331,1.202799266,1.337334449,1.137479113,1.307246725,1.09781927,1.316455429,1.7212776,0.548934923,0.281722355,0.122874918,0.080666645
X13,0.441852425,0.391645297,0.291484288,0.497560468,0.415171172,0.605634603,0.746831797,0.825964281,0.670999288,0.56052792,0.544001397,0.761615284,1.455028959,0.579413083,0.294929058,0.120027337
X14,0.288689461,0.448537703,0.36406793,0.24335885,0.329625396,0.440751732,0.638055048,0.653810889,0.651341574,0.433648519,0.442685191,0.598547243,0.767062567,1.630098236,0.415879666,0.182324754
X15,0.11189335,0.313189746,0.320762882,0.385784165,0.183434039,0.267284778,0.2754819,0.499581634,0.606143086,0.474423688,0.357393108,0.348896528,0.741633411,0.883398293,1.132819896,0.33435306
X16,0.22165916,0.279028406,0.387039099,0.317450738,0.146170481,0.171866812,0.278109951,0.332512778,0.389205556,0.428057397,0.463614331,0.290758837,0.258003773,0.433878451,0.366858248,0.588567633
