,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,4.324826362,1.344191324,0.596105505,0.41997373,0.553674556,0.992015224,1.344320764,1.213955429,0.71416223,0.423983616,0.416164404,0.307934588,0.175280748,0.118656333,0.06852798,0.043294934
X2,1.245718127,5.390855595,1.281838422,0.414683567,0.243851152,0.623990664,1.038273965,1.131088348,0.971068624,0.431440666,0.262885758,0.225003039,0.152011309,0.099681429,0.047817546,0.040773938
X3,0.352880627,1.845057727,7.050360547,1.012670845,0.392126043,0.365631101,0.602314048,0.882031428,1.078058478,0.617966279,0.324618569,0.148493595,0.078680186,0.076200905,0.059339813,0.047653249
X4,0.232311733,0.527194977,2.953217763,11.27924292,1.885363949,0.961454223,0.785991897,1.022555319,1.239667575,1.202778507,0.603819481,0.221356749,0.077517107,0.05312287,0.030700003,0.025024832
X5,0.32342429,0.270112427,0.369355623,2.952489238,4.188028529,1.96950399,1.330838047,1.173576407,1.001078272,1.175282757,0.765099329,0.370315631,0.082649539,0.037104271,0.039914439,0.034821561
X6,0.683995168,0.378531959,0.244827265,1.068124478,2.310950364,3.621752306,2.030829567,1.548889096,1.275946197,1.078668712,0.948416898,0.492368933,0.144034922,0.054535207,0.024296895,0.02426135
X7,0.904134991,1.120758365,0.84225045,0.639595246,1.193536689,2.024384916,3.158240922,2.103647055,1.550162172,1.176372002,0.831350141,0.550862378,0.218893626,0.086293608,0.044035466,0.037948101
X8,0.934894243,1.314730796,1.093988158,0.940800429,0.834070774,1.52141698,1.995696963,3.112080406,2.146917156,1.352706952,0.837588902,0.432914599,0.224278743,0.14248255,0.077136911,0.029741741
X9,0.572009456,1.003352834,1.234487258,1.418216382,1.03260672,1.302906943,1.748167389,1.973045527,2.775769243,1.661879783,1.006215907,0.340844867,0.161217254,0.109892355,0.069817703,0.036129206
X10,0.55541918,0.755947773,0.917248616,1.897337226,1.060761546,1.104531137,1.329464527,1.518552521,1.592849268,2.034926196,1.048577183,0.421168292,0.123250438,0.072630337,0.065342417,0.07155796
X11,0.446317864,0.734759235,1.033244864,1.437926627,1.095902326,1.334937279,1.191819032,1.128093884,1.460043673,1.586391047,1.477845796,0.662455893,0.17937506,0.081063209,0.059776018,0.068196003
X12,0.736325941,0.843558344,0.692244974,0.901472062,0.720495902,1.147074299,1.212953619,0.901747133,0.952822988,0.815982462,0.89409428,0.97631581,0.312850242,0.13809804,0.060321189,0.05536154
X13,0.524426182,0.495736023,0.332612503,0.428465367,0.320518438,0.471388309,0.594969094,0.605932992,0.421601951,0.334331472,0.308786395,0.378078259,0.474502476,0.195476619,0.089802404,0.035223453
X14,0.328079692,0.505845213,0.420855917,0.224794745,0.232550845,0.318722295,0.50599784,0.540621799,0.443148202,0.249101493,0.241895538,0.274802213,0.248492911,0.424225545,0.121174121,0.045548453
X15,0.160784534,0.480785166,0.43752014,0.387033633,0.137733956,0.26094354,0.256994632,0.469957629,0.483076086,0.392411273,0.280829633,0.203280089,0.257901704,0.239447975,0.35238649,0.129476219
X16,0.289917077,0.408052951,0.60061217,0.491781684,0.15279341,0.165959253,0.240677065,0.356836704,0.38900664,0.410008025,0.379975049,0.208646192,0.1077464,0.158139963,0.126817885,0.182287888
