,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,4.085844593,2.331543787,1.190119837,0.713657908,1.051413881,1.478219489,1.485446898,1.199366616,0.67741652,0.363743804,0.389476078,0.301713254,0.195764999,0.287969022,0.011292264,0.011777326
X2,2.190909174,11.70626447,2.921263641,0.836306524,0.497398091,1.115989296,1.375340787,1.326197704,1.025679555,0.432367412,0.287028148,0.244749477,0.194461768,0.248045851,0.015642544,0.010724431
X3,0.8090955,4.187902499,14.35164496,1.814345883,0.755730821,0.631892216,0.78400014,1.036418216,1.066043685,0.563543144,0.309704205,0.153311958,0.099540895,0.183193044,0.021971115,0.010249213
X4,0.429623503,1.084583956,5.384629785,15.60501769,2.235234737,1.006648836,0.630682945,0.872282671,0.924608609,0.768279299,0.405489933,0.168020633,0.089702546,0.102261539,0.011369669,0.007322321
X5,0.622369931,0.552610149,0.663546584,4.172478543,5.032874841,1.97792873,1.021175043,0.767458417,0.648141866,0.709107825,0.470479422,0.245979251,0.092990832,0.074176325,0.006953512,0.005583593
X6,1.052295292,0.648065969,0.347246165,1.118863946,2.38945528,2.845464031,1.41101235,0.947393379,0.702894331,0.555830228,0.523839048,0.262078476,0.123327735,0.075197403,0.003441697,0.00689588
X7,0.932905058,1.352839119,1.019380314,0.553779602,0.926469238,1.428741587,1.654106071,1.153029971,0.77383796,0.518655164,0.41467345,0.257646986,0.143643863,0.095999144,0.008205141,0.003900702
X8,0.869797165,1.399853912,1.144276038,0.697157897,0.573822188,0.955860779,1.120006247,1.467577076,1.036600773,0.580278066,0.401762673,0.200989868,0.143650785,0.147232838,0.013145579,0.004243773
X9,0.626998472,1.064193381,1.221225433,1.147735988,0.664627872,0.731546847,0.887484371,0.982538365,1.170591317,0.715799829,0.474494599,0.150164651,0.118861061,0.101421682,0.014626537,0.008244718
X10,0.358697838,0.732278669,0.808985468,1.274762863,0.614100459,0.569037229,0.600936737,0.680102154,0.685732168,0.699060101,0.459895565,0.179624074,0.080762422,0.060844555,0.011888641,0.013978153
X11,0.392995675,0.740493364,0.983716611,1.07422305,0.715914274,0.77340736,0.621122251,0.555613578,0.696989525,0.705958133,0.613679127,0.319270148,0.117794504,0.075783915,0.012362177,0.016445528
X12,0.585155024,0.834607515,0.655366586,0.725453138,0.48829572,0.688717744,0.617613028,0.435357268,0.430852486,0.376312058,0.427537734,0.355980747,0.195292321,0.120826808,0.01235891,0.01375766
X13,0.540537371,0.627477909,0.43164288,0.479284716,0.335311786,0.443274064,0.476465722,0.489146235,0.337755306,0.259401784,0.256578985,0.27555691,0.231674838,0.20354732,0.021477282,0.004850341
X14,0.767398554,1.231730246,1.047923135,0.515914534,0.530456087,0.613465237,0.791551965,0.826300938,0.617053061,0.307376676,0.329807627,0.381264817,0.3735505,0.603602292,0.11429443,0.024013974
X15,1.2888E-28,5.09382E-26,2.5483E-06,0.007603135,1.6836E-05,2.12447E-05,3.57268E-05,0.00765258,0.007877142,0.021163079,0.035207555,0.021470177,0.007762858,0.008029357,0.007929495,0.021408651
X16,2.81655E-94,0.021082788,8.44683E-42,0.021206189,4.66E-05,0.007632104,4.69316E-05,8.42184E-05,2.77788E-05,1.03294E-05,1.0684E-05,1.59767E-46,1.174E-65,1.02832E-05,5.1693E-49,8.2841E-43
