,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,6.269888692,3.412859634,1.707584798,0.902404676,1.178627712,1.473932515,1.379737253,1.269983372,0.693238001,0.458430241,0.472800121,0.447038885,0.24372688,0.197459778,0.069206646,0.037662904
X2,3.16956238,21.15689914,3.791477043,0.996713626,0.596940971,1.17785468,1.268434141,1.357730849,0.965341904,0.52381523,0.383693142,0.382131114,0.26147369,0.177967034,0.05867881,0.03610294
X3,1.133690029,5.459405092,13.76123263,1.688765668,0.755840552,0.633900031,0.687608327,0.903548474,0.798959704,0.512573779,0.30956156,0.195699649,0.122995101,0.127171105,0.061618442,0.033756632
X4,0.6215375,1.449309381,4.658064281,10.24450469,1.868790445,0.830658337,0.527192016,0.775131454,0.657673594,0.584830468,0.343938556,0.176228997,0.107117146,0.072156595,0.029311097,0.015864656
X5,0.823930719,0.813259758,0.804446372,3.277042664,3.792090598,1.645979007,0.914315034,0.774648673,0.601627716,0.611733722,0.441990433,0.260658207,0.103557112,0.043300399,0.025528217,0.017904364
X6,1.039472043,0.728308532,0.37374888,0.848493042,1.802515198,2.036564925,1.16645553,0.963056391,0.731633364,0.580063129,0.534313805,0.27353955,0.121246107,0.03997641,0.010808819,0.009849419
X7,1.009633989,1.665900831,1.06519101,0.469875715,0.84360603,1.282733802,1.315300173,1.173926336,0.87046794,0.638881202,0.499193072,0.321603789,0.153653152,0.047418763,0.017629632,0.012023841
X8,1.018279803,1.705145811,1.107036396,0.593204509,0.578108272,0.993723999,1.116162554,1.478044067,1.192617766,0.745626844,0.583736681,0.28567275,0.157037146,0.0861107,0.030065474,0.011258357
X9,0.777125734,1.356130145,1.188237393,0.862114748,0.633385712,0.808787364,0.991747611,1.13000501,1.204079758,0.864225945,0.684432239,0.234941725,0.179694571,0.08505146,0.029313432,0.014602338
X10,0.555192649,1.291351358,1.043189057,1.122052692,0.6172081,0.693617811,0.774231926,0.931557561,0.83327643,0.775779724,0.637793703,0.306642722,0.131162397,0.06142496,0.032902808,0.02995514
X11,0.640980948,1.194130109,1.168850326,0.881511511,0.648641051,0.838461422,0.793080665,0.800127859,0.964264167,0.952271993,0.795103731,0.460724833,0.157798065,0.051302071,0.033132938,0.025775419
X12,1.741510513,2.411125313,1.353461382,1.023598529,0.724767231,1.098563241,1.068839449,0.771070355,0.722903912,0.753919229,0.776203887,0.451902431,0.28825922,0.156390782,0.042102109,0.053127258
X13,0.740527184,0.850504412,0.521830947,0.413446833,0.290876509,0.384833565,0.425168949,0.508603144,0.401832675,0.330064252,0.338055389,0.260906761,0.124844167,0.097077173,0.032151024,0.009603092
X14,0.765553613,1.227014896,0.937192208,0.335318594,0.306596606,0.321247603,0.441160001,0.495077269,0.392306229,0.230047739,0.260519981,0.243714171,0.161926726,0.118619691,0.071027741,0.022650673
X15,0.19440528,0.629137738,0.496871,0.307371632,0.082426344,0.163298634,0.111488472,0.22028344,0.204151222,0.207131154,0.209705124,0.123658564,0.123336269,0.089489521,0.047014593,0.052832505
X16,0.315023249,0.455565574,0.549970297,0.358939785,0.096969327,0.107172507,0.127201231,0.240009214,0.193768719,0.214195497,0.227425391,0.158165422,0.061733067,0.096924906,0.043209831,0.023045521
