,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.316007362,1.294639361,0.670086829,0.4145709,0.630232938,1.031665046,1.271435435,1.030988214,0.574979268,0.326159384,0.346788794,0.2844135,0.175971335,0.124672174,0.064759161,0.061163428
X2,1.184099986,6.808153144,1.682833304,0.49105953,0.302570606,0.783184027,1.204915952,1.16025841,0.932611106,0.39470301,0.249247747,0.227657305,0.172843727,0.113027941,0.048724952,0.061911903
X3,0.452188293,2.622039929,11.28141759,1.268722046,0.514516834,0.487248084,0.739781391,0.983675221,1.072685401,0.587116103,0.310567094,0.160074331,0.097237872,0.093163175,0.061710075,0.08059251
X4,0.251017295,0.648974732,4.101563335,12.85745258,1.798710562,0.906487584,0.699529009,0.897750079,0.995579261,0.874883015,0.43358412,0.177291201,0.08482424,0.057665824,0.029431125,0.033311694
X5,0.409398122,0.364429494,0.471465333,3.259350598,4.444187728,1.973699468,1.238587794,0.946214945,0.78086774,0.877012282,0.558346978,0.303423925,0.096736539,0.044198252,0.040769814,0.056753084
X6,0.842821067,0.5206878,0.295213886,1.040510598,2.360272333,3.39438626,1.883437007,1.268235429,0.935536466,0.721042255,0.666098779,0.367009238,0.145836232,0.057432133,0.02365653,0.028729613
X7,0.971666845,1.419449927,1.09941237,0.629599746,1.129381103,1.912869125,2.758444362,1.750316473,1.149783931,0.737965017,0.585457015,0.428115259,0.217282744,0.088768982,0.041712922,0.059496523
X8,0.850668494,1.412423853,1.204579168,0.782994508,0.696017046,1.265926355,1.672098971,2.319096546,1.502249628,0.800945323,0.504854088,0.308890574,0.217331431,0.133140526,0.065885144,0.042509282
X9,0.526690954,1.01003259,1.252495212,1.284107016,0.808221843,0.965243775,1.299136499,1.401595836,1.790898426,0.935499126,0.561258283,0.208824432,0.15488035,0.098825712,0.057411924,0.04328119
X10,0.354714673,0.691643457,0.844334553,1.489454922,0.770139528,0.726183374,0.842949382,0.916342519,0.908753475,1.039192282,0.570485311,0.233995079,0.104264767,0.059738547,0.048338419,0.071767179
X11,0.372518186,0.664730721,0.979963914,1.14836281,0.868187027,0.985264378,0.807543715,0.696646107,0.829615352,0.837914514,0.821623052,0.434099779,0.158988455,0.068504695,0.046027774,0.066892616
X12,0.644685032,0.811075172,0.670235163,0.796950209,0.638893513,0.991507347,0.975845992,0.652807251,0.609052025,0.492717424,0.607569569,0.686384727,0.298808579,0.127954444,0.049358027,0.060846045
X13,0.561571533,0.559064942,0.383979025,0.470669003,0.381709986,0.563436948,0.666827111,0.650028592,0.431088229,0.303641488,0.299151432,0.389715627,0.439399299,0.21808402,0.086939996,0.056370223
X14,0.351462346,0.529851873,0.441520266,0.236823275,0.266456521,0.357038015,0.539040172,0.539838479,0.429072418,0.221822086,0.21695716,0.26459559,0.264912377,0.383284541,0.121010242,0.0716011
X15,0.150418143,0.447984241,0.404898709,0.359967091,0.136405775,0.252420452,0.251382167,0.429319106,0.435731027,0.338131981,0.240815144,0.172627017,0.245315649,0.232112601,0.273136118,0.162537905
X16,0.47702891,0.643202329,0.992064294,0.805219265,0.264521953,0.283519234,0.436968784,0.669136353,0.670562314,0.682587431,0.604238808,0.328253998,0.180746768,0.298541411,0.237829103,0.331068779
