,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,1.131339954,0.557101194,0.277403589,0.166283484,0.243637117,0.501429857,0.773456505,0.664734678,0.373030323,0.207403718,0.219768245,0.183713319,0.100598824,0.072363536,0.045198785,0.026419002
X2,0.522116359,5.139935824,0.999881751,0.256872405,0.152965889,0.440037572,0.817184577,0.90181634,0.776770796,0.32497869,0.203946782,0.170308925,0.114410112,0.076604399,0.037725712,0.030997952
X3,0.233720556,1.929859368,11.06923921,0.983950047,0.33193326,0.361137877,0.563341231,0.903032809,1.177907385,0.651636521,0.342842259,0.173034005,0.08531719,0.079289139,0.062798142,0.05247571
X4,0.117682987,0.345910174,3.301031234,10.07919399,1.509164509,0.791285885,0.640497694,0.824953404,1.085839854,1.095156529,0.535792917,0.197364288,0.071387483,0.051646691,0.031546362,0.023262581
X5,0.184283847,0.18061984,0.291480297,2.427270141,4.36737726,2.049349977,1.397237815,1.200328019,1.010709045,1.235247964,0.800832128,0.399020195,0.094442903,0.041638282,0.047082645,0.03949512
X6,0.561561928,0.342992538,0.200122811,0.916989232,2.398012902,4.309779756,2.226814019,1.592610332,1.302386357,1.052076341,1.009498143,0.536928087,0.168547287,0.062450108,0.031725742,0.026943105
X7,0.817794867,1.144152068,0.841196707,0.551555851,1.22865835,2.173679935,3.729794231,2.149294667,1.553067308,1.117034043,0.859302035,0.601599257,0.256942068,0.106203837,0.055552682,0.051135778
X8,0.665898107,1.153141999,0.974004319,0.697233735,0.825555278,1.54165452,1.992438824,3.259565597,2.065581397,1.228503648,0.791670107,0.43860515,0.244794736,0.148777023,0.086968651,0.034967315
X9,0.344192143,0.80799541,1.144150432,1.224386951,0.988030619,1.304244642,1.720286886,1.878144508,2.904703885,1.497588304,0.93432405,0.330600904,0.182537687,0.114580141,0.081384641,0.040078489
X10,0.235791531,0.585194161,0.776189668,1.675966268,0.984796441,1.014598335,1.254827119,1.360748388,1.444390374,2.069152052,0.978401494,0.399999865,0.147110687,0.083585266,0.077517089,0.076151691
X11,0.247247471,0.643310595,1.058112608,1.312125579,1.095559677,1.350737415,1.166604635,1.068826886,1.371185669,1.49192984,1.739333824,0.740193371,0.243542236,0.109266882,0.079812116,0.083303342
X12,0.442684358,0.702087727,0.662177053,0.816859526,0.738982978,1.235866869,1.275671275,0.896236373,0.950326987,0.797183568,1.027495997,1.516816554,0.451707898,0.195099577,0.096133397,0.076957253
X13,0.327638342,0.328285017,0.238165901,0.354821937,0.320966945,0.529029787,0.677350792,0.650949037,0.501900491,0.40724032,0.395920768,0.541100084,0.836769892,0.267847589,0.145638827,0.059691206
X14,0.193568332,0.313138349,0.264096245,0.160094097,0.204553272,0.325505767,0.516407579,0.473341416,0.438186036,0.281001067,0.296302452,0.375946282,0.331749859,0.679792406,0.17300012,0.070277825
X15,0.096386388,0.282393513,0.295599962,0.308951242,0.138446502,0.257953175,0.279638268,0.436956466,0.50904282,0.403187215,0.316140358,0.277393059,0.385660306,0.370945734,0.606083092,0.185944797
X16,0.188903591,0.25989402,0.378035878,0.318739772,0.125868047,0.160125549,0.269195296,0.305611946,0.348244256,0.390220623,0.393237305,0.240097073,0.144076911,0.197013542,0.184345003,0.325239464
