,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,5.59497091,3.105812977,1.642510034,0.833295677,1.13616571,1.50474048,1.493872222,1.188070953,0.64857928,0.390631419,0.415271621,0.332098996,0.234803434,0.146586547,0.079399283,0.037572084
X2,2.887163913,15.8648139,3.815371798,0.944895428,0.595932962,1.191291776,1.327273067,1.236848761,0.875502362,0.4322855,0.329987364,0.295852733,0.254311676,0.138583529,0.064429738,0.036574583
X3,1.154397378,5.745043818,19.7737243,1.879043089,0.876549458,0.759262815,0.922737502,0.978221717,0.937207853,0.550336655,0.334159057,0.164908228,0.133340057,0.11300747,0.073261052,0.038112254
X4,0.586259035,1.380209475,5.713386744,12.51330862,2.418512024,1.18929993,0.853989313,0.996677698,0.918557911,0.758773219,0.468737769,0.24276337,0.145560464,0.061080703,0.031642231,0.016179571
X5,0.84080384,0.83548991,0.95024443,4.058064069,4.934231565,2.402970972,1.488931283,1.251857791,0.970937068,0.898328937,0.682753759,0.408155448,0.21092477,0.038256046,0.031546385,0.020088371
X6,1.169384158,0.77403364,0.55150002,1.276019574,2.684133283,3.291966078,1.983817954,1.567675915,1.277717531,0.966212117,0.883480346,0.509619097,0.269537007,0.039420488,0.014715903,0.011523855
X7,1.22061194,1.795447033,1.483960385,0.729916071,1.366928421,2.095643968,2.289576981,1.860449825,1.452120631,1.111534347,0.808753948,0.597119072,0.302019624,0.04850629,0.024743913,0.015779399
X8,0.97990281,1.519117514,1.191970674,0.890601046,0.869675558,1.530095054,1.684995243,2.118091727,1.832783314,1.201101916,0.93756333,0.500045797,0.244487198,0.070553741,0.034044554,0.011572049
X9,0.746947782,1.244429377,1.269545357,1.058574459,0.977716804,1.334019788,1.593645674,1.686635387,1.908982149,1.458092609,1.12628031,0.487086587,0.307703829,0.07484847,0.03167544,0.014627227
X10,0.471776268,0.963568874,1.012759767,1.251330425,0.795635456,1.052130895,1.232044758,1.371344153,1.329377017,1.285594281,0.96444016,0.585781978,0.225741385,0.046628455,0.029840507,0.025584412
X11,0.566878686,0.920722086,1.237895605,1.035409543,0.815428869,1.226577225,1.230817603,1.213267613,1.55696035,1.540969194,1.265971003,0.829032368,0.28396066,0.040185218,0.031559779,0.023507077
X12,1.107343461,1.425570968,1.176717989,0.895066086,0.720478648,1.193826196,1.349941011,1.099511163,1.259210255,1.115664813,1.133033751,0.829029657,0.394078428,0.092310934,0.028822669,0.033898158
X13,0.791826731,0.903474965,0.743450718,0.516218894,0.490200613,0.730748018,0.798191177,0.916102617,0.844791951,0.763951217,0.698364637,0.645479792,0.261911663,0.095204177,0.039476895,0.011107071
X14,0.523683712,0.847747403,0.653956691,0.233217833,0.215507286,0.231495342,0.323419495,0.341036728,0.270135891,0.15445027,0.175644975,0.157846607,0.117433123,0.081098164,0.056305296,0.016363785
X15,0.253484642,0.822217894,0.654877958,0.403581304,0.110801987,0.22064157,0.157568316,0.284738219,0.262437962,0.256652608,0.257585251,0.143454595,0.16259801,0.102228697,0.070069817,0.064627042
X16,0.351448963,0.507126414,0.624358558,0.407596011,0.109809,0.121990233,0.148712853,0.264501136,0.216147108,0.234202405,0.251271416,0.16986423,0.069676206,0.10231715,0.05212695,0.028036688
