,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,8.900950662,4.13835676,1.830859691,1.020708872,1.3137536,1.632530938,1.532000005,1.133774785,0.579332824,0.345197155,0.312239413,0.252861468,0.129345206,0.087190481,0.036630179,0.016096825
X2,4.159149589,23.76153926,4.105280944,1.118217448,0.631295325,1.246736531,1.386805699,1.166806407,0.853763872,0.385516969,0.243163021,0.218544138,0.136981956,0.080285819,0.030536372,0.01663113
X3,1.413680447,6.261521984,15.81654082,1.862273218,0.785843601,0.619965826,0.783624836,0.82077812,0.702553931,0.411227534,0.21933796,0.117898519,0.06678753,0.063206791,0.032139135,0.016724229
X4,0.715885704,1.620019861,5.251149041,12.64531848,2.614602487,1.207620018,0.861018873,0.980268845,0.88966934,0.724039258,0.411430788,0.230725097,0.107864875,0.034970183,0.015689778,0.009184363
X5,0.956170767,0.803373788,0.779294658,4.251325449,5.197720583,2.408054628,1.469355124,1.298583798,0.956754599,0.847794915,0.623028508,0.371825041,0.188741416,0.01881641,0.01209075,0.007663144
X6,1.469022512,0.878132058,0.452978602,1.332278312,2.823510778,3.31137101,1.989251575,1.592301988,1.304743726,0.957679517,0.835786649,0.475674791,0.240713233,0.016934829,0.005315891,0.006340194
X7,1.40804422,1.928843326,1.305797394,0.710617665,1.317881401,2.046142713,2.266631689,1.871642766,1.428616163,1.123367381,0.76747496,0.54740099,0.23837902,0.020407162,0.009545703,0.004915669
X8,1.318401726,1.908954379,1.396860795,1.075347347,0.903966107,1.54476846,1.721759232,2.157635246,1.864388955,1.250045126,0.952012297,0.493483905,0.186148309,0.036211328,0.01340961,0.004104522
X9,0.790755726,1.322245855,1.216504778,1.165185875,0.987884866,1.316915613,1.562596716,1.687101891,1.913372902,1.513009783,1.142039746,0.479885708,0.239300605,0.027414851,0.006947336,0.006417706
X10,0.514492731,1.001811585,1.010052986,1.442945777,0.82091371,1.025335484,1.247665249,1.402929443,1.3819592,1.335745367,0.969290767,0.568443005,0.195442201,0.0184391,0.010910719,0.011193901
X11,0.582868191,0.913103293,1.114284152,1.140623066,0.801630683,1.182695569,1.228183638,1.228756369,1.600124383,1.609022105,1.282866603,0.819303329,0.250101072,0.018663324,0.010459918,0.013254986
X12,0.988329973,1.287693172,1.051941271,1.028541671,0.708958391,1.031316389,1.219420803,1.065123636,1.228439972,1.033490261,1.073431976,0.814621301,0.358311642,0.037574854,0.015387149,0.022121717
X13,0.793569265,0.891680155,0.729596501,0.57243112,0.480148029,0.651785453,0.705559945,0.827514028,0.770179555,0.757953747,0.652558012,0.664475835,0.227500163,0.078512534,0.02385485,0.005789375
X14,0.503633781,0.870142179,0.781215931,0.308539668,0.191007182,0.137048128,0.222796266,0.266057406,0.159589697,0.0896315,0.099071987,0.097569968,0.092216672,0.05237886,0.06003332,0.01055187
X15,0.226560301,0.745578278,0.572912751,0.406165988,0.067335372,0.101656352,0.095230489,0.168876785,0.068617501,0.13293202,0.108095426,0.098440335,0.09329462,0.081368529,0.027385976,0.053039585
X16,0.381760857,0.551360983,0.800633228,0.599901798,0.099888059,0.106914498,0.084713861,0.158433249,0.152222642,0.14695799,0.157030013,0.134939342,0.043797706,0.068310754,0.040036307,0.022744927
