,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,1.616745538,0.624001984,0.279361626,0.178893782,0.296270561,0.532850974,0.775431118,0.838201327,0.559568183,0.242476609,0.278708981,0.236356346,0.175416297,0.111392804,0.108834723,0.047790622
X2,0.477475316,6.261459927,0.773757311,0.218533541,0.168433105,0.399150604,0.604632099,0.731443357,0.783228807,0.3343916,0.216249492,0.168505971,0.141068279,0.081666042,0.063299254,0.041776971
X3,0.172585408,1.532341171,6.411598151,0.626552627,0.259000681,0.264080361,0.338117884,0.548997554,0.793201781,0.453399889,0.289276141,0.129406369,0.075369347,0.061568953,0.078262596,0.053397131
X4,0.108226239,0.299002493,2.539383605,10.58660593,1.419315967,0.761220713,0.580850774,0.717027365,0.90334264,1.018415461,0.585813912,0.188363594,0.082076757,0.045667372,0.044501234,0.029398698
X5,0.19211664,0.22569286,0.275001202,2.500764953,4.636955873,2.071472318,1.29366377,1.134531752,0.951180651,1.296807367,0.940104359,0.462994472,0.154971228,0.052716551,0.095551008,0.063367917
X6,0.463869658,0.33895415,0.186403328,0.948527328,2.494392307,4.307841261,2.119600021,1.577381097,1.275726557,1.132519696,1.172668126,0.693497152,0.294928282,0.088085806,0.062685685,0.045739967
X7,0.6325587,0.93307136,0.580123383,0.50624753,1.13109865,2.004308933,3.15040265,1.994255415,1.457758891,1.106626902,0.812829151,0.568874287,0.359676009,0.117683861,0.090756488,0.064076815
X8,0.675372141,1.022235072,0.728077294,0.661227887,0.782864413,1.520469317,1.844189025,2.989373374,2.014987125,1.262726055,0.792042026,0.399198427,0.32914517,0.166973811,0.147472151,0.04667146
X9,0.372326384,0.76689572,0.811382465,1.051623393,0.898486538,1.264028365,1.585780268,1.783970025,2.562735558,1.503648783,0.924031328,0.287722802,0.224781041,0.108521181,0.122280378,0.049108646
X10,0.212377017,0.612021615,0.629749914,1.597342938,0.909436665,1.035426619,1.232607678,1.3832167,1.430216147,1.946607003,0.98404033,0.36981599,0.188101441,0.079417004,0.119143894,0.096709525
X11,0.262848623,0.779367232,1.037775745,1.507351565,1.179657895,1.395163641,1.129177087,1.072178718,1.366397113,1.548255001,1.765773115,0.722710139,0.327020879,0.122485921,0.145946071,0.123416693
X12,0.470586693,0.793358367,0.612541247,0.863809092,0.771797738,1.310271878,1.208032403,0.824195073,0.840459562,0.772480227,1.003661706,1.432934961,0.564010516,0.226022308,0.173826787,0.115762734
X13,0.498932128,0.483707616,0.318799844,0.468091346,0.509781891,0.84079688,1.027834791,0.958260984,0.676309184,0.571636524,0.56401381,0.762039726,1.175957159,0.397938481,0.350538327,0.112232491
X14,0.264536879,0.395699164,0.314525037,0.175425873,0.256497149,0.403569414,0.620171179,0.58830171,0.472594514,0.280978351,0.338406133,0.446278472,0.460220079,0.726001025,0.280394299,0.105520178
X15,0.214999453,0.614679557,0.61439755,0.554182399,0.297799393,0.555194693,0.542969639,0.861944139,0.924135084,0.719549637,0.611735487,0.515284097,0.926119927,0.697144317,1.44242198,0.392580253
X16,0.278854196,0.38874487,0.580670804,0.484085445,0.194404258,0.23133446,0.352581462,0.456631584,0.518648371,0.581317683,0.597547309,0.374599347,0.258015002,0.290711431,0.368718884,0.418755561
