,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,2.704050858,1.814214118,1.01874077,0.638350268,0.874151985,1.192290876,1.253467579,0.996573829,0.598450822,0.329913881,0.300052972,0.201273195,0.152399971,0.1109015,0.057332542,0.0410419
X2,1.77813221,8.157668719,2.921314764,0.874826957,0.481047238,1.020646625,1.334098108,1.286535408,1.012873915,0.436179333,0.250477167,0.18946536,0.176153291,0.118780929,0.055010223,0.049762221
X3,0.787914066,4.096174394,16.96828791,2.263931824,0.886572119,0.684694593,0.914279025,1.205952205,1.2591072,0.677323368,0.325796548,0.131870884,0.104266239,0.106953483,0.072195739,0.068400641
X4,0.409362575,1.118852272,7.039463947,23.75397735,2.459546784,1.068688724,0.695647185,0.970643226,1.052021171,0.870695252,0.431661982,0.163976944,0.103127814,0.061150649,0.033628364,0.026494387
X5,0.578552748,0.519251177,0.759699793,4.913305477,5.04240419,1.928301047,0.994618131,0.683307282,0.635024043,0.726129973,0.453907033,0.239090531,0.112973239,0.039060982,0.036426805,0.03709905
X6,0.969378358,0.549462948,0.361426516,1.19954574,2.306599594,2.507088754,1.309750541,0.804231624,0.594091537,0.502875441,0.482852908,0.256996799,0.153532773,0.046986335,0.01756938,0.015814043
X7,0.931911949,1.275122674,1.100344978,0.63333677,0.921227992,1.353181323,1.588782384,1.082235236,0.701710311,0.44375998,0.367052322,0.254978297,0.188448751,0.06043615,0.029903263,0.028050303
X8,0.832491304,1.350547397,1.239915478,0.731171277,0.535471202,0.828093972,1.063701308,1.345618176,0.944729246,0.496694032,0.317404603,0.188147074,0.184935905,0.10063159,0.050611105,0.022432366
X9,0.550290914,1.005838216,1.326838096,1.348379721,0.66374871,0.635179112,0.821398972,0.922077747,1.098775075,0.643539454,0.388668025,0.14266318,0.14443139,0.081604063,0.044936595,0.027887281
X10,0.31938176,0.574985926,0.769122318,1.420539585,0.62577746,0.500982128,0.509582186,0.578578705,0.608711498,0.642136506,0.407782613,0.172265151,0.094537721,0.033342579,0.033235062,0.036592742
X11,0.292089002,0.487959718,0.806654933,1.01235041,0.635046449,0.659589277,0.505609005,0.427123928,0.548456686,0.581619694,0.510890201,0.291276368,0.121224586,0.029037123,0.024444594,0.026669249
X12,0.343739515,0.425042139,0.465074577,0.528395998,0.34549627,0.526930406,0.500355032,0.36007362,0.376369963,0.31087932,0.358431019,0.307271609,0.168992361,0.036751515,0.01506167,0.01415416
X13,0.48004972,0.435518757,0.380152536,0.469693378,0.352658563,0.494982446,0.570138516,0.601044619,0.396588675,0.316939017,0.288066549,0.319098542,0.26036583,0.122238568,0.037672193,0.018227689
X14,0.328806329,0.4825696,0.415172979,0.214833211,0.234079487,0.295541808,0.47546199,0.506073023,0.375904676,0.136055924,0.11683093,0.125915044,0.167219917,0.20049359,0.087796937,0.028118746
X15,0.159668756,0.475169826,0.428380027,0.394061112,0.133300653,0.237926478,0.217773946,0.438500258,0.403709985,0.332222435,0.209778225,0.099276522,0.128816759,0.15225774,0.160410866,0.105385239
X16,0.370406156,0.527558814,0.878547057,0.658903725,0.220474721,0.184937524,0.269002588,0.545758425,0.64873594,0.576538511,0.457111789,0.149057579,0.080963649,0.148014436,0.159697939,0.120053437
