,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,4.434460375,1.802974603,0.853005012,0.531467503,0.780219126,1.171863587,1.354973122,1.134892982,0.638818272,0.35794092,0.381033996,0.313756427,0.204265046,0.144389096,0.069808649,0.038212622
X2,1.702209338,7.61440567,1.982202586,0.587328605,0.359341541,0.819836295,1.159157164,1.192596853,0.945217214,0.399312946,0.252502089,0.246390554,0.19616712,0.128925891,0.052170235,0.037842046
X3,0.557379677,2.814865864,9.994212601,1.359571115,0.606063895,0.494888116,0.697113003,0.940051268,1.071629189,0.583179674,0.305698044,0.159610545,0.106005575,0.103660905,0.063912457,0.044981394
X4,0.320126437,0.767639879,3.57310317,10.14981504,2.083996255,0.981351222,0.694022056,0.89025556,1.024447176,0.922622425,0.481594896,0.200499307,0.100972995,0.063270797,0.030652144,0.020273201
X5,0.502938977,0.449995059,0.58047219,3.142304519,5.178941149,2.356779028,1.43802303,1.162496932,0.966524619,1.088357091,0.730652763,0.392312315,0.139350186,0.048572746,0.041517827,0.031794985
X6,0.907535456,0.468889356,0.309189115,1.014928797,2.594922256,3.775538293,2.097878677,1.521454945,1.19416863,0.963814137,0.888293539,0.472837743,0.193597787,0.057792589,0.021873092,0.018327958
X7,0.971845122,1.081976404,0.86451139,0.526639933,1.281859008,2.060869856,2.797876039,1.918972074,1.380333237,1.031095087,0.745259709,0.518421521,0.240838688,0.079934268,0.035407105,0.026798806
X8,0.832273431,1.204618862,0.996435001,0.777528314,0.835612001,1.478340635,1.769249289,2.520079918,1.811601792,1.134349027,0.77365625,0.403323947,0.229694277,0.120344784,0.055731034,0.019506342
X9,0.555887962,0.933878073,1.124872377,0.9496145,0.969727013,1.235009645,1.557107332,1.668158219,2.096403502,1.353171083,0.889530511,0.327418221,0.198445406,0.095412706,0.048175145,0.022993613
X10,0.362075941,0.621392668,0.777356272,1.149209516,0.904985289,0.992613038,1.145948948,1.2766657,1.266351529,1.432142383,0.839400114,0.391299598,0.147980565,0.060997521,0.044320415,0.041770543
X11,0.445939332,0.556315512,0.775201414,0.916141412,0.980666144,1.2336837,1.091586903,1.017831077,1.271538743,1.294452863,1.139284985,0.598413268,0.200552081,0.066656936,0.043091848,0.040535412
X12,0.899585106,0.986747926,0.719423461,0.774098577,0.782630301,1.186732029,1.218223244,0.885096676,0.906160466,0.795403361,0.846573292,0.775852118,0.332787266,0.136587692,0.048054361,0.043071712
X13,0.705990338,0.705326949,0.488780406,0.47735101,0.467850573,0.668081526,0.742274106,0.759322946,0.576976456,0.465588295,0.428304256,0.451177399,0.421704953,0.198727815,0.079482329,0.02693633
X14,0.495575779,0.757010836,0.613115774,0.296765643,0.315605983,0.38515611,0.549705958,0.567309063,0.46044705,0.236365725,0.242877921,0.274856219,0.252829706,0.343292174,0.111223987,0.037760723
X15,0.184225543,0.557801694,0.476566796,0.39098035,0.139553051,0.25029105,0.218898585,0.385131774,0.374879133,0.312492575,0.245920018,0.171550302,0.227716005,0.19598785,0.222560599,0.100531768
X16,0.308358033,0.43733012,0.603439378,0.472795133,0.150511196,0.15473148,0.207691467,0.33105589,0.336483555,0.33150813,0.317533072,0.180017633,0.092900113,0.143159124,0.094574351,0.106161215
