,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,3.424206587,1.395944166,0.631407051,0.440890864,0.655183599,1.080024515,1.260281419,1.078078431,0.623796098,0.367935197,0.389832971,0.302824501,0.167747037,0.103122846,0.06178041,0.037242899
X2,1.316369705,6.408964989,1.498019313,0.479032034,0.306109838,0.767206502,1.069437037,1.121445979,0.919729406,0.40141302,0.269737714,0.231509651,0.160224184,0.093020937,0.04631231,0.0372814
X3,0.405504636,2.21163357,8.115554176,1.164393854,0.506441484,0.465032346,0.678161144,0.926102104,1.087722248,0.605632796,0.335096843,0.156115438,0.085928474,0.075117823,0.057531087,0.04624852
X4,0.257706147,0.608231148,3.350363306,11.78800751,2.213365233,1.13353959,0.848076858,1.087676316,1.242058994,1.13928504,0.613505949,0.25327407,0.099541354,0.050604452,0.029999878,0.022282893
X5,0.413525595,0.34486031,0.485191522,3.477758532,5.11751034,2.538470567,1.594662555,1.408635728,1.167852457,1.284219524,0.907581904,0.471264953,0.14659863,0.037656003,0.040596616,0.035181848
X6,0.856442298,0.491997247,0.328748786,1.261127544,2.945428359,4.327913794,2.415198558,1.857805834,1.520085013,1.230427457,1.165319818,0.615955237,0.223225248,0.054496257,0.024110756,0.02200257
X7,0.894296967,1.214759991,0.952667704,0.684454853,1.419183782,2.385977752,3.172977044,2.302737378,1.719587596,1.30675328,0.980786269,0.654414679,0.268846089,0.071601345,0.038911734,0.03311543
X8,0.857396573,1.314654097,1.139745928,1.022612864,0.994405724,1.808629622,2.159105265,3.08481478,2.334979516,1.482614426,1.053808881,0.537454214,0.25603975,0.117815608,0.066475509,0.02621305
X9,0.523064187,0.951917411,1.216401776,1.405785303,1.191939509,1.544160498,1.922055327,2.134503826,2.725601926,1.805448034,1.252894222,0.455431258,0.220575603,0.094241434,0.058286892,0.0305335
X10,0.462157713,0.693141483,0.856469528,1.766035341,1.115517146,1.256156245,1.459468384,1.651612235,1.696693583,1.892074294,1.176961128,0.543376644,0.16409698,0.055897697,0.05162929,0.053040638
X11,0.46732117,0.76661929,1.071854188,1.487044124,1.281773073,1.658594394,1.46625688,1.39357102,1.800041647,1.863993743,1.663496713,0.879096106,0.239589953,0.064341493,0.051714743,0.055103815
X12,0.771801243,0.893932948,0.783481314,0.991913753,0.888360571,1.419818095,1.463601414,1.128697824,1.224719726,1.025569198,1.156259133,0.992348421,0.356341404,0.11410156,0.049605926,0.044353843
X13,0.570830209,0.532517387,0.393887547,0.481320687,0.452314842,0.690206291,0.785746816,0.818469428,0.632780493,0.527411209,0.484056175,0.499564609,0.392260755,0.167474755,0.076972111,0.029936197
X14,0.303530508,0.459875985,0.372330193,0.203657812,0.226534625,0.301033981,0.447214924,0.462703539,0.374355079,0.190469467,0.190154618,0.21831488,0.192542144,0.253132434,0.092630869,0.03375807
X15,0.15506912,0.443643207,0.389006173,0.363703106,0.135991443,0.256325464,0.237912115,0.428511907,0.420995547,0.326371752,0.247334694,0.17316692,0.223469891,0.183181483,0.237411743,0.111167181
X16,0.293400093,0.408546543,0.589871264,0.504814933,0.167190844,0.179045441,0.250427772,0.397543326,0.408406749,0.384089369,0.361044142,0.193093362,0.098496348,0.146730538,0.117010124,0.131026141
