,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,6.018313125,2.896563864,1.453161675,0.836170977,1.16740734,1.612658035,1.687260972,1.383093205,0.743191219,0.458319978,0.436634411,0.390039631,0.223726635,0.170975889,0.016184081,0.014872992
X2,2.720133963,11.82412096,3.09994078,0.854872431,0.54046121,1.111372252,1.336694507,1.325838155,0.963997122,0.457772548,0.299551442,0.29714246,0.215003635,0.14643378,0.022400903,0.013581129
X3,0.970254009,4.368511059,13.94532225,1.848357337,0.859333745,0.696028168,0.901324183,1.071283302,1.085104776,0.635319408,0.33441822,0.18165131,0.116418349,0.11981438,0.030855629,0.012536949
X4,0.519532207,1.186089196,5.224369708,14.88205111,2.452972607,1.131055933,0.779113166,0.989130445,0.96852651,0.856437954,0.475017285,0.242212702,0.14192708,0.066978944,0.015660529,0.0086778
X5,0.773793021,0.705731514,0.874999191,4.365265622,5.327249447,2.247175954,1.286024543,1.016652296,0.813088151,0.875146878,0.611204764,0.380574968,0.202963289,0.045315075,0.010674157,0.007612417
X6,1.129992972,0.673543902,0.483326749,1.227041233,2.568771454,2.998340256,1.664064684,1.209125992,0.915776902,0.761604273,0.704967605,0.426677068,0.255072624,0.048027202,0.00465941,0.008130291
X7,1.143716472,1.504264358,1.238228696,0.667812219,1.177564771,1.729730987,1.952224795,1.474034302,1.04902927,0.802729581,0.608247609,0.479587092,0.283382401,0.059791455,0.011418159,0.005780093
X8,1.015491511,1.460870147,1.177081101,0.833849491,0.740461841,1.207890956,1.377631999,1.777892518,1.348497851,0.875238435,0.655112022,0.390418778,0.241119544,0.094389336,0.015836663,0.005486446
X9,0.700481495,1.141839422,1.252958401,1.094897225,0.819523982,0.973169019,1.182220903,1.264157879,1.422491234,1.032269712,0.766295262,0.339816439,0.273865966,0.083400644,0.017751156,0.0104269
X10,0.550025639,0.908515213,0.999108899,1.376137494,0.76640977,0.825986458,0.916324242,1.029969065,0.973749863,1.017442746,0.734010648,0.431250301,0.211411055,0.054108925,0.019623757,0.020888541
X11,0.514195062,0.786539369,1.056416696,1.052871152,0.775359727,0.989730671,0.908005179,0.863015435,1.0726985,1.117811706,0.947730816,0.633691029,0.266464083,0.045125154,0.018895599,0.018499117
X12,1.246622451,1.497416075,1.208723761,1.019000043,0.766131225,1.160432291,1.198225413,0.896577704,0.933805015,0.88407201,0.927521825,0.731446806,0.421511706,0.119393884,0.021930905,0.032661673
X13,0.683179246,0.718213575,0.693737327,0.506558825,0.485273204,0.700322147,0.767633498,0.860271889,0.757368612,0.699500418,0.642204529,0.636289359,0.343240932,0.111395343,0.019079553,0.004392342
X14,0.586631925,0.926594582,0.721068412,0.292623694,0.288384262,0.322980389,0.454145035,0.481929227,0.382020582,0.202785152,0.210888377,0.21691764,0.163825294,0.161388997,0.055952712,0.01262616
X15,1.2888E-28,5.09382E-26,2.5483E-06,0.007603135,1.6836E-05,2.12447E-05,3.57268E-05,0.00765258,0.007877142,0.021163079,0.035207555,0.021470177,0.007762858,0.008029357,0.007929495,0.021408651
X16,2.81655E-94,0.021082788,8.44683E-42,0.021206189,4.66E-05,0.007632104,4.69316E-05,8.42184E-05,2.77788E-05,1.03294E-05,1.0684E-05,1.59767E-46,1.174E-65,1.02832E-05,5.1693E-49,8.2841E-43
