,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,5.936211483,2.840265361,1.563879038,0.957644821,1.362310506,1.684723455,1.679661265,1.194290509,0.637004863,0.357466738,0.35224986,0.274821193,0.170337177,0.120810257,0.061030418,0.032340391
X2,2.610440934,14.97620629,3.297717307,0.971018567,0.59058682,1.100114887,1.291448031,1.100491267,0.790686714,0.369788823,0.233716447,0.201719002,0.153462624,0.096539179,0.042266404,0.027044208
X3,1.116166764,4.953390923,16.07635722,2.24157786,0.971141386,0.708309166,0.848483336,0.939814969,0.899140668,0.515174427,0.269612441,0.136005631,0.089136399,0.085895709,0.056935266,0.033834392
X4,0.62416562,1.38615408,6.724901697,21.09934833,2.807305542,1.114840044,0.672016375,0.809522809,0.789688563,0.703583438,0.374619924,0.168294713,0.098828012,0.053899316,0.028778357,0.016283287
X5,0.859230594,0.703580622,0.879525238,5.544530001,6.267789514,2.087750031,1.017337555,0.610506427,0.50060482,0.596636296,0.39204955,0.229549541,0.102235984,0.031969273,0.027498824,0.019357228
X6,1.228197249,0.690897085,0.402133019,1.221783769,2.519536999,2.466290454,1.219539677,0.669331283,0.458806095,0.401829509,0.37569351,0.218587426,0.122890434,0.031779582,0.011676096,0.009969432
X7,1.14437723,1.484279891,1.106474109,0.6003624,0.934101934,1.263904256,1.319613198,0.843281461,0.523484286,0.365974959,0.295792876,0.218337702,0.135611433,0.033393647,0.01724254,0.011393661
X8,0.884446276,1.272833703,1.034284685,0.610222761,0.464996335,0.6830227,0.804774471,0.881625204,0.628851863,0.378560834,0.268163968,0.161562993,0.109457056,0.04654478,0.022939149,0.00722899
X9,0.626727457,0.940789285,1.037011123,0.932354826,0.488795024,0.482871795,0.596063596,0.605411152,0.656475482,0.468429119,0.327300402,0.1345291,0.111358825,0.033165213,0.020125933,0.00910676
X10,0.379280182,0.772806414,0.823318277,1.176459348,0.502102217,0.418641143,0.431804852,0.473634118,0.46783948,0.466121046,0.344592852,0.177772148,0.090040517,0.023449018,0.018057589,0.014494545
X11,0.385748813,0.691380198,0.886587681,0.934283064,0.551342335,0.53357817,0.444285319,0.37683003,0.485821818,0.518377048,0.422467433,0.279986228,0.119001798,0.024525343,0.019048808,0.017161015
X12,0.584167332,0.869659589,0.711397333,0.718281157,0.431506245,0.542690451,0.51333353,0.363123138,0.381286268,0.365857663,0.381935334,0.310466196,0.198752509,0.056893935,0.021407322,0.01602129
X13,0.498415868,0.632439613,0.503876862,0.487799971,0.304782181,0.367963738,0.401996154,0.422424898,0.329837336,0.305122596,0.290580568,0.30634861,0.172448915,0.083360961,0.031465395,0.009100904
X14,0.314316772,0.562642417,0.480958636,0.217577687,0.188990213,0.184073489,0.235072498,0.235093411,0.163426856,0.094906161,0.104772366,0.124146826,0.100310017,0.092726951,0.056099295,0.013299477
X15,0.156477203,0.489662437,0.491936423,0.370106299,0.092895756,0.147126021,0.116945019,0.197527767,0.189360463,0.160778909,0.146083307,0.110265111,0.113536859,0.085462762,0.069630059,0.060887225
X16,0.216985063,0.338674503,0.519362459,0.400605778,0.088603071,0.088461424,0.099559577,0.146808825,0.162362292,0.138787638,0.168963146,0.08680259,0.053525576,0.072374171,0.050948859,0.036050257
