,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
X1,6.399918487,3.249754576,1.613238183,0.917461484,1.266240991,1.538445629,1.432217184,0.966697647,0.541826006,0.292586755,0.275631172,0.205035965,0.138805268,0.107731516,0.054364921,0.020905755
X2,3.288508568,18.20158275,3.874517192,1.050696578,0.647198435,1.231144284,1.310138013,1.045801844,0.719036031,0.346545504,0.229675785,0.192950226,0.170035083,0.101708305,0.041882923,0.021999108
X3,1.228643256,5.778717214,17.7420312,1.97479735,0.90568871,0.716629425,0.844154429,0.823367176,0.737791005,0.421188826,0.233941309,0.118451517,0.086189336,0.077841416,0.052070733,0.024659813
X4,0.663646211,1.476980818,5.793894488,13.6718991,2.746810974,1.251991893,0.832843178,0.935903046,0.855763631,0.682825888,0.380794956,0.202405627,0.116083432,0.043527345,0.024867012,0.011247737
X5,0.909701945,0.7646711,0.870056173,4.586528881,5.627777996,2.496662905,1.459242778,1.19679472,0.882944725,0.794189546,0.565660699,0.334779811,0.176880936,0.026425581,0.021340084,0.011779416
X6,1.367064713,0.813483129,0.485644663,1.364461359,2.974308783,3.322021697,1.966422313,1.477915113,1.188225336,0.891593628,0.73984221,0.425358756,0.227343123,0.025597645,0.009969378,0.006362029
X7,1.273102733,1.729131991,1.303084406,0.679677221,1.322900843,2.013328432,2.147428787,1.745995233,1.326332669,1.030534886,0.690351587,0.490063488,0.234649447,0.026091604,0.013676725,0.007710937
X8,1.125170777,1.642817258,1.352057055,0.974905633,0.850857245,1.451691531,1.655796083,1.956970169,1.741108636,1.160340932,0.844724725,0.442380782,0.194280745,0.041773806,0.020869614,0.005284155
X9,0.905192054,1.284038705,1.376893284,1.19143118,0.940532258,1.213866671,1.491224117,1.597924275,1.75114315,1.441673806,1.034449114,0.437470765,0.241659441,0.025796547,0.021295585,0.007280442
X10,0.469514612,0.978538499,1.075709408,1.392836236,0.811812789,0.974884016,1.155244627,1.309700921,1.324393152,1.259874522,0.901898238,0.535079951,0.198134393,0.021130692,0.01631231,0.009579278
X11,0.467198319,0.839374904,1.14401728,1.081007435,0.793833158,1.06275813,1.112794583,1.09316893,1.456553009,1.476370986,1.111683115,0.7183683,0.245595899,0.026888761,0.020544023,0.015414111
X12,0.636606835,1.017416542,0.939750198,0.860944889,0.645243934,0.929027903,1.086977181,0.937261078,1.122333348,0.98582871,0.938636787,0.704220611,0.358581991,0.066299001,0.025806224,0.013463399
X13,0.623624226,0.92208557,0.745161196,0.624058308,0.479279666,0.659422748,0.736123761,0.83420684,0.76105895,0.74374983,0.635230831,0.64209119,0.223609321,0.095119499,0.039799654,0.010468607
X14,0.328323609,0.650385181,0.579760675,0.234084156,0.193928607,0.180492041,0.200468332,0.198505251,0.111072726,0.083838034,0.116955697,0.143978249,0.103805885,0.060494311,0.057748566,0.013175888
X15,0.186721798,0.588964479,0.676942087,0.457697294,0.093980894,0.158143411,0.115934961,0.191453485,0.210908461,0.156186537,0.162802508,0.140433634,0.137738179,0.087506173,0.053866664,0.064308655
X16,0.157190744,0.280639448,0.457976435,0.339181563,0.059399123,0.063062112,0.072832162,0.084427514,0.099141914,0.073006541,0.12265099,0.055998144,0.054272645,0.062934145,0.04504753,0.022491932
