Input	../Output/Countries/AFG.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	61
beta0	3.31867	error	0.0468146
beta1	0.0583056	error	0.00121946

X	Y	Error	Weight
0	3.44773	0.203556	1
1	3.45676	0.20329	1
2	3.57153	0.199997	1
3	3.56753	0.200109	1
4	3.55535	0.200452	1
5	3.60316	0.199117	1
6	3.59926	0.199225	1
7	3.6525	0.197768	1
8	3.75117	0.195149	1
9	3.7274	0.195771	1
10	3.88303	0.191808	1
11	3.92902	0.190682	1
12	3.98101	0.189432	1
13	3.98898	0.189243	1
14	4.01766	0.188566	1
15	3.94296	0.190344	1
16	3.98898	0.189243	1
17	4.02535	0.188386	1
18	4.03298	0.188208	1
19	4.10382	0.186577	1
20	4.32696	0.181702	1
21	4.33636	0.181505	1
22	4.57176	0.17677	1
23	4.65668	0.175151	1
24	4.69135	0.174503	1
25	4.84644	0.171688	1
26	4.92102	0.170382	1
27	4.96783	0.169577	1
28	5.12141	0.167015	1
29	5.13664	0.166768	1
30	5.29474	0.164259	1
31	5.33547	0.163631	1
32	5.3244	0.163801	1
33	5.36062	0.163246	1
34	5.41419	0.162437	1
35	5.49129	0.161292	1
36	5.54518	0.160507	1
37	5.51745	0.160909	1
38	5.56834	0.160172	1
39	5.69229	0.158419	1
40	5.78294	0.157172	1
41	5.82093	0.156659	1
42	5.7781	0.157238	1
43	5.83146	0.156517	1
44	5.9499	0.154952	1
45	6.03309	0.15388	1
46	6.07271	0.153377	1
47	6.114	0.152858	1
48	6.24222	0.15128	1
49	6.32794	0.150252	1
50	6.37356	0.149713	1
51	6.39216	0.149495	1
52	6.42348	0.14913	1
53	6.43478	0.148999	1
54	6.45317	0.148787	1
55	6.4719	0.148571	1
56	6.49289	0.148331	1
57	6.48289	0.148445	1
58	6.50472	0.148196	1
59	6.53275	0.147878	1
60	6.57488	0.147403	1
61	6.63144	0.146773	1
62	6.57647	0.147385	0
63	6.59831	0.147141	0
64	6.60414	0.147076	0
65	6.56123	0.147556	0
66	6.54617	0.147726	0
67	6.53814	0.147817	0
68	6.48311	0.148443	0
69	6.47741	0.148508	0
70	6.44912	0.148834	0
71	6.49029	0.148361	0
72	6.54124	0.147782	0
73	6.51619	0.148066	0
74	6.49699	0.148284	0
75	6.42787	0.149079	0
76	6.42556	0.149106	0
77	6.36475	0.149817	0
78	6.24721	0.15122	0
79	6.11147	0.15289	0
80	6.00106	0.15429	0
81	5.92845	0.155232	0
82	5.90146	0.155586	0
83	5.74025	0.157756	0
84	5.71326	0.158128	0
85	5.6947	0.158386	0
86	5.67283	0.158691	0
87	5.71373	0.158122	0
88	5.57541	0.160071	0
89	5.58939	0.159871	0
90	5.68261	0.158554	0
91	5.64696	0.159054	0
92	5.6307	0.159283	0
93	5.58618	0.159917	0
94	5.52602	0.160785	0
95	5.59631	0.159772	0
96	5.58778	0.159894	0
97	5.48894	0.161327	0
98	5.36731	0.163145	0
99	5.30898	0.164038	0
100	5.26638	0.1647	0
101	5.29832	0.164203	0
102	5.11199	0.167169	0
103	4.99625	0.169094	0
104	4.88172	0.171066	0
105	4.97377	0.169476	0
106	4.85426	0.171549	0
107	4.82831	0.17201	0
108	4.65123	0.175254	0
109	4.80869	0.17236	0
110	4.6861	0.1746	0
111	4.67015	0.174898	0
112	4.59656	0.176293	0
113	4.6874	0.174576	0
114	4.67815	0.174749	0
115	4.66881	0.174923	0
116	4.47408	0.178689	0
117	4.58643	0.176487	0
118	4.56732	0.176856	0
119	4.37126	0.180779	0
120	4.23618	0.183639	0
121	4.08237	0.187066	0
122	3.93183	0.190614	0
123	4.0355	0.188149	0
124	3.88597	0.191735	0
125	3.90054	0.191377	0
126	3.9995	0.188994	0
127	4.08478	0.187011	0
128	4.24235	0.183505	0
129	4.30019	0.182267	0
130	4.25662	0.183197	0
131	4.25054	0.183328	0
132	4.26066	0.18311	0
133	4.28261	0.18264	0
134	4.29632	0.182349	0
135	4.16334	0.185238	0
136	4.07996	0.187121	0
137	4.11788	0.186258	0
138	4.0151	0.188626	0
139	4.05055	0.187799	0
140	4.04556	0.187915	0
141	3.98898	0.189243	0
142	3.91488	0.191026	0
143	3.92057	0.190887	0
144	3.64134	0.198071	0
145	3.55535	0.200452	0
146	3.29584	0.208194	0
147	3.16002	0.212621	0
148	2.79031	0.226269	0
149	2.93688	0.22055	0
150	2.99573	0.218373	0
151	3.18399	0.211819	0
152	3.21314	0.210856	0
153	3.30637	0.207862	0
154	3.54714	0.200683	0
155	3.86822	0.192174	0
156	3.84404	0.192778	0
157	3.7612	0.194889	0
158	3.70305	0.196413	0
159	3.76452	0.194803	0
160	3.813	0.193561	0
161	3.81615	0.193481	0
162	3.6817	0.196982	0
163	3.74107	0.195413	0
164	3.79389	0.194048	0
165	3.75787	0.194976	0
166	3.7274	0.195771	0
167	3.6817	0.196982	0
168	3.8471	0.192701	0
169	3.76452	0.194803	0
170	3.69245	0.196695	0
171	3.72398	0.195861	0
172	3.75117	0.195149	0
173	3.72052	0.195952	0
174	3.66356	0.197469	0
175	3.26358	0.20922	0
176	3.16002	0.212621	0
177	3.11667	0.214095	0
178	2.86625	0.223251	0
179	2.79905	0.225915	0
180	2.69847	0.230087	0
181	2.70805	0.22968	0
182	2.79031	0.226269	0
183	3.26358	0.20922	0
184	3.50083	0.202007	0
185	3.68888	0.19679	0
186	3.85621	0.192473	0
187	4.05302	0.187742	0
188	4.06044	0.18757	0
189	4.18097	0.184847	0
190	4.15888	0.185337	0
191	4.1454	0.185638	0
192	4.1544	0.185437	0
193	4.07024	0.187345	0
194	4.03298	0.188208	0
195	4.1363	0.185842	0
196	4.04806	0.187857	0
197	4.08717	0.186956	0
198	4.14314	0.185689	0
199	4.30019	0.182267	0
200	4.45102	0.179152	0
201	4.44935	0.179186	0
202	4.49503	0.178273	0
203	4.50457	0.178084	0
204	4.53106	0.177562	0
205	4.55086	0.177176	0
206	4.50771	0.178022	0
207	4.51867	0.177806	0
208	4.52644	0.177653	0
209	4.54177	0.177353	0
210	4.55838	0.177029	0
211	4.59944	0.176237	0
212	4.59944	0.176237	0
213	4.55987	0.177001	0
214	4.55688	0.177059	0
215	4.51712	0.177836	0
216	4.46426	0.178886	0
217	4.54329	0.177323	0
218	4.55237	0.177146	0
219	4.65396	0.175202	0
220	4.73243	0.173744	0
221	4.81102	0.172319	0
222	4.95583	0.169782	0
223	4.96384	0.169645	0
224	5.03973	0.168363	0
225	5.1197	0.167043	0
226	5.15906	0.166405	0
227	5.23568	0.165183	0
228	5.28538	0.164404	0
229	5.29402	0.16427	0
230	5.34574	0.163473	0
231	5.34438	0.163494	0
232	5.38056	0.162944	0
233	5.36263	0.163216	0
234	5.34028	0.163557	0
235	5.31461	0.163951	0
236	5.26933	0.164654	0
237	5.25526	0.164875	0
238	5.30544	0.164093	0
239	5.21338	0.165536	0
240	5.25601	0.164863	0
241	5.25002	0.164957	0
242	5.17453	0.166156	0
243	5.0698	0.167863	0
244	5.16723	0.166273	0
245	5.1358	0.166781	0
246	5.17857	0.166091	0
