Input	../Output/Countries/ALB.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	146
beta0	4.04649	error	0.0295356
beta1	0.0107557	error	0.000336357

X	Y	Error	Weight
0	3.50083	0.202007	1
1	3.67087	0.197273	1
2	3.84404	0.192778	1
3	3.97567	0.18956	1
4	3.9969	0.189056	1
5	4.05302	0.187742	1
6	4.0991	0.186684	1
7	4.11087	0.186416	1
8	4.14314	0.185689	1
9	4.05797	0.187627	1
10	3.98101	0.189432	1
11	4.02535	0.188386	1
12	4.0555	0.187685	1
13	4.12019	0.186205	1
14	4.13858	0.185791	1
15	4.14086	0.18574	1
16	4.20895	0.184232	1
17	4.2444	0.183461	1
18	4.19827	0.184466	1
19	4.20683	0.184278	1
20	4.23411	0.183683	1
21	4.24645	0.183416	1
22	4.25054	0.183328	1
23	4.26469	0.183024	1
24	4.27468	0.18281	1
25	4.31939	0.181861	1
26	4.31939	0.181861	1
27	4.31939	0.181861	1
28	4.36764	0.180854	1
29	4.38381	0.18052	1
30	4.46262	0.178919	1
31	4.49822	0.178209	1
32	4.52489	0.177683	1
33	4.55086	0.177176	1
34	4.49663	0.178241	1
35	4.51086	0.17796	1
36	4.50929	0.177991	1
37	4.45102	0.179152	1
38	4.48864	0.1784	1
39	4.46096	0.178952	1
40	4.47571	0.178657	1
41	4.55237	0.177146	1
42	4.49822	0.178209	1
43	4.56584	0.176885	1
44	4.61795	0.175884	1
45	4.61512	0.175938	1
46	4.67015	0.174898	1
47	4.64851	0.175305	1
48	4.6137	0.175965	1
49	4.6861	0.1746	1
50	4.68213	0.174674	1
51	4.66074	0.175075	1
52	4.67815	0.174749	1
53	4.7185	0.174	1
54	4.76217	0.1732	1
55	4.82831	0.17201	1
56	4.83287	0.171929	1
57	4.84756	0.171668	1
58	4.87411	0.1712	1
59	4.88497	0.171009	1
60	4.88712	0.170972	1
61	4.9158	0.170472	1
62	4.92725	0.170274	1
63	4.94673	0.169939	1
64	4.93036	0.17022	1
65	4.92414	0.170328	1
66	4.9396	0.170061	1
67	4.95683	0.169765	1
68	4.95784	0.169748	1
69	4.96384	0.169645	1
70	4.97673	0.169426	1
71	5.00777	0.1689	1
72	5.06259	0.167983	1
73	5.06169	0.167998	1
74	5.0707	0.167848	1
75	5.0716	0.167833	1
76	5.03509	0.168441	1
77	4.96584	0.169611	1
78	4.91371	0.170509	1
79	4.86533	0.171354	1
80	4.79579	0.172592	1
81	4.73996	0.173606	1
82	4.68872	0.174552	1
83	4.70308	0.174285	1
84	4.76704	0.173112	1
85	4.82831	0.17201	1
86	4.84867	0.171648	1
87	4.90739	0.170618	1
88	4.93756	0.170096	1
89	4.97772	0.169409	1
90	5.01443	0.168787	1
91	5.04158	0.168332	1
92	5.05534	0.168103	1
93	5.0698	0.167863	1
94	5.07428	0.167789	1
95	5.068	0.167893	1
96	5.04619	0.168255	1
97	5.01254	0.168819	1
98	5.00202	0.168997	1
99	4.99335	0.169143	1
100	4.97673	0.169426	1
101	4.95583	0.169782	1
102	4.93241	0.170185	1
103	4.93447	0.170149	1
104	4.93344	0.170167	1
105	4.88605	0.170991	1
106	4.82717	0.17203	1
107	4.80636	0.172402	1
108	4.80167	0.172486	1
109	4.81335	0.172277	1
110	4.83968	0.171808	1
111	4.87847	0.171123	1
112	4.92518	0.17031	1
113	4.96882	0.16956	1
114	4.98066	0.169359	1
115	5.01063	0.168851	1
116	5.03973	0.168363	1
117	5.05077	0.168179	1
118	5.05807	0.168058	1
119	5.0698	0.167863	1
120	5.08671	0.167584	1
121	5.11026	0.167197	1
122	5.13075	0.166863	1
123	5.16479	0.166312	1
124	5.23416	0.165207	1
125	5.32301	0.163822	1
126	5.39558	0.162717	1
127	5.46625	0.161661	1
128	5.53846	0.160604	1
129	5.60317	0.159674	1
130	5.65149	0.15899	1
131	5.67382	0.158677	1
132	5.68212	0.158561	1
133	5.69613	0.158366	1
134	5.70474	0.158246	1
135	5.7014	0.158292	1
136	5.69325	0.158406	1
137	5.69996	0.158312	1
138	5.68698	0.158493	1
139	5.69325	0.158406	1
140	5.66346	0.158822	1
141	5.67724	0.158629	1
142	5.69325	0.158406	1
143	5.73887	0.157775	1
144	5.77721	0.15725	1
145	5.83981	0.156405	1
146	5.90808	0.155499	1
147	6.00212	0.154276	0
148	6.06179	0.153515	0
149	6.12749	0.15269	0
150	6.18268	0.152007	0
151	6.21489	0.151612	0
152	6.21175	0.151651	0
153	6.21203	0.151647	0
154	6.22258	0.151519	0
155	6.24942	0.151193	0
156	6.27045	0.150939	0
157	6.30523	0.150522	0
158	6.3571	0.149907	0
159	6.44617	0.148868	0
160	6.52167	0.148003	0
161	6.56386	0.147527	0
162	6.55739	0.1476	0
163	6.59578	0.14717	0
164	6.60549	0.147061	0
165	6.59246	0.147207	0
166	6.56667	0.147495	0
167	6.52754	0.147937	0
168	6.4866	0.148403	0
169	6.54371	0.147754	0
170	6.49354	0.148324	0
171	6.51238	0.148109	0
172	6.52524	0.147963	0
173	6.55129	0.147668	0
174	6.58262	0.147317	0
175	6.64044	0.146674	0
176	6.64137	0.146664	0
177	6.66678	0.146384	0
