Input	../Output/Countries/AND.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	36
beta0	3.7647	error	0.0722783
beta1	-0.0701912	error	0.00428635

X	Y	Error	Weight
0	3.44773	0.203556	1
1	3.45224	0.203423	1
2	3.52215	0.201394	1
3	3.41069	0.204659	1
4	3.36235	0.206124	1
5	3.37222	0.205823	1
6	3.20157	0.211237	1
7	3.11667	0.214095	1
8	3.17208	0.212216	1
9	3.09752	0.214755	1
10	3.18399	0.211819	1
11	3.21314	0.210856	1
12	3.09752	0.214755	1
13	3.14169	0.21324	1
14	2.95938	0.21971	1
15	2.97405	0.219168	1
16	2.8499	0.223891	1
17	2.79031	0.226269	1
18	2.74541	0.228112	1
19	2.55389	0.23651	1
20	2.60793	0.234047	1
21	2.6888	0.2305	1
22	2.37155	0.245434	1
23	2.31678	0.248318	1
24	2.11457	0.25992	1
25	1.96613	0.269553	1
26	1.96613	0.269553	1
27	1.60944	0.29793	1
28	1.58042	0.300652	1
29	1.27285	0.335014	1
30	1.31211	0.329964	1
31	1.31211	0.329964	1
32	1.04977	0.368896	1
33	1.14518	0.353195	1
34	0.693147	0.453982	1
35	0.251537	0.753616	1
36	0.356975	0.632604	1
