Input	../Output/Countries/ARG.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	133
beta0	3.7211	error	0.0292459
beta1	0.0387757	error	0.000345843

X	Y	Error	Weight
0	3.45224	0.203423	1
1	3.55535	0.200452	1
2	3.81927	0.193402	1
3	3.78419	0.194296	1
4	4.05797	0.187627	1
5	4.18749	0.184703	1
6	4.33073	0.181623	1
7	4.2258	0.183864	1
8	4.306	0.182144	1
9	4.55688	0.177059	1
10	4.55688	0.177059	1
11	4.5014	0.178147	1
12	4.57028	0.176799	1
13	4.68872	0.174552	1
14	4.6137	0.175965	1
15	4.6526	0.175228	1
16	4.40672	0.18005	1
17	4.54785	0.177234	1
18	4.54935	0.177205	1
19	4.61936	0.175857	1
20	4.31558	0.181941	1
21	4.59223	0.176376	1
22	4.5372	0.177442	1
23	4.52952	0.177593	1
24	4.64439	0.175383	1
25	4.70824	0.174189	1
26	4.59656	0.176293	1
27	4.71722	0.174023	1
28	4.60087	0.17621	1
29	4.65123	0.175254	1
30	4.67948	0.174724	1
31	4.6066	0.176101	1
32	4.81567	0.172236	1
33	4.89784	0.170785	1
34	4.98361	0.169309	1
35	5.01349	0.168803	1
36	5.022	0.16866	1
37	5.05351	0.168134	1
38	5.09375	0.167468	1
39	4.95482	0.1698	1
40	4.88389	0.171028	1
41	4.85759	0.171491	1
42	4.84644	0.171688	1
43	4.83855	0.171828	1
44	4.84867	0.171648	1
45	4.88172	0.171066	1
46	4.90315	0.170692	1
47	5.03788	0.168394	1
48	5.0526	0.168149	1
49	5.18579	0.165975	1
50	5.29187	0.164303	1
51	5.39558	0.162717	1
52	5.47527	0.161528	1
53	5.52886	0.160743	1
54	5.58671	0.159909	1
55	5.66939	0.158739	1
56	5.67185	0.158704	1
57	5.70044	0.158306	1
58	5.771	0.157335	1
59	5.83898	0.156416	1
60	5.99039	0.154427	1
61	6.11558	0.152838	1
62	6.22823	0.15145	1
63	6.35014	0.149989	1
64	6.41041	0.149282	1
65	6.44776	0.148849	1
66	6.49871	0.148265	1
67	6.5244	0.147972	1
68	6.52419	0.147975	1
69	6.54309	0.147761	1
70	6.52524	0.147963	1
71	6.52775	0.147934	1
72	6.58932	0.147242	1
73	6.63613	0.146721	1
74	6.66568	0.146396	1
75	6.68782	0.146153	1
76	6.72074	0.145795	1
77	6.74406	0.145543	1
78	6.7872	0.145079	1
79	6.82468	0.14468	1
80	6.86678	0.144236	1
81	6.93259	0.14355	1
82	7.00657	0.14279	1
83	7.07508	0.142097	1
84	7.13466	0.141503	1
85	7.17724	0.141082	1
86	7.20234	0.140836	1
87	7.21996	0.140664	1
88	7.27804	0.140102	1
89	7.34195	0.139491	1
90	7.35143	0.139401	1
91	7.37847	0.139145	1
92	7.45885	0.138393	1
93	7.53017	0.137736	1
94	7.62204	0.136904	1
95	7.66636	0.136507	1
96	7.72014	0.136031	1
97	7.76763	0.135615	1
98	7.80373	0.135301	1
99	7.81469	0.135206	1
100	7.81411	0.135211	1
101	7.81521	0.135201	1
102	7.82313	0.135133	1
103	7.82078	0.135153	1
104	7.83156	0.13506	1
105	7.84564	0.134939	1
106	7.86211	0.134797	1
107	7.9008	0.134467	1
108	7.94919	0.134057	1
109	7.99449	0.133677	1
110	8.01933	0.133469	1
111	8.05892	0.133141	1
112	8.06872	0.13306	1
113	8.08939	0.13289	1
114	8.11816	0.132655	1
115	8.14472	0.132438	1
116	8.14364	0.132447	1
117	8.19032	0.132069	1
118	8.18132	0.132142	1
119	8.24234	0.131651	1
120	8.27636	0.131381	1
121	8.33629	0.130908	1
122	8.38786	0.130504	1
123	8.46572	0.129903	1
124	8.49463	0.129682	1
125	8.54007	0.129336	1
126	8.53898	0.129344	1
127	8.56304	0.129163	1
128	8.57915	0.129041	1
129	8.57535	0.12907	1
130	8.58207	0.129019	1
131	8.59368	0.128932	1
132	8.60492	0.128848	1
133	8.63543	0.12862	1
134	8.63376	0.128633	0
135	8.65521	0.128473	0
136	8.69201	0.128201	0
137	8.7189	0.128003	0
138	8.75452	0.127742	0
139	8.77445	0.127597	0
140	8.75913	0.127709	0
141	8.81465	0.127306	0
142	8.81996	0.127268	0
143	8.83079	0.127189	0
144	8.83048	0.127192	0
145	8.80687	0.127362	0
146	8.81812	0.127281	0
147	8.8345	0.127163	0
148	8.77422	0.127599	0
149	8.76973	0.127632	0
150	8.74797	0.12779	0
151	8.76432	0.127671	0
152	8.80357	0.127386	0
153	8.82682	0.127218	0
154	8.82436	0.127236	0
155	8.9081	0.126636	0
156	8.94474	0.126377	0
157	9.01413	0.125889	0
158	9.04627	0.125666	0
159	9.10444	0.125263	0
160	9.12753	0.125105	0
161	9.15561	0.124913	0
162	9.16457	0.124852	0
163	9.19015	0.124678	0
164	9.19572	0.12464	0
165	9.2232	0.124454	0
166	9.20852	0.124554	0
167	9.21841	0.124487	0
168	9.21556	0.124506	0
169	9.21422	0.124515	0
170	9.23566	0.12437	0
171	9.25396	0.124247	0
172	9.2523	0.124258	0
173	9.26351	0.124183	0
174	9.27499	0.124106	0
175	9.30233	0.123924	0
176	9.31134	0.123864	0
177	9.30959	0.123876	0
178	9.30199	0.123926	0
179	9.31232	0.123857	0
180	9.31795	0.12382	0
181	9.29852	0.123949	0
182	9.29031	0.124004	0
183	9.27534	0.124104	0
184	9.27714	0.124092	0
185	9.28977	0.124008	0
186	9.29983	0.123941	0
187	9.31312	0.123852	0
188	9.33823	0.123685	0
189	9.34337	0.123651	0
190	9.3805	0.123406	0
191	9.39783	0.123293	0
192	9.41854	0.123157	0
193	9.42471	0.123117	0
194	9.44433	0.122989	0
195	9.44297	0.122998	0
196	9.4296	0.123085	0
197	9.4231	0.123127	0
198	9.43758	0.123033	0
199	9.4607	0.122882	0
200	9.47673	0.122778	0
201	9.48123	0.122749	0
202	9.49513	0.122659	0
203	9.52327	0.122478	0
204	9.50516	0.122595	0
205	9.48978	0.122694	0
206	9.47328	0.122801	0
207	9.49115	0.122685	0
208	9.50664	0.122585	0
209	9.51821	0.12251	0
210	9.5207	0.122494	0
211	9.55628	0.122266	0
212	9.58647	0.122074	0
213	9.61921	0.121866	0
214	9.61186	0.121912	0
215	9.60392	0.121963	0
216	9.58894	0.122058	0
217	9.57606	0.12214	0
218	9.5634	0.122221	0
219	9.54283	0.122352	0
220	9.49668	0.122649	0
221	9.46332	0.122865	0
222	9.43703	0.123036	0
223	9.41139	0.123204	0
224	9.38001	0.12341	0
225	9.35419	0.12358	0
226	9.32707	0.123759	0
227	9.28459	0.124042	0
228	9.25542	0.124238	0
229	9.23343	0.124385	0
230	9.2093	0.124548	0
231	9.19085	0.124673	0
232	9.17202	0.124801	0
233	9.16952	0.124818	0
234	9.17291	0.124795	0
235	9.17384	0.124789	0
236	9.17492	0.124781	0
237	9.18128	0.124738	0
238	9.18589	0.124707	0
239	9.17966	0.124749	0
240	9.15948	0.124887	0
241	9.15121	0.124943	0
242	9.13492	0.125054	0
243	9.09963	0.125297	0
244	9.07821	0.125444	0
245	9.0541	0.125611	0
246	8.9916	0.126047	0
247	8.92817	0.126494	0
248	8.89467	0.126732	0
249	8.87381	0.126881	0
250	8.83793	0.127138	0
251	8.81609	0.127295	0
252	8.84219	0.127107	0
253	8.87191	0.126894	0
254	8.88925	0.126771	0
255	8.86815	0.126921	0
256	8.8393	0.127128	0
257	8.8195	0.127271	0
258	8.80037	0.127409	0
259	8.7529	0.127754	0
260	8.69417	0.128185	0
