Input	../Output/Countries/ARM.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	83
beta0	3.17715	error	0.0408224
beta1	0.0407558	error	0.000781524

X	Y	Error	Weight
0	3.56349	0.200223	1
1	3.49216	0.202257	1
2	3.56349	0.200223	1
3	3.69955	0.196506	1
4	3.77767	0.194464	1
5	3.97567	0.18956	1
6	4.0629	0.187514	1
7	3.94849	0.190211	1
8	4.04054	0.188032	1
9	3.91488	0.191026	1
10	3.82553	0.193244	1
11	3.79067	0.19413	1
12	3.60705	0.19901	1
13	3.35738	0.206277	1
14	3.3373	0.206897	1
15	3.30637	0.207862	1
16	3.38198	0.205525	1
17	3.42005	0.204378	1
18	3.49216	0.202257	1
19	3.52636	0.201274	1
20	3.63003	0.198379	1
21	3.69245	0.196695	1
22	3.6817	0.196982	1
23	3.75787	0.194976	1
24	3.86523	0.192249	1
25	3.94573	0.190277	1
26	3.95124	0.190145	1
27	4.03298	0.188208	1
28	4.11555	0.18631	1
29	4.17439	0.184993	1
30	4.20469	0.184325	1
31	4.19827	0.184466	1
32	4.18313	0.184799	1
33	4.35119	0.181195	1
34	4.36764	0.180854	1
35	4.44433	0.179287	1
36	4.51556	0.177867	1
37	4.60374	0.176155	1
38	4.67683	0.174773	1
39	4.79933	0.172528	1
40	4.76095	0.173222	1
41	4.83515	0.171888	1
42	4.8587	0.171471	1
43	4.88605	0.170991	1
44	4.83968	0.171808	1
45	4.87738	0.171142	1
46	4.8957	0.170822	1
47	4.93756	0.170096	1
48	4.97673	0.169426	1
49	5.0644	0.167953	1
50	5.1094	0.167211	1
51	5.32022	0.163865	1
52	5.36931	0.163114	1
53	5.40203	0.162619	1
54	5.51917	0.160884	1
55	5.59524	0.159787	1
56	5.66445	0.158808	1
57	5.74529	0.157687	1
58	5.7904	0.157071	1
59	5.82093	0.156659	1
60	5.87933	0.155879	1
61	5.92119	0.155327	1
62	5.97272	0.154655	1
63	5.92693	0.155252	1
64	5.9254	0.155272	1
65	5.82852	0.156557	1
66	5.92005	0.155342	1
67	5.97345	0.154646	1
68	6.06212	0.153511	1
69	6.10639	0.152953	1
70	6.19644	0.151838	1
71	6.3094	0.150472	1
72	6.30549	0.150519	1
73	6.26095	0.151054	1
74	6.23693	0.151344	1
75	6.19964	0.151799	1
76	6.20427	0.151742	1
77	6.25383	0.15114	1
78	6.22513	0.151488	1
79	6.28066	0.150816	1
80	6.30052	0.150578	1
81	6.33049	0.150222	1
82	6.35536	0.149927	1
83	6.31665	0.150386	1
84	6.27126	0.150929	0
85	6.24306	0.15127	0
86	6.22144	0.151532	0
87	6.21945	0.151557	0
88	6.26584	0.150995	0
89	6.29421	0.150654	0
90	6.37039	0.14975	0
91	6.39717	0.149437	0
92	6.43821	0.14896	0
93	6.47455	0.148541	0
94	6.47389	0.148549	0
95	6.43156	0.149037	0
96	6.38976	0.149523	0
97	6.36623	0.149799	0
98	6.34589	0.150039	0
99	6.33834	0.150129	0
100	6.29921	0.150594	0
101	6.28173	0.150803	0
102	6.28493	0.150765	0
103	6.26693	0.150981	0
104	6.23804	0.151331	0
105	6.21232	0.151644	0
106	6.17468	0.152105	0
107	6.12967	0.152662	0
108	6.12656	0.152701	0
109	6.1203	0.152779	0
110	6.12905	0.15267	0
111	6.0926	0.153126	0
112	6.08352	0.15324	0
113	6.02931	0.153928	0
114	6.00212	0.154276	0
115	5.97852	0.15458	0
116	5.95064	0.154942	0
117	5.91851	0.155362	0
118	5.92196	0.155317	0
119	5.89164	0.155716	0
120	5.85384	0.156218	0
121	5.84106	0.156389	0
122	5.82684	0.156579	0
123	5.7701	0.157347	0
124	5.67185	0.158704	0
125	5.62298	0.159392	0
126	5.57432	0.160087	0
127	5.5117	0.160993	0
128	5.49951	0.161172	0
129	5.47407	0.161546	0
130	5.46201	0.161724	0
131	5.44612	0.16196	0
132	5.32301	0.163822	0
133	5.25749	0.16484	0
134	5.26933	0.164654	0
135	5.24778	0.164992	0
136	5.22036	0.165425	0
137	5.15081	0.166538	0
138	5.14749	0.166592	0
139	5.23492	0.165195	0
