Input	../Output/Countries/BEL.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	23
beta0	3.52874	error	0.072024
beta1	0.168822	error	0.00492239

X	Y	Error	Weight
0	3.49651	0.202131	1
1	3.59143	0.199442	1
2	3.7274	0.195771	1
3	3.63003	0.198379	1
4	4.16334	0.185238	1
5	4.30792	0.182103	1
6	4.58497	0.176516	1
7	4.76217	0.1732	1
8	4.93756	0.170096	1
9	5.12056	0.167029	1
10	5.35456	0.163339	1
11	5.49129	0.161292	1
12	5.71609	0.158089	1
13	5.88412	0.155815	1
14	5.94953	0.154957	1
15	6.06909	0.153423	1
16	6.20051	0.151788	1
17	6.4525	0.148795	1
18	6.57667	0.147383	1
19	6.80541	0.144885	1
20	6.96804	0.143184	1
21	7.0606	0.142243	1
22	7.10262	0.141821	1
23	7.16207	0.141232	1
24	7.17155	0.141138	0
25	7.21166	0.140745	0
26	7.19154	0.140942	0
27	7.14283	0.141422	0
28	7.14958	0.141355	0
29	7.20457	0.140814	0
30	7.20669	0.140794	0
31	7.22725	0.140593	0
32	7.25408	0.140333	0
33	7.22225	0.140642	0
34	7.26002	0.140276	0
35	7.24167	0.140453	0
36	7.1507	0.141344	0
37	7.28129	0.140071	0
38	7.24688	0.140403	0
39	7.21008	0.140761	0
40	7.17724	0.141082	0
41	7.14215	0.141428	0
42	7.20192	0.14084	0
43	7.248	0.140392	0
44	7.08003	0.142047	0
45	7.03979	0.142453	0
46	7.06048	0.142244	0
47	7.05888	0.14226	0
48	6.99498	0.142908	0
49	6.86455	0.14426	0
50	6.8147	0.144786	0
51	6.74859	0.145494	0
52	6.70616	0.145953	0
53	6.51767	0.148049	0
54	6.39502	0.149462	0
55	6.28945	0.150711	0
56	6.23721	0.151341	0
57	6.11715	0.152819	0
58	6.03411	0.153867	0
59	6.0269	0.153959	0
60	6.05343	0.153621	0
61	6.08645	0.153204	0
62	6.11715	0.152819	0
63	6.11935	0.152791	0
64	6.14663	0.152452	0
65	6.125	0.152721	0
66	6.01546	0.154105	0
67	5.92997	0.155212	0
68	5.83439	0.156478	0
69	5.74985	0.157624	0
70	5.70853	0.158194	0
71	5.66098	0.158857	0
72	5.65599	0.158927	0
73	5.62814	0.159319	0
74	5.58618	0.159917	0
75	5.56123	0.160275	0
76	5.55628	0.160346	0
77	5.54014	0.16058	0
78	5.47107	0.16159	0
79	5.43746	0.162089	0
80	5.44056	0.162043	0
81	5.4001	0.162648	0
82	5.28102	0.164472	0
83	5.21571	0.165499	0
84	5.12311	0.166988	0
85	5.11026	0.167197	0
86	5.05077	0.168179	0
87	4.87629	0.171162	0
88	4.79461	0.172613	0
89	4.8408	0.171788	0
90	4.79342	0.172635	0
91	4.77672	0.172936	0
92	4.76583	0.173134	0
93	4.83855	0.171828	0
94	4.90421	0.170674	0
95	4.86973	0.171277	0
96	4.79461	0.172613	0
97	4.74244	0.17356	0
98	4.67683	0.174773	0
99	4.63056	0.175644	0
100	4.56881	0.176827	0
101	4.51086	0.17796	0
102	4.54177	0.177353	0
103	4.50298	0.178115	0
104	4.30985	0.182062	0
105	4.16334	0.185238	0
106	4.53872	0.177413	0
107	4.5372	0.177442	0
108	4.54481	0.177294	0
109	4.49981	0.178178	0
110	4.54481	0.177294	0
111	4.66748	0.174948	0
112	4.75236	0.173379	0
113	4.47896	0.178592	0
114	4.46919	0.178787	0
115	4.43591	0.179457	0
116	4.48542	0.178464	0
117	4.49822	0.178209	0
118	4.63473	0.175565	0
119	4.60087	0.17621	0
120	4.5014	0.178147	0
121	4.47408	0.178689	0
122	4.47083	0.178755	0
123	4.49981	0.178178	0
124	4.5014	0.178147	0
125	4.59223	0.176376	0
126	4.52952	0.177593	0
127	4.6375	0.175513	0
128	4.67283	0.174848	0
129	4.98946	0.169209	0
130	5.09463	0.167454	0
131	5.17453	0.166156	0
132	4.96084	0.169697	0
133	5.28899	0.164348	0
134	5.35186	0.16338	0
135	5.52431	0.16081	0
136	5.43746	0.162089	0
137	5.49247	0.161275	0
138	5.66544	0.158794	0
139	5.80341	0.156895	0
140	5.80943	0.156814	0
141	5.83898	0.156416	0
142	5.95805	0.154846	0
143	6.1121	0.152882	0
144	6.22936	0.151436	0
145	6.2634	0.151024	0
146	6.30288	0.15055	0
147	6.31923	0.150355	0
148	6.34463	0.150054	0
149	6.30288	0.15055	0
150	6.35064	0.149983	0
151	6.35636	0.149916	0
152	6.34789	0.150016	0
153	6.42116	0.149157	0
154	6.42185	0.149149	0
155	6.43432	0.149005	0
156	6.46348	0.148668	0
157	6.39096	0.149509	0
158	6.42718	0.149087	0
159	6.45879	0.148722	0
160	6.39	0.14952	0
161	6.32641	0.15027	0
162	6.32	0.150346	0
163	6.30523	0.150522	0
164	6.34488	0.150051	0
165	6.29183	0.150682	0
166	6.2425	0.151277	0
167	6.24638	0.15123	0
168	6.23104	0.151416	0
169	6.22879	0.151443	0
170	6.22907	0.15144	0
171	6.16241	0.152256	0
172	6.07961	0.15329	0
173	6.1032	0.152993	0
174	6.09518	0.153094	0
175	6.10734	0.152941	0
176	6.0737	0.153364	0
177	6.01998	0.154047	0
178	6.07502	0.153348	0
179	6.13185	0.152635	0
180	6.13309	0.15262	0
181	6.16331	0.152245	0
182	6.22399	0.151501	0
183	6.25767	0.151093	0
184	6.29157	0.150686	0
185	6.35412	0.149942	0
186	6.43501	0.148997	0
187	6.49936	0.148257	0
188	6.58873	0.147248	0
189	6.6733	0.146312	0
190	6.69421	0.146084	0
191	6.79555	0.14499	0
192	6.96441	0.143222	0
193	7.05519	0.142297	0
194	7.07448	0.142103	0
195	7.14113	0.141438	0
196	7.16858	0.141167	0
197	7.30663	0.139827	0
198	7.35418	0.139375	0
199	7.34065	0.139503	0
200	7.38903	0.139046	0
201	7.45132	0.138463	0
202	7.43704	0.138596	0
203	7.4435	0.138536	0
204	7.43746	0.138592	0
205	7.40983	0.13885	0
206	7.47071	0.138283	0
207	7.54645	0.137588	0
208	7.65782	0.136584	0
209	7.73793	0.135875	0
210	7.7862	0.135453	0
211	7.80536	0.135287	0
212	7.92794	0.134237	0
213	8.077	0.132992	0
214	8.17055	0.132229	0
215	8.33971	0.130881	0
216	8.4283	0.130191	0
217	8.47866	0.129804	0
218	8.6241	0.128705	0
219	8.73789	0.127864	0
220	8.84058	0.127119	0
221	8.93534	0.126443	0
222	8.99048	0.126055	0
223	9.05611	0.125597	0
224	9.13006	0.125088	0
225	9.16533	0.124847	0
226	9.23677	0.124363	0
227	9.32077	0.123801	0
228	9.41093	0.123207	0
229	9.48682	0.122713	0
230	9.55472	0.122276	0
231	9.59888	0.121995	0
232	9.63589	0.12176	0
233	9.70635	0.121317	0
234	9.7669	0.120941	0
235	9.78707	0.120816	0
236	9.78067	0.120856	0
237	9.74923	0.12105	0
238	9.69485	0.121389	0
239	9.6182	0.121872	0
240	9.56578	0.122206	0
241	9.42871	0.123091	0
242	9.28902	0.124013	0
243	9.13529	0.125052	0
244	9.05237	0.125623	0
245	8.9841	0.1261	0
246	8.96798	0.126213	0
247	8.81577	0.127298	0
248	8.67669	0.128314	0
249	8.5719	0.129096	0
250	8.57578	0.129067	0
251	8.52147	0.129477	0
252	8.50827	0.129578	0
253	8.46228	0.129929	0
254	8.37616	0.130596	0
255	8.35873	0.130732	0
256	8.31763	0.131054	0
257	8.20537	0.131948	0
258	8.09036	0.132882	0
259	8.0543	0.133179	0
260	8.01575	0.133499	0
261	7.91571	0.13434	0
262	7.8107	0.13524	0
263	7.80379	0.1353	0
264	7.82656	0.135103	0
265	7.84217	0.134969	0
266	7.82078	0.135153	0
267	7.81883	0.13517	0
268	7.81168	0.135232	0
269	7.814	0.135212	0
270	7.77185	0.135578	0
271	7.7023	0.136189	0
272	7.68031	0.136383	0
273	7.68773	0.136318	0
