Input	../Output/Countries/BGD.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	63
beta0	4.90457	error	0.0398867
beta1	0.0529022	error	0.00102789

X	Y	Error	Weight
0	3.66722	0.197371	1
1	3.94849	0.190211	1
2	4.07511	0.187233	1
3	4.33261	0.181583	1
4	4.57618	0.176685	1
5	4.79697	0.172571	1
6	4.97476	0.169459	1
7	5.17857	0.166091	1
8	5.30827	0.164049	1
9	5.46987	0.161608	1
10	5.56889	0.160165	1
11	5.72499	0.157966	1
12	5.82473	0.156608	1
13	5.8944	0.155679	1
14	5.92273	0.155307	1
15	6.00952	0.154181	1
16	6.01057	0.154168	1
17	6.04703	0.153702	1
18	6.04872	0.153681	1
19	6.08678	0.1532	1
20	6.16512	0.152223	1
21	6.20916	0.151682	1
22	6.22851	0.151446	1
23	6.29474	0.150648	1
24	6.35784	0.149898	1
25	6.40405	0.149356	1
26	6.45856	0.148725	1
27	6.49137	0.148348	1
28	6.52167	0.148003	1
29	6.55026	0.14768	1
30	6.56728	0.147489	1
31	6.61089	0.147001	1
32	6.67528	0.146291	1
33	6.70773	0.145936	1
34	6.77062	0.145257	1
35	6.82406	0.144687	1
36	6.89785	0.143911	1
37	6.93939	0.14348	1
38	6.99144	0.142945	1
39	7.06341	0.142214	1
40	7.09731	0.141874	1
41	7.14969	0.141354	1
42	7.2286	0.14058	1
43	7.27833	0.140099	1
44	7.36726	0.139251	1
45	7.39036	0.139033	1
46	7.42272	0.13873	1
47	7.41543	0.138798	1
48	7.40888	0.138859	1
49	7.43079	0.138654	1
50	7.49863	0.138026	1
51	7.48997	0.138105	1
52	7.56771	0.137394	1
53	7.59725	0.137127	1
54	7.71512	0.136075	1
55	7.78608	0.135454	1
56	7.80919	0.135253	1
57	7.82673	0.135102	1
58	7.87517	0.134686	1
59	7.88587	0.134594	1
60	7.9047	0.134434	1
61	7.91832	0.134318	1
62	7.94373	0.134103	1
63	7.98173	0.133783	1
64	8.01263	0.133525	0
65	8.02304	0.133439	0
66	8.04151	0.133285	0
67	8.0581	0.133148	0
68	8.08887	0.132895	0
69	8.12411	0.132606	0
70	8.14985	0.132396	0
71	8.1404	0.132473	0
72	8.15626	0.132344	0
73	8.17212	0.132216	0
74	8.18738	0.132093	0
75	8.16934	0.132238	0
76	8.147	0.13242	0
77	8.1529	0.132372	0
78	8.17828	0.132166	0
79	8.18881	0.132081	0
80	8.19978	0.131993	0
81	8.22052	0.131826	0
82	8.23084	0.131743	0
83	8.24268	0.131649	0
84	8.24542	0.131627	0
85	8.21674	0.131856	0
86	8.20838	0.131924	0
87	8.16581	0.132267	0
88	8.13224	0.13254	0
89	8.10436	0.132767	0
90	8.09193	0.132869	0
91	8.0627	0.13311	0
92	8.05525	0.133172	0
93	8.02757	0.133401	0
94	8.02421	0.133429	0
95	8.01943	0.133469	0
96	8.0258	0.133416	0
97	8.02785	0.133399	0
98	7.99819	0.133646	0
99	8.00226	0.133612	0
100	8.00336	0.133603	0
101	7.99343	0.133686	0
102	7.98514	0.133755	0
103	7.97997	0.133798	0
104	7.94064	0.134129	0
105	7.94687	0.134077	0
106	7.922	0.134287	0
107	7.91216	0.13437	0
108	7.90249	0.134453	0
109	7.89421	0.134523	0
110	7.88903	0.134567	0
111	7.90312	0.134447	0
112	7.89458	0.13452	0
113	7.90644	0.134419	0
114	7.88941	0.134564	0
115	7.81215	0.135228	0
116	7.72672	0.135973	0
117	7.65883	0.136575	0
118	7.63461	0.136791	0
119	7.6539	0.136619	0
120	7.65924	0.136571	0
121	7.68662	0.136327	0
122	7.78643	0.135451	0
123	7.87447	0.134692	0
124	7.93139	0.134207	0
125	7.94874	0.134061	0
126	7.93041	0.134216	0
127	7.92603	0.134253	0
128	7.92774	0.134238	0
129	7.9036	0.134443	0
130	7.88699	0.134585	0
131	7.89788	0.134492	0
132	7.88463	0.134605	0
133	7.89804	0.13449	0
134	7.87848	0.134657	0
135	7.85776	0.134835	0
136	7.85494	0.134859	0
137	7.84882	0.134911	0
138	7.81163	0.135232	0
139	7.79835	0.135347	0
140	7.77269	0.135571	0
141	7.7612	0.135671	0
142	7.75301	0.135742	0
143	7.74834	0.135783	0
144	7.72898	0.135953	0
145	7.69087	0.13629	0
146	7.69498	0.136253	0
147	7.67674	0.136415	0
148	7.65789	0.136583	0
149	7.6456	0.136693	0
150	7.62455	0.136881	0
151	7.6265	0.136864	0
152	7.62245	0.1369	0
153	7.56823	0.13739	0
154	7.5484	0.13757	0
155	7.53804	0.137664	0
156	7.48589	0.138143	0
157	7.47655	0.138229	0
158	7.4445	0.138527	0
159	7.43037	0.138658	0
160	7.41225	0.138828	0
161	7.38612	0.139073	0
162	7.36364	0.139285	0
163	7.38912	0.139045	0
164	7.39528	0.138987	0
165	7.38567	0.139077	0
166	7.37077	0.139218	0
167	7.37535	0.139175	0
168	7.37059	0.139219	0
169	7.35628	0.139355	0
170	7.31332	0.139764	0
171	7.28717	0.140014	0
172	7.25781	0.140297	0
173	7.25084	0.140364	0
174	7.22725	0.140593	0
175	7.22392	0.140626	0
176	7.22527	0.140612	0
177	7.23315	0.140536	0
178	7.21755	0.140688	0
179	7.22121	0.140652	0
180	7.22236	0.140641	0
181	7.23108	0.140556	0
182	7.22413	0.140624	0
183	7.21177	0.140744	0
184	7.21398	0.140723	0
185	7.2211	0.140653	0
186	7.22423	0.140623	0
187	7.22818	0.140584	0
188	7.24504	0.14042	0
189	7.26112	0.140265	0
190	7.2858	0.140027	0
191	7.28639	0.140022	0
192	7.29428	0.139946	0
193	7.31017	0.139794	0
194	7.29506	0.139938	0
195	7.28148	0.140069	0
196	7.29088	0.139978	0
197	7.29661	0.139923	0
198	7.28541	0.140031	0
199	7.28873	0.139999	0
200	7.26892	0.14019	0
201	7.26443	0.140233	0
202	7.25922	0.140283	0
203	7.25771	0.140298	0
204	7.25952	0.14028	0
205	7.28198	0.140064	0
206	7.3072	0.139822	0
207	7.33554	0.139552	0
208	7.36527	0.13927	0
209	7.36744	0.139249	0
210	7.38186	0.139113	0
211	7.36978	0.139227	0
212	7.36699	0.139253	0
213	7.35847	0.139334	0
214	7.35363	0.13938	0
215	7.35728	0.139345	0
216	7.37678	0.139161	0
217	7.37704	0.139159	0
218	7.40332	0.138911	0
219	7.42417	0.138716	0
220	7.45464	0.138432	0
221	7.49165	0.13809	0
222	7.53171	0.137722	0
223	7.56023	0.137462	0
224	7.59811	0.137119	0
225	7.63385	0.136798	0
226	7.65546	0.136605	0
227	7.67043	0.136471	0
228	7.68891	0.136307	0
229	7.69009	0.136297	0
230	7.69303	0.136271	0
231	7.68832	0.136312	0
232	7.68819	0.136313	0
233	7.69218	0.136278	0
234	7.67429	0.136437	0
235	7.6813	0.136375	0
236	7.68544	0.136338	0
237	7.68819	0.136313	0
238	7.68976	0.1363	0
239	7.68839	0.136312	0
240	7.68117	0.136376	0
241	7.67905	0.136395	0
242	7.65721	0.136589	0
