Input	../Output/Countries/BGR.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	40
beta0	3.90894	error	0.0604262
beta1	-0.0097916	error	0.00265054

X	Y	Error	Weight
0	3.40595	0.204801	1
1	3.43399	0.203963	1
2	3.44317	0.203691	1
3	3.55125	0.200567	1
4	3.62245	0.198587	1
5	3.6781	0.197079	1
6	3.74783	0.195236	1
7	4.0151	0.188626	1
8	3.96488	0.189817	1
9	4.06044	0.18757	1
10	4.12713	0.186049	1
11	4.10382	0.186577	1
12	4.10147	0.18663	1
13	4.06781	0.1874	1
14	3.82553	0.193244	1
15	3.90341	0.191306	1
16	3.81615	0.193481	1
17	3.72052	0.195952	1
18	3.77439	0.194548	1
19	3.85621	0.192473	1
20	3.83175	0.193087	1
21	3.813	0.193561	1
22	3.84404	0.192778	1
23	3.90341	0.191306	1
24	3.87714	0.191953	1
25	3.81927	0.193402	1
26	3.7274	0.195771	1
27	3.6562	0.197668	1
28	3.63759	0.198173	1
29	3.59143	0.199442	1
30	3.55943	0.200337	1
31	3.55535	0.200452	1
32	3.51791	0.201515	1
33	3.46126	0.203158	1
34	3.49651	0.202131	1
35	3.50942	0.201759	1
36	3.50514	0.201882	1
37	3.42936	0.204101	1
38	3.34237	0.20674	1
39	3.26904	0.209046	1
40	3.17805	0.212017	1
41	3.03769	0.21686	0
42	2.78149	0.226627	0
43	2.56495	0.236	0
44	2.50846	0.238642	0
45	2.50846	0.238642	0
46	2.60793	0.234047	0
47	2.65928	0.231776	0
48	2.73625	0.228493	0
49	3.00993	0.217858	0
50	3.41069	0.204659	0
51	3.42005	0.204378	0
52	3.7274	0.195771	0
53	3.91488	0.191026	0
54	4.12483	0.186101	0
55	4.27069	0.182895	0
56	4.38914	0.18041	0
57	4.37306	0.180742	0
58	4.38737	0.180447	0
59	4.32885	0.181662	0
60	4.38914	0.18041	0
61	4.36219	0.180967	0
62	4.43082	0.17956	0
63	4.38914	0.18041	0
64	4.46096	0.178952	0
65	4.47571	0.178657	0
66	4.52023	0.177775	0
67	4.54785	0.177234	0
68	4.60517	0.176128	0
69	4.6526	0.175228	0
70	4.68478	0.174625	0
71	4.67815	0.174749	0
72	4.72105	0.173953	0
73	4.79579	0.172592	0
74	4.82831	0.17201	0
75	4.86973	0.171277	0
76	4.86423	0.171374	0
77	4.94571	0.169956	0
78	5.01254	0.168819	0
79	5.00968	0.168867	0
80	5.04158	0.168332	0
81	5.0689	0.167878	0
82	5.13412	0.166809	0
83	5.26712	0.164689	0
84	5.34506	0.163484	0
85	5.36598	0.163165	0
86	5.37528	0.163024	0
87	5.36531	0.163175	0
88	5.39558	0.162717	0
89	5.39038	0.162795	0
90	5.34847	0.163432	0
91	5.35254	0.16337	0
92	5.34233	0.163525	0
93	5.35456	0.163339	0
94	5.37924	0.162964	0
95	5.43746	0.162089	0
96	5.49658	0.161215	0
97	5.49775	0.161198	0
98	5.48123	0.16144	0
99	5.47706	0.161502	0
100	5.48894	0.161327	0
101	5.48775	0.161344	0
102	5.44242	0.162015	0
103	5.41356	0.162446	0
104	5.41101	0.162484	0
105	5.41101	0.162484	0
106	5.38318	0.162904	0
107	5.38581	0.162864	0
108	5.39233	0.162766	0
109	5.39558	0.162717	0
110	5.40781	0.162532	0
111	5.42809	0.162229	0
112	5.3799	0.162954	0
113	5.37197	0.163074	0
114	5.32718	0.163758	0
115	5.26417	0.164735	0
116	5.23034	0.165267	0
117	5.12396	0.166974	0
118	4.83287	0.171929	0
119	4.99528	0.169111	0
120	4.9518	0.169852	0
121	4.93036	0.17022	0
122	4.94977	0.169886	0
123	4.90739	0.170618	0
124	4.88605	0.170991	0
125	5.02857	0.16855	0
126	4.84306	0.171748	0
127	4.7362	0.173674	0
128	4.88063	0.171085	0
129	4.8408	0.171788	0
130	4.87847	0.171123	0
131	4.89035	0.170915	0
132	4.90633	0.170637	0
133	4.89357	0.170859	0
134	4.99431	0.169127	0
135	4.85981	0.171451	0
136	4.83401	0.171908	0
137	4.81682	0.172215	0
138	4.81797	0.172194	0
139	4.81913	0.172174	0
140	4.84419	0.171728	0
141	4.8408	0.171788	0
142	4.85538	0.17153	0
143	4.83401	0.171908	0
144	4.80986	0.17234	0
145	4.76095	0.173222	0
146	4.76704	0.173112	0
147	4.79342	0.172635	0
148	4.78868	0.17272	0
149	4.77431	0.17298	0
150	4.87301	0.171219	0
151	4.85981	0.171451	0
152	4.9158	0.170472	0
153	4.90633	0.170637	0
154	4.89357	0.170859	0
155	4.88712	0.170972	0
156	4.90527	0.170655	0
157	4.91371	0.170509	0
158	4.86423	0.171374	0
159	4.84867	0.171648	0
160	4.99043	0.169193	0
161	5.0526	0.168149	0
162	5.12566	0.166946	0
163	5.13748	0.166754	0
164	5.19057	0.165899	0
165	5.31532	0.163941	0
166	5.4001	0.162648	0
167	5.19296	0.165861	0
168	5.37263	0.163064	0
169	5.38121	0.162934	0
170	5.38842	0.162825	0
171	5.43123	0.162182	0
172	5.52659	0.160776	0
173	5.60895	0.159592	0
174	5.84809	0.156295	0
175	5.89204	0.155711	0
176	5.99182	0.154409	0
177	5.99681	0.154344	0
178	6.09936	0.153041	0
179	6.20542	0.151728	0
180	6.30992	0.150466	0
181	6.40829	0.149307	0
182	6.49527	0.148304	0
183	6.52817	0.14793	0
184	6.59128	0.14722	0
185	6.67348	0.14631	0
186	6.76833	0.145281	0
187	6.8702	0.1442	0
188	6.96643	0.143201	0
189	7.04303	0.14242	0
190	7.09649	0.141883	0
191	7.08841	0.141963	0
192	7.22413	0.140624	0
193	7.3449	0.139463	0
194	7.4572	0.138409	0
195	7.54358	0.137614	0
196	7.63751	0.136765	0
197	7.68852	0.136311	0
198	7.74562	0.135807	0
199	7.75693	0.135708	0
200	7.84306	0.134961	0
201	7.9131	0.134362	0
202	7.96728	0.133905	0
203	8.01315	0.133521	0
204	8.03644	0.133327	0
205	8.01069	0.133541	0
206	8.07447	0.133013	0
207	8.08988	0.132886	0
208	8.08509	0.132926	0
209	8.07001	0.13305	0
210	8.08654	0.132914	0
211	8.09516	0.132843	0
212	8.10129	0.132793	0
213	8.08834	0.132899	0
214	8.10738	0.132743	0
215	8.10707	0.132745	0
216	8.12774	0.132576	0
217	8.11804	0.132656	0
218	8.10867	0.132732	0
219	8.12178	0.132625	0
220	8.10582	0.132755	0
221	8.08641	0.132915	0
222	8.07643	0.132997	0
223	8.06162	0.133119	0
224	8.03162	0.133367	0
225	8.00875	0.133558	0
226	7.99033	0.133711	0
227	7.97414	0.133847	0
228	7.92851	0.134232	0
229	7.89852	0.134486	0
230	7.88312	0.134618	0
231	7.89846	0.134487	0
232	7.91138	0.134377	0
233	7.90286	0.134449	0
234	7.90021	0.134472	0
