Input	../Output/Countries/BIH.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	69
beta0	4.06403	error	0.0468126
beta1	-0.0178653	error	0.0012376

X	Y	Error	Weight
0	3.50083	0.202007	1
1	3.59143	0.199442	1
2	3.69955	0.196506	1
3	3.8889	0.191663	1
4	3.8889	0.191663	1
5	3.95673	0.190013	1
6	3.85621	0.192473	1
7	3.77767	0.194464	1
8	3.89473	0.191519	1
9	3.89764	0.191448	1
10	3.83792	0.192931	1
11	3.82864	0.193165	1
12	3.82864	0.193165	1
13	3.9262	0.19075	1
14	3.94849	0.190211	1
15	3.81927	0.193402	1
16	3.77767	0.194464	1
17	3.78743	0.194213	1
18	3.80029	0.193884	1
19	3.82864	0.193165	1
20	3.6745	0.197175	1
21	3.65989	0.197568	1
22	3.61092	0.198903	1
23	3.60705	0.19901	1
24	3.55943	0.200337	1
25	3.38679	0.205379	1
26	3.43859	0.203827	1
27	3.49651	0.202131	1
28	3.59926	0.199225	1
29	3.54714	0.200683	1
30	3.78743	0.194213	1
31	3.89473	0.191519	1
32	3.9402	0.190411	1
33	3.92057	0.190887	1
34	3.88597	0.191735	1
35	3.94296	0.190344	1
36	3.94296	0.190344	1
37	3.79067	0.19413	1
38	3.6525	0.197768	1
39	3.72052	0.195952	1
40	3.57954	0.199773	1
41	3.61477	0.198797	1
42	3.42472	0.204239	1
43	3.41069	0.204659	1
44	3.32194	0.207374	1
45	3.30637	0.207862	1
46	3.16607	0.212418	1
47	3.23025	0.210297	1
48	3.20737	0.211046	1
49	3.14785	0.213031	1
50	3.14785	0.213031	1
51	3.11036	0.214312	1
52	2.93688	0.22055	1
53	2.96677	0.219437	1
54	2.87435	0.222936	1
55	2.76361	0.227359	1
56	2.67903	0.23092	1
57	2.60793	0.234047	1
58	2.62879	0.233116	1
59	2.77259	0.226991	1
60	2.78149	0.226627	1
61	2.6888	0.2305	1
62	2.74541	0.228112	1
63	2.82477	0.224885	1
64	2.83321	0.224549	1
65	2.80765	0.225569	1
66	2.93688	0.22055	1
67	2.8499	0.223891	1
68	2.77259	0.226991	1
69	2.61842	0.233578	1
70	3.24704	0.209753	0
71	3.31676	0.207536	0
72	3.46574	0.203027	0
73	3.52636	0.201274	0
74	3.71357	0.196135	0
75	3.71357	0.196135	0
76	3.71357	0.196135	0
77	3.8712	0.1921	0
78	3.93183	0.190614	0
79	3.95673	0.190013	0
80	3.8889	0.191663	0
81	3.99427	0.189118	0
82	3.99427	0.189118	0
83	3.99427	0.189118	0
84	4.23824	0.183594	0
85	4.27468	0.18281	0
86	4.33636	0.181505	0
87	4.48703	0.178432	0
88	4.54935	0.177205	0
89	4.54935	0.177205	0
90	4.54935	0.177205	0
91	4.7387	0.173629	0
92	4.81682	0.172215	0
93	4.88927	0.170934	0
94	4.95381	0.169817	0
95	4.98848	0.169226	0
96	4.98848	0.169226	0
97	4.98848	0.169226	0
98	5.08671	0.167584	0
99	5.11714	0.167085	0
100	5.19534	0.165823	0
101	5.22267	0.165388	0
102	5.32649	0.163769	0
103	5.52545	0.160793	0
104	5.61156	0.159555	0
105	5.38253	0.162914	0
106	5.26933	0.164654	0
107	5.39493	0.162726	0
108	5.42872	0.162219	0
109	5.3713	0.163084	0
110	5.32788	0.163747	0
111	5.34233	0.163525	0
112	5.36598	0.163165	0
113	5.55296	0.160394	0
114	5.49482	0.16124	0
115	5.53902	0.160596	0
116	5.58188	0.159978	0
117	5.43559	0.162117	0
118	5.31742	0.163908	0
119	5.66445	0.158808	0
120	5.64444	0.159089	0
121	5.66098	0.158857	0
122	5.64595	0.159068	0
123	5.70806	0.1582	0
124	5.70806	0.1582	0
125	5.88967	0.155742	0
126	5.63683	0.159197	0
127	5.69901	0.158326	0
128	5.66048	0.158864	0
129	5.6307	0.159283	0
130	5.55572	0.160354	0
131	5.55572	0.160354	0
132	5.29187	0.164303	0
133	5.67283	0.158691	0
134	5.57811	0.160032	0
135	5.56233	0.160259	0
136	5.54294	0.160539	0
137	5.57595	0.160063	0
138	5.71043	0.158167	0
139	5.71043	0.158167	0
140	5.43994	0.162052	0
141	5.45837	0.161778	0
142	5.50997	0.161019	0
143	5.57432	0.160087	0
144	5.58296	0.159963	0
145	5.61104	0.159562	0
146	5.61104	0.159562	0
147	5.61313	0.159532	0
148	5.64241	0.159118	0
149	5.61313	0.159532	0
150	5.59895	0.159734	0
151	5.55958	0.160299	0
152	5.56889	0.160165	0
153	5.69325	0.158406	0
154	5.62195	0.159407	0
155	5.6079	0.159607	0
156	5.6079	0.159607	0
157	5.59524	0.159787	0
158	5.61833	0.159458	0
159	5.59789	0.159749	0
160	5.53113	0.16071	0
161	5.49012	0.16131	0
162	5.50823	0.161044	0
163	5.5163	0.160926	0
164	5.51573	0.160935	0
165	5.48775	0.161344	0
166	5.49188	0.161284	0
167	5.60633	0.159629	0
168	5.64241	0.159118	0
169	5.63886	0.159168	0
170	5.63121	0.159276	0
171	5.68504	0.15852	0
172	5.686	0.158507	0
173	5.69373	0.158399	0
174	5.63632	0.159204	0
175	5.59631	0.159772	0
176	5.55407	0.160378	0
177	5.58778	0.159894	0
178	5.49892	0.16118	0
179	5.47287	0.161564	0
180	5.41927	0.162361	0
181	5.36196	0.163226	0
182	5.35389	0.163349	0
183	5.35995	0.163257	0
184	5.28971	0.164337	0
185	5.32161	0.163844	0
186	5.30614	0.164082	0
187	5.12566	0.166946	0
188	5.32231	0.163833	0
189	5.33203	0.163683	0
190	5.35659	0.163308	0
191	5.43559	0.162117	0
192	5.5379	0.160612	0
193	5.62556	0.159356	0
194	5.82473	0.156608	0
195	5.79171	0.157054	0
196	5.8323	0.156506	0
197	5.86322	0.156093	0
198	5.90963	0.155479	0
199	5.95362	0.154903	0
200	6.03616	0.15384	0
201	6.12998	0.152659	0
202	6.20456	0.151738	0
203	6.30314	0.150547	0
204	6.40073	0.149395	0
205	6.50086	0.14824	0
206	6.58912	0.147244	0
207	6.69315	0.146095	0
208	6.78591	0.145093	0
209	6.87597	0.14414	0
210	6.89843	0.143905	0
211	7.01108	0.142744	0
212	7.09269	0.141921	0
213	7.19454	0.140912	0
214	7.22818	0.140584	0
215	7.29709	0.139919	0
216	7.32383	0.139663	0
217	7.32956	0.139609	0
218	7.32937	0.13961	0
219	7.34702	0.139443	0
220	7.34758	0.139437	0
221	7.38576	0.139076	0
222	7.37077	0.139218	0
