Input	../Output/Countries/BLZ.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	110
beta0	3.38037	error	0.0372522
beta1	0.00858835	error	0.000566173

X	Y	Error	Weight
0	3.54302	0.2008	1
1	3.54302	0.2008	1
2	3.75453	0.195062	1
3	3.75117	0.195149	1
4	3.75117	0.195149	1
5	3.89182	0.191591	1
6	3.78743	0.194213	1
7	3.73084	0.195681	1
8	3.68888	0.19679	1
9	3.50942	0.201759	1
10	3.52636	0.201274	1
11	3.59537	0.199333	1
12	3.38679	0.205379	1
13	3.4154	0.204517	1
14	3.45676	0.20329	1
15	3.74446	0.195324	1
16	3.78093	0.19438	1
17	3.73767	0.195502	1
18	3.8224	0.193323	1
19	3.88597	0.191735	1
20	3.69955	0.196506	1
21	3.696	0.196601	1
22	3.49216	0.202257	1
23	3.35738	0.206277	1
24	3.75787	0.194976	1
25	3.79389	0.194048	1
26	3.63003	0.198379	1
27	3.63003	0.198379	1
28	3.69955	0.196506	1
29	3.63003	0.198379	1
30	3.71008	0.196227	1
31	3.32194	0.207374	1
32	3.17208	0.212216	1
33	3.19577	0.211428	1
34	3.36235	0.206124	1
35	3.09752	0.214755	1
36	3.05131	0.216375	1
37	3.04452	0.216616	1
38	2.95194	0.219987	1
39	2.72694	0.228883	1
40	3.1899	0.211623	1
41	2.98856	0.218635	1
42	3.43859	0.203827	1
43	3.44317	0.203691	1
44	3.34237	0.20674	1
45	3.59926	0.199225	1
46	3.59926	0.199225	1
47	3.71008	0.196227	1
48	3.71008	0.196227	1
49	3.65989	0.197568	1
50	3.59537	0.199333	1
51	3.77767	0.194464	1
52	3.77439	0.194548	1
53	3.91773	0.190956	1
54	3.81615	0.193481	1
55	3.9969	0.189056	1
56	3.90341	0.191306	1
57	3.90341	0.191306	1
58	4.04556	0.187915	1
59	3.97567	0.18956	1
60	3.8889	0.191663	1
61	3.78743	0.194213	1
62	3.78743	0.194213	1
63	3.7612	0.194889	1
64	3.90629	0.191236	1
65	3.696	0.196601	1
66	3.63003	0.198379	1
67	3.7612	0.194889	1
68	3.81615	0.193481	1
69	3.80029	0.193884	1
70	3.82864	0.193165	1
71	3.85621	0.192473	1
72	3.85923	0.192398	1
73	3.79708	0.193966	1
74	3.80348	0.193803	1
75	3.83484	0.193009	1
76	3.63759	0.198173	1
77	4.07511	0.187233	1
78	3.9969	0.189056	1
79	4.12251	0.186153	1
80	4.2258	0.183864	1
81	4.43422	0.179491	1
82	4.52179	0.177744	1
83	4.62777	0.175697	1
84	4.37126	0.180779	1
85	4.43252	0.179525	1
86	4.44935	0.179186	1
87	4.46096	0.178952	1
88	4.49024	0.178368	1
89	4.47571	0.178657	1
90	4.4822	0.178528	1
91	4.60374	0.176155	1
92	4.61512	0.175938	1
93	4.58351	0.176544	1
94	4.53567	0.177472	1
95	4.28063	0.182683	1
96	4.1363	0.185842	1
97	4.0991	0.186684	1
98	3.88597	0.191735	1
99	3.84404	0.192778	1
100	3.82864	0.193165	1
101	3.95673	0.190013	1
102	4.08237	0.187066	1
103	4.19613	0.184513	1
104	4.26268	0.183067	1
105	4.32885	0.181662	1
106	4.34008	0.181427	1
107	4.38203	0.180557	1
108	4.45932	0.178985	1
109	4.306	0.182144	1
110	4.12019	0.186205	1
111	5.50475	0.161095	0
112	5.54741	0.160474	0
113	5.63172	0.159269	0
114	5.66791	0.158759	0
115	5.70331	0.158266	0
