Input	../Output/Countries/BOL.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	48
beta0	3.51079	error	0.052144
beta1	0.0631548	error	0.0017419

X	Y	Error	Weight
0	3.43859	0.203827	1
1	3.44773	0.203556	1
2	3.50942	0.201759	1
3	3.55125	0.200567	1
4	3.41069	0.204659	1
5	3.62245	0.198587	1
6	3.8889	0.191663	1
7	3.97567	0.18956	1
8	4.11788	0.186258	1
9	4.16334	0.185238	1
10	4.17439	0.184993	1
11	4.27069	0.182895	1
12	4.19398	0.18456	1
13	4.0991	0.186684	1
14	4.45767	0.179018	1
15	4.52179	0.177744	1
16	4.55688	0.177059	1
17	4.67283	0.174848	1
18	4.70824	0.174189	1
19	4.87192	0.171238	1
20	4.99818	0.169062	1
21	4.92829	0.170256	1
22	4.92311	0.170346	1
23	5.10161	0.167339	1
24	5.11199	0.167169	1
25	5.19454	0.165835	1
26	5.21727	0.165474	1
27	5.23264	0.165231	1
28	5.29043	0.164326	1
29	5.38842	0.162825	1
30	5.32092	0.163854	1
31	5.37858	0.162974	1
32	5.53339	0.160678	1
33	5.55793	0.160322	1
34	5.65599	0.158927	1
35	5.69853	0.158332	1
36	5.73887	0.157775	1
37	5.83606	0.156456	1
38	5.93829	0.155103	1
39	6.00881	0.15419	1
40	6.125	0.152721	1
41	6.10988	0.15291	1
42	6.26394	0.151017	1
43	6.2753	0.150881	1
44	6.31536	0.150401	1
45	6.31122	0.150451	1
46	6.3151	0.150405	1
47	6.31199	0.150442	1
48	6.34739	0.150021	1
49	6.28786	0.15073	0
50	6.25958	0.15107	0
51	6.1909	0.151906	0
52	6.25739	0.151096	0
53	6.25465	0.15113	0
54	6.32794	0.150252	0
55	6.39717	0.149437	0
56	6.46236	0.148681	0
57	6.53379	0.147866	0
58	6.59578	0.14717	0
59	6.61798	0.146923	0
60	6.64898	0.14658	0
61	6.63595	0.146723	0
62	6.6751	0.146292	0
63	6.69703	0.146053	0
64	6.7417	0.145568	0
65	6.82126	0.144717	0
66	6.83457	0.144576	0
67	6.87906	0.144107	0
68	6.90833	0.143802	0
69	6.90015	0.143887	0
70	6.93091	0.143567	0
71	6.927	0.143608	0
72	6.85375	0.144373	0
73	6.88317	0.144064	0
74	6.86991	0.144203	0
75	6.91132	0.143771	0
76	6.96265	0.14324	0
77	6.96265	0.14324	0
78	7.0125	0.14273	0
