Input	../Output/Countries/BRA.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	24
beta0	4.3772	error	0.0661591
beta1	0.132072	error	0.00442592

X	Y	Error	Weight
0	3.72398	0.195861	1
1	3.86523	0.192249	1
2	4.39797	0.180229	1
3	4.51867	0.177806	1
4	4.82259	0.172112	1
5	5.28682	0.164382	1
6	5.50649	0.16107	1
7	5.61729	0.159473	1
8	5.74209	0.157731	1
9	5.8222	0.156642	1
10	5.92654	0.155257	1
11	6.02068	0.154038	1
12	5.95879	0.154836	1
13	5.93829	0.155103	1
14	6.206	0.151721	1
15	6.41627	0.149214	1
16	6.58301	0.147312	1
17	6.69155	0.146113	1
18	6.82686	0.144657	1
19	6.88959	0.143997	1
20	6.98762	0.142984	1
21	7.08015	0.142046	1
22	7.19551	0.140903	1
23	7.26922	0.140187	1
24	7.321	0.13969	1
25	7.30047	0.139886	0
26	7.36536	0.139269	0
27	7.3839	0.139094	0
28	7.38026	0.139128	0
29	7.45917	0.13839	0
30	7.47412	0.138252	0
31	7.60404	0.137066	0
32	7.73011	0.135943	0
33	7.7629	0.135656	0
34	7.8133	0.135218	0
35	7.842	0.13497	0
36	7.82044	0.135156	0
37	7.93794	0.134152	0
38	7.97547	0.133836	0
39	8.08271	0.132945	0
40	8.15831	0.132328	0
41	8.24662	0.131617	0
42	8.36823	0.130657	0
43	8.48609	0.129747	0
44	8.57684	0.129059	0
45	8.60361	0.128858	0
46	8.59352	0.128933	0
47	8.61836	0.128747	0
48	8.67965	0.128292	0
49	8.70474	0.128107	0
50	8.81042	0.127336	0
51	8.84518	0.127086	0
52	8.96356	0.126244	0
53	9.03872	0.125718	0
54	9.07063	0.125497	0
55	9.07229	0.125485	0
56	9.10115	0.125286	0
57	9.11329	0.125203	0
58	9.17237	0.124799	0
59	9.25773	0.124222	0
60	9.31148	0.123863	0
61	9.32343	0.123784	0
62	9.41356	0.12319	0
63	9.50163	0.122617	0
64	9.58133	0.122106	0
65	9.63395	0.121772	0
66	9.66776	0.121559	0
67	9.69705	0.121376	0
68	9.76694	0.12094	0
69	9.74541	0.121074	0
70	9.7438	0.121084	0
71	9.75135	0.121037	0
72	9.81505	0.120644	0
73	9.86174	0.120358	0
74	9.9794	0.119646	0
75	9.98334	0.119623	0
76	9.98275	0.119626	0
77	10.0627	0.11915	0
78	10.1105	0.118868	0
79	10.1363	0.118716	0
80	10.1582	0.118589	0
81	10.1232	0.118793	0
82	10.1375	0.11871	0
83	10.1601	0.118577	0
84	10.1774	0.118476	0
85	10.2004	0.118343	0
86	10.1977	0.118359	0
87	10.1715	0.118511	0
88	10.1418	0.118685	0
89	10.1316	0.118744	0
90	10.1596	0.118581	0
91	10.1751	0.11849	0
92	10.1711	0.118513	0
93	10.1284	0.118763	0
94	10.2805	0.117881	0
95	10.342	0.11753	0
96	10.3358	0.117565	0
97	10.3473	0.1175	0
98	10.3677	0.117384	0
99	10.414	0.117123	0
100	10.4832	0.116736	0
101	10.451	0.116915	0
102	10.4675	0.116823	0
103	10.5256	0.1165	0
104	10.5291	0.116481	0
105	10.5076	0.1166	0
106	10.523	0.116515	0
107	10.5556	0.116335	0
108	10.5382	0.116431	0
109	10.5353	0.116447	0
110	10.5183	0.116541	0
111	10.5035	0.116623	0
112	10.5474	0.11638	0
113	10.5393	0.116424	0
114	10.5184	0.11654	0
115	10.5292	0.11648	0
116	10.5334	0.116457	0
117	10.5288	0.116483	0
118	10.529	0.116482	0
119	10.5157	0.116555	0
120	10.4976	0.116656	0
121	10.5085	0.116595	0
122	10.4651	0.116836	0
123	10.4215	0.117081	0
124	10.4159	0.117112	0
125	10.4158	0.117113	0
126	10.4122	0.117133	0
127	10.5255	0.116501	0
128	10.5798	0.116202	0
129	10.6557	0.115787	0
130	10.7291	0.11539	0
131	10.7324	0.115373	0
132	10.7418	0.115322	0
133	10.7412	0.115326	0
134	10.7449	0.115305	0
135	10.7383	0.115341	0
136	10.7274	0.115399	0
137	10.7092	0.115497	0
138	10.7131	0.115476	0
139	10.6918	0.115592	0
140	10.7262	0.115406	0
141	10.6881	0.115612	0
142	10.6726	0.115695	0
143	10.6655	0.115734	0
144	10.6806	0.115652	0
145	10.6714	0.115702	0
146	10.6892	0.115606	0
147	10.691	0.115596	0
148	10.6845	0.115631	0
149	10.707	0.115509	0
150	10.7083	0.115502	0
151	10.6811	0.115649	0
152	10.6814	0.115648	0
153	10.6726	0.115695	0
154	10.658	0.115774	0
155	10.6381	0.115883	0
156	10.5862	0.116166	0
157	10.5102	0.116586	0
158	10.5426	0.116407	0
159	10.5438	0.1164	0
160	10.5351	0.116448	0
161	10.5326	0.116462	0
162	10.5245	0.116507	0
163	10.5203	0.11653	0
164	10.5694	0.116259	0
165	10.537	0.116437	0
166	10.5091	0.116592	0
167	10.6158	0.116005	0
168	10.6	0.116091	0
169	10.5992	0.116095	0
170	10.5975	0.116104	0
171	10.6213	0.115974	0
172	10.5853	0.116171	0
173	10.5794	0.116204	0
174	10.4405	0.116974	0
175	10.3144	0.117687	0
176	10.2603	0.117997	0
177	10.2441	0.11809	0
178	10.2108	0.118283	0
179	10.2229	0.118213	0
180	10.2242	0.118205	0
181	10.2492	0.118061	0
182	10.3563	0.117449	0
183	10.3609	0.117423	0
184	10.3415	0.117533	0
185	10.3232	0.117637	0
186	10.321	0.117649	0
187	10.3286	0.117606	0
188	10.3205	0.117653	0
189	10.3047	0.117743	0
190	10.111	0.118865	0
191	10.2717	0.117932	0
192	10.2319	0.118161	0
193	10.2076	0.118301	0
194	10.1966	0.118365	0
195	10.1952	0.118373	0
196	10.1884	0.118412	0
197	10.3535	0.117465	0
198	10.2057	0.118312	0
199	10.0211	0.119397	0
200	10.2028	0.118329	0
201	10.1712	0.118513	0
202	10.1646	0.118551	0
203	10.2174	0.118245	0
204	10.2076	0.118301	0
205	10.1623	0.118565	0
206	10.3032	0.117751	0
207	10.1312	0.118746	0
208	10.1531	0.118618	0
209	10.1333	0.118734	0
210	9.93503	0.119913	0
211	9.90469	0.120097	0
212	9.91019	0.120063	0
213	9.93451	0.119916	0
214	9.91573	0.12003	0
215	9.82462	0.120585	0
216	9.95444	0.119796	0
217	10.0391	0.11929	0
218	10.0239	0.119381	0
219	10.0004	0.119521	0
220	9.99461	0.119555	0
221	10.0135	0.119443	0
222	10.0963	0.118952	0
223	10.0315	0.119335	0
224	10.0719	0.119095	0
225	10.0947	0.118961	0
226	10.102	0.118918	0
227	10.0556	0.119192	0
228	10.0051	0.119493	0
229	9.98294	0.119625	0
230	9.9341	0.119919	0
231	9.80136	0.120728	0
232	9.76386	0.12096	0
233	9.52253	0.122483	0
234	9.70262	0.121341	0
235	9.73216	0.121156	0
236	9.736	0.121133	0
237	9.7562	0.121007	0
238	9.85186	0.120418	0
239	10.0221	0.119391	0
240	10.217	0.118247	0
241	10.1519	0.118626	0
242	10.2369	0.118132	0
243	10.255	0.118027	0
244	10.2673	0.117957	0
245	10.322	0.117644	0
246	10.2511	0.11805	0
247	10.2611	0.117992	0
248	10.3066	0.117732	0
249	10.2791	0.117889	0
250	10.3009	0.117764	0
251	10.3144	0.117687	0
252	10.2943	0.117802	0
253	10.3589	0.117434	0
254	10.3666	0.117391	0
255	10.3472	0.1175	0
256	10.432	0.117022	0
257	10.4563	0.116886	0
258	10.4764	0.116774	0
259	10.5531	0.116348	0
260	10.5604	0.116308	0
261	10.6068	0.116054	0
262	10.6509	0.115813	0
263	10.621	0.115976	0
264	10.6276	0.11594	0
