Input	../Output/Countries/CAF.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	43
beta0	3.73665	error	0.0569837
beta1	0.0239263	error	0.00221884

X	Y	Error	Weight
0	3.46126	0.203158	1
1	3.67087	0.197273	1
2	3.73426	0.195591	1
3	3.23589	0.210114	1
4	3.47019	0.202896	1
5	3.6781	0.197079	1
6	3.83792	0.192931	1
7	3.77439	0.194548	1
8	3.70305	0.196413	1
9	3.81927	0.193402	1
10	4.03298	0.188208	1
11	4.07024	0.187345	1
12	4.0629	0.187514	1
13	4.08717	0.186956	1
14	4.04054	0.188032	1
15	4.20895	0.184232	1
16	4.33261	0.181583	1
17	4.41194	0.179944	1
18	4.46426	0.178886	1
19	4.48864	0.1784	1
20	4.71466	0.174071	1
21	4.71466	0.174071	1
22	4.62637	0.175724	1
23	4.55237	0.177146	1
24	4.43928	0.179389	1
25	4.24235	0.183505	1
26	4.10147	0.18663	1
27	3.97299	0.189624	1
28	4.38203	0.180557	1
29	4.57028	0.176799	1
30	4.53567	0.177472	1
31	4.38381	0.18052	1
32	4.49822	0.178209	1
33	4.6755	0.174798	1
34	4.66209	0.175049	1
35	4.51712	0.177836	1
36	4.33636	0.181505	1
37	4.514	0.177898	1
38	4.65396	0.175202	1
39	4.66479	0.174999	1
40	4.48542	0.178464	1
41	4.53106	0.177562	1
42	4.59656	0.176293	1
43	4.52489	0.177683	1
44	4.35304	0.181157	0
45	4.41366	0.179908	0
46	4.34566	0.181311	0
47	4.34566	0.181311	0
48	4.09434	0.186792	0
49	3.84098	0.192855	0
50	3.95124	0.190145	0
51	4.07511	0.187233	0
52	3.88597	0.191735	0
53	3.81927	0.193402	0
54	3.81927	0.193402	0
55	3.71705	0.196043	0
56	3.70657	0.19632	0
57	3.58748	0.199552	0
58	3.20737	0.211046	0
59	2.9216	0.221126	0
60	3.3373	0.206897	0
61	3.3373	0.206897	0
62	3.47905	0.202638	0
63	3.37711	0.205674	0
64	3.41069	0.204659	0
65	3.43399	0.203963	0
66	3.37222	0.205823	0
67	2.78149	0.226627	0
68	2.79031	0.226269	0
69	1.98595	0.268205	0
70	1.69175	0.290591	0
71	1.48817	0.30983	0
72	0.762207	0.432927	0
73	0.762207	0.432927	0
74	0.826804	0.415671	0
75	0.762207	0.432927	0
76	0.762207	0.432927	0
77	0.998424	0.378263	0
78	0.618962	0.480418	0
79	0.762207	0.432927	0
80	1.55054	0.303536	0
81	1.34989	0.325313	0
82	1.34989	0.325313	0
83	1.34989	0.325313	0
84	1.34989	0.325313	0
85	1.58042	0.300652	0
86	1.51973	0.306597	0
87	0.451712	0.562367	0
88	0.451712	0.562367	0
89	0.451712	0.562367	0
90	1.31211	0.329964	0
91	1.58042	0.300652	0
92	1.34989	0.325313	0
93	1.34989	0.325313	0
94	1.34989	0.325313	0
95	1.34989	0.325313	0
96	1.34989	0.325313	0
97	0.53883	0.514903	0
98	0.53883	0.514903	0
99	0.998424	0.378263	0
100	0.998424	0.378263	0
101	1.09861	0.360603	0
102	1.09861	0.360603	0
103	1.09861	0.360603	0
104	1.51973	0.306597	0
105	1.04977	0.368896	0
106	0.693147	0.453982	0
107	1.48817	0.30983	0
108	1.42142	0.317022	0
109	1.42142	0.317022	0
110	1.42142	0.317022	0
111	0.944295	0.388953	0
112	1.23227	0.340485	0
113	1.23227	0.340485	0
114	0.944295	0.388953	0
115	1.04977	0.368896	0
116	1.04977	0.368896	0
117	1.04977	0.368896	0
118	1.81531	0.280527	0
119	1.66506	0.292911	0
120	1.88267	0.275464	0
121	1.60944	0.29793	0
122	1.66506	0.292911	0
123	1.66506	0.292911	0
124	1.66506	0.292911	0
125	0.693147	0.453982	0
126	1.45535	0.313305	0
127	1.04977	0.368896	0
128	1.14518	0.353195	0
129	1.04977	0.368896	0
130	1.04977	0.368896	0
131	1.04977	0.368896	0
132	1.04977	0.368896	0
