Input	../Output/Countries/CMR.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	17
beta0	4.26292	error	0.0861281
beta1	-0.0644457	error	0.00903219

X	Y	Error	Weight
0	3.49651	0.202131	1
1	4.08957	0.186901	1
2	4.19398	0.18456	1
3	4.29046	0.182473	1
4	4.306	0.182144	1
5	4.19613	0.184513	1
6	4.26268	0.183067	1
7	4.10382	0.186577	1
8	3.79389	0.194048	1
9	3.63382	0.198276	1
10	3.1899	0.211623	1
11	3.14169	0.21324	1
12	3.30112	0.208027	1
13	2.82477	0.224885	1
14	3.63759	0.198173	1
15	3.22458	0.210482	1
16	3.3373	0.206897	1
17	3.3373	0.206897	1
18	3.89182	0.191591	0
19	3.80666	0.193722	0
20	3.80666	0.193722	0
21	3.87714	0.191953	0
22	4.12713	0.186049	0
23	4.27069	0.182895	0
24	4.45767	0.179018	0
25	4.34936	0.181233	0
26	4.34936	0.181233	0
27	4.55987	0.177001	0
28	4.26469	0.183024	0
29	4.05055	0.187799	0
30	4.38024	0.180594	0
31	4.17659	0.184944	0
32	4.04305	0.187973	0
33	4.04305	0.187973	0
34	4.12483	0.186101	0
35	4.12944	0.185997	0
36	4.12944	0.185997	0
37	3.3373	0.206897	0
38	4.27269	0.182852	0
39	4.4257	0.179664	0
40	4.4257	0.179664	0
41	4.33636	0.181505	0
42	4.58643	0.176487	0
43	4.78511	0.172785	0
44	4.77672	0.172936	0
45	4.31939	0.181861	0
46	4.78749	0.172742	0
47	4.78749	0.172742	0
48	4.8925	0.170878	0
49	5.25002	0.164957	0
50	5.22036	0.165425	0
51	5.22036	0.165425	0
52	5.54126	0.160563	0
53	5.27007	0.164643	0
54	5.60738	0.159614	0
55	5.49424	0.161249	0
56	5.09987	0.167368	0
57	4.99721	0.169078	0
58	5.36997	0.163104	0
59	4.97575	0.169442	0
60	5.37197	0.163074	0
61	5.10074	0.167353	0
62	5.10074	0.167353	0
63	5.26417	0.164735	0
64	5.63275	0.159254	0
65	5.48953	0.161318	0
66	5.65699	0.158913	0
67	5.47047	0.161599	0
68	5.50823	0.161044	0
69	5.70188	0.158286	0
70	5.59948	0.159727	0
71	5.21571	0.165499	0
72	5.04065	0.168348	0
73	4.70437	0.174261	0
74	5.55185	0.16041	0
75	5.40139	0.162629	0
76	5.1299	0.166877	0
77	5.1299	0.166877	0
78	5.63326	0.159247	0
79	6.03651	0.153836	0
80	6.12843	0.152678	0
81	5.73979	0.157762	0
82	5.83981	0.156405	0
83	5.96541	0.15475	0
84	5.96541	0.15475	0
85	5.63172	0.159269	0
86	4.94368	0.169991	0
87	4.60517	0.176128	0
88	4.36582	0.180891	0
89	3.82864	0.193165	0
