Input	../Output/Countries/COG.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	22
beta0	3.95881	error	0.0754993
beta1	0.027559	error	0.00577101

X	Y	Error	Weight
0	3.74107	0.195413	1
1	3.74107	0.195413	1
2	4.20683	0.184278	1
3	4.20683	0.184278	1
4	4.20683	0.184278	1
5	4.20683	0.184278	1
6	4.20683	0.184278	1
7	4.13858	0.185791	1
8	4.13858	0.185791	1
9	4.20895	0.184232	1
10	4.20895	0.184232	1
11	4.20895	0.184232	1
12	4.20895	0.184232	1
13	4.20895	0.184232	1
14	4.04806	0.187857	1
15	4.34008	0.181427	1
16	4.45932	0.178985	1
17	4.45932	0.178985	1
18	4.45932	0.178985	1
19	4.76704	0.173112	1
20	4.76704	0.173112	1
21	4.49822	0.178209	1
22	4.2546	0.18324	1
23	4.05797	0.187627	0
24	4.05797	0.187627	0
25	4.05797	0.187627	0
26	3.90916	0.191165	0
27	3.90916	0.191165	0
28	3.90916	0.191165	0
29	3.90916	0.191165	0
30	3.14169	0.21324	0
31	3.14169	0.21324	0
32	3.14169	0.21324	0
33	3.90054	0.191377	0
34	3.90054	0.191377	0
35	3.90054	0.191377	0
36	3.90054	0.191377	0
37	4.13403	0.185893	0
38	4.19398	0.18456	0
39	4.19398	0.18456	0
40	2.82477	0.224885	0
41	3.34741	0.206584	0
42	3.34741	0.206584	0
43	3.34741	0.206584	0
44	2.73625	0.228493	0
45	2.4485	0.241547	0
46	3.17208	0.212216	0
47	3.17208	0.212216	0
48	2.50846	0.238642	0
49	2.70805	0.22968	0
50	2.70805	0.22968	0
51	2.70805	0.22968	0
52	2.70805	0.22968	0
53	0.998424	0.378263	0
54	3.05131	0.216375	0
55	3.05131	0.216375	0
56	2.91393	0.221417	0
57	2.91393	0.221417	0
58	2.91393	0.221417	0
59	2.91393	0.221417	0
60	2.91393	0.221417	0
