Input	../Output/Countries/COL.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	136
beta0	4.21815	error	0.0277713
beta1	0.038597	error	0.000323091

X	Y	Error	Weight
0	3.44773	0.203556	1
1	3.76783	0.194718	1
2	3.96217	0.189882	1
3	4.00212	0.188932	1
4	3.9969	0.189056	1
5	4.07511	0.187233	1
6	4.20895	0.184232	1
7	4.30985	0.182062	1
8	4.32319	0.181781	1
9	4.44265	0.17932	1
10	4.56137	0.176972	1
11	4.64439	0.175383	1
12	4.7362	0.173674	1
13	4.71722	0.174023	1
14	4.71466	0.174071	1
15	4.82717	0.17203	1
16	4.95079	0.169869	1
17	5.022	0.16866	1
18	5.14916	0.166565	1
19	5.22652	0.165327	1
20	5.21727	0.165474	1
21	5.20322	0.165697	1
22	5.14334	0.166659	1
23	5.01159	0.168835	1
24	4.9718	0.16951	1
25	4.92725	0.170274	1
26	4.86973	0.171277	1
27	4.97772	0.169409	1
28	5.07963	0.167701	1
29	5.11885	0.167057	1
30	5.18579	0.165975	1
31	5.24552	0.165028	1
32	5.32788	0.163747	1
33	5.38121	0.162934	1
34	5.42369	0.162294	1
35	5.44427	0.161987	1
36	5.54963	0.160442	1
37	5.57757	0.16004	1
38	5.62762	0.159327	1
39	5.71562	0.158095	1
40	5.72405	0.157979	1
41	5.78996	0.157077	1
42	5.82726	0.156574	1
43	5.94167	0.155059	1
44	5.97417	0.154637	1
45	6.04331	0.153749	1
46	6.07535	0.153344	1
47	6.12812	0.152682	1
48	6.18415	0.151989	1
49	6.25383	0.15114	1
50	6.25903	0.151077	1
51	6.34086	0.150099	1
52	6.38592	0.149568	1
53	6.38856	0.149537	1
54	6.4534	0.148784	1
55	6.46837	0.148612	1
56	6.50557	0.148186	1
57	6.5015	0.148233	1
58	6.52146	0.148006	1
59	6.51365	0.148094	1
60	6.55414	0.147636	1
61	6.61778	0.146925	1
62	6.68479	0.146186	1
63	6.69985	0.146022	1
64	6.76487	0.145319	1
65	6.8208	0.144722	1
66	6.91289	0.143754	1
67	6.98432	0.143017	1
68	7.04863	0.142363	1
69	7.06695	0.142179	1
70	7.10332	0.141814	1
71	7.14	0.14145	1
72	7.18647	0.140992	1
73	7.23952	0.140474	1
74	7.25912	0.140284	1
75	7.24331	0.140437	1
76	7.24962	0.140376	1
77	7.28678	0.140018	1
78	7.28864	0.14	1
79	7.2967	0.139923	1
80	7.27359	0.140145	1
81	7.28649	0.140021	1
82	7.33386	0.139568	1
83	7.42169	0.138739	1
84	7.47501	0.138244	1
85	7.51542	0.137871	1
86	7.55441	0.137515	1
87	7.67023	0.136473	1
88	7.76022	0.135679	1
89	7.78839	0.135434	1
90	7.83614	0.135021	1
91	7.85886	0.134825	1
92	7.88721	0.134583	1
93	7.96092	0.133958	1
94	7.9765	0.133827	1
95	8.01424	0.133512	1
96	8.09551	0.13284	1
97	8.10241	0.132783	1
98	8.13405	0.132525	1
99	8.15125	0.132385	1
100	8.17655	0.13218	1
101	8.20096	0.131983	1
102	8.18324	0.132126	1
103	8.17261	0.132212	1
104	8.19427	0.132037	1
105	8.1902	0.13207	1
106	8.24456	0.131634	1
107	8.24385	0.131639	1
108	8.28914	0.131279	1
109	8.40454	0.130375	1
110	8.43515	0.130138	1
111	8.46845	0.129882	1
112	8.48809	0.129732	1
113	8.52867	0.129423	1
114	8.56001	0.129186	1
115	8.63136	0.12865	1
116	8.68426	0.128258	1
117	8.77002	0.127629	1
118	8.80843	0.127351	1
119	8.86841	0.126919	1
120	8.89641	0.12672	1
121	8.93701	0.126431	1
122	8.93528	0.126444	1
123	8.9015	0.126683	1
124	8.87577	0.126867	1
125	8.90726	0.126642	1
126	8.93395	0.126453	1
127	8.99337	0.126035	1
128	9.01584	0.125877	1
129	9.05029	0.125638	1
130	9.08845	0.125374	1
131	9.14215	0.125005	1
132	9.19123	0.124671	1
133	9.22098	0.124469	1
134	9.17536	0.124778	1
135	9.20546	0.124574	1
136	9.2342	0.12438	1
137	9.23428	0.12438	0
138	9.22014	0.124475	0
139	9.20791	0.124558	0
140	9.20709	0.124563	0
141	9.28563	0.124035	0
142	9.30312	0.123919	0
143	9.29383	0.123981	0
144	9.31736	0.123824	0
145	9.34161	0.123663	0
146	9.35445	0.123578	0
147	9.33176	0.123728	0
148	9.32709	0.123759	0
149	9.3396	0.123676	0
150	9.3428	0.123655	0
151	9.306	0.123899	0
152	9.29801	0.123953	0
153	9.24966	0.124276	0
154	9.27971	0.124075	0
155	9.25218	0.124259	0
156	9.21127	0.124535	0
157	9.1854	0.12471	0
158	9.18655	0.124702	0
159	9.16326	0.124861	0
160	9.16302	0.124862	0
161	9.1114	0.125216	0
162	9.08757	0.12538	0
163	9.074	0.125473	0
164	9.04915	0.125646	0
165	9.04901	0.125646	0
166	9.0321	0.125764	0
167	9.03287	0.125759	0
168	9.00057	0.125984	0
169	8.97799	0.126142	0
170	8.94209	0.126395	0
171	8.93383	0.126454	0
172	8.91357	0.126598	0
173	8.88398	0.126808	0
174	8.86982	0.126909	0
175	8.87475	0.126874	0
176	8.85524	0.127014	0
177	8.86434	0.126949	0
178	8.85938	0.126984	0
179	8.84099	0.127116	0
180	8.86248	0.126962	0
181	8.84869	0.127061	0
182	8.8443	0.127092	0
183	8.85258	0.127033	0
184	8.83077	0.12719	0
185	8.80939	0.127344	0
186	8.82983	0.127196	0
187	8.82552	0.127227	0
188	8.83263	0.127176	0
189	8.8282	0.127208	0
190	8.80141	0.127402	0
191	8.7776	0.127574	0
192	8.75769	0.127719	0
193	8.72803	0.127936	0
194	8.70211	0.128126	0
195	8.69942	0.128146	0
196	8.74501	0.127812	0
197	8.78539	0.127518	0
198	8.83315	0.127172	0
199	8.89053	0.126761	0
200	8.92775	0.126497	0
201	8.96188	0.126256	0
202	8.9919	0.126045	0
203	9.0036	0.125963	0
204	8.95618	0.126296	0
205	8.92218	0.126536	0
206	8.8898	0.126767	0
207	8.89473	0.126732	0
208	8.86632	0.126934	0
209	8.83836	0.127135	0
210	8.80771	0.127356	0
211	8.87469	0.126875	0
212	8.90422	0.126664	0
213	8.93949	0.126414	0
214	8.94317	0.126388	0
215	8.97534	0.126161	0
216	8.99277	0.126039	0
217	9.04224	0.125694	0
218	9.04072	0.125704	0
219	9.0601	0.12557	0
220	9.10099	0.125287	0
221	9.12399	0.125129	0
222	9.15864	0.124892	0
223	9.17302	0.124794	0
224	9.18435	0.124717	0
225	9.15413	0.124923	0
226	9.15378	0.124925	0
227	9.134	0.125061	0
228	9.12978	0.125089	0
229	9.09321	0.125341	0
230	9.06558	0.125532	0
231	8.98376	0.126102	0
232	8.98655	0.126082	0
233	9.0091	0.125925	0
234	8.98782	0.126073	0
235	8.96852	0.126209	0
236	8.97257	0.126181	0
237	8.96661	0.126223	0
238	8.98992	0.126059	0
239	8.98312	0.126106	0
240	8.92602	0.126509	0
241	8.903	0.126673	0
242	8.8887	0.126775	0
243	8.85078	0.127046	0
244	8.86727	0.126928	0
245	8.8691	0.126915	0
246	8.90082	0.126688	0
247	8.93191	0.126467	0
248	8.96912	0.126205	0
249	9.00605	0.125946	0
250	9.04141	0.125699	0
251	9.05551	0.125601	0
252	9.08619	0.125389	0
253	9.09377	0.125337	0
254	9.10653	0.125249	0
255	9.10236	0.125278	0
256	9.09054	0.125359	0
257	9.09919	0.1253	0
258	9.10064	0.12529	0
259	9.06108	0.125563	0
