Input	../Output/Countries/CPV.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	140
beta0	3.54701	error	0.0326393
beta1	0.0073426	error	0.000391003

X	Y	Error	Weight
0	3.48342	0.202511	1
1	3.63382	0.198276	1
2	3.45224	0.203423	1
3	3.55535	0.200452	1
4	3.64508	0.197969	1
5	3.75117	0.195149	1
6	3.9262	0.19075	1
7	3.85319	0.192549	1
8	3.74446	0.195324	1
9	3.75117	0.195149	1
10	3.65989	0.197568	1
11	3.67087	0.197273	1
12	3.57954	0.199773	1
13	3.39642	0.205088	1
14	3.36235	0.206124	1
15	3.20157	0.211237	1
16	3.51366	0.201637	1
17	3.46126	0.203158	1
18	3.52636	0.201274	1
19	3.8889	0.191663	1
20	3.90629	0.191236	1
21	4.0228	0.188446	1
22	4.0991	0.186684	1
23	3.97567	0.18956	1
24	4.00733	0.188809	1
25	3.97835	0.189496	1
26	3.74446	0.195324	1
27	3.69245	0.196695	1
28	3.55125	0.200567	1
29	3.62245	0.198587	1
30	3.60316	0.199117	1
31	3.56349	0.200223	1
32	3.44317	0.203691	1
33	3.48342	0.202511	1
34	3.49651	0.202131	1
35	3.45676	0.20329	1
36	3.53474	0.201035	1
37	3.59537	0.199333	1
38	3.6781	0.197079	1
39	3.80984	0.193641	1
40	3.80984	0.193641	1
41	3.85015	0.192625	1
42	3.9262	0.19075	1
43	3.79389	0.194048	1
44	3.75787	0.194976	1
45	3.72052	0.195952	1
46	3.79389	0.194048	1
47	3.8801	0.19188	1
48	3.92902	0.190682	1
49	3.8471	0.192701	1
50	3.82553	0.193244	1
51	3.8224	0.193323	1
52	3.86222	0.192323	1
53	3.82553	0.193244	1
54	3.74107	0.195413	1
55	3.6745	0.197175	1
56	3.73084	0.195681	1
57	3.85319	0.192549	1
58	3.85015	0.192625	1
59	3.80666	0.193722	1
60	3.78743	0.194213	1
61	3.85621	0.192473	1
62	3.86222	0.192323	1
63	3.83175	0.193087	1
64	3.89182	0.191591	1
65	3.91773	0.190956	1
66	4.05055	0.187799	1
67	4.08957	0.186901	1
68	4.10853	0.18647	1
69	4.17439	0.184993	1
70	4.26268	0.183067	1
71	4.2237	0.18391	1
72	4.21529	0.184093	1
73	4.11788	0.186258	1
74	4.10617	0.186523	1
75	4.12251	0.186153	1
76	4.16556	0.185189	1
77	4.13174	0.185945	1
78	4.23411	0.183683	1
79	4.22995	0.183774	1
80	4.27667	0.182767	1
81	4.27865	0.182725	1
82	4.28063	0.182683	1
83	4.2485	0.183372	1
84	4.2174	0.184047	1
85	4.14992	0.185537	1
86	4.1454	0.185638	1
87	4.12483	0.186101	1
88	4.12713	0.186049	1
89	4.08478	0.187011	1
90	4.24235	0.183505	1
91	4.29825	0.182308	1
92	4.29632	0.182349	1
93	4.33822	0.181466	1
94	4.38737	0.180447	1
95	4.47083	0.178755	1
96	4.52644	0.177653	1
97	4.41194	0.179944	1
98	4.44265	0.17932	1
99	4.43252	0.179525	1
100	4.47734	0.178625	1
101	4.48058	0.17856	1
102	4.45102	0.179152	1
103	4.43591	0.179457	1
104	4.45767	0.179018	1
105	4.47896	0.178592	1
106	4.62216	0.175804	1
107	4.63612	0.175539	1
108	4.65532	0.175177	1
109	4.67015	0.174898	1
110	4.64302	0.175409	1
111	4.62917	0.175671	1
112	4.64026	0.175461	1
113	4.57618	0.176685	1
114	4.52334	0.177714	1
115	4.52644	0.177653	1
116	4.54935	0.177205	1
117	4.57324	0.176742	1
118	4.56435	0.176914	1
119	4.58204	0.176572	1
120	4.52179	0.177744	1
121	4.48864	0.1784	1
122	4.40147	0.180157	1
123	4.29825	0.182308	1
124	4.22995	0.183774	1
125	4.26066	0.18311	1
126	4.20895	0.184232	1
127	4.16777	0.18514	1
128	4.18313	0.184799	1
129	4.21108	0.184185	1
130	4.27865	0.182725	1
131	4.35671	0.181081	1
132	4.32696	0.181702	1
133	4.26469	0.183024	1
134	4.30985	0.182062	1
135	4.34008	0.181427	1
136	4.37306	0.180742	1
137	4.28261	0.18264	1
138	4.35487	0.181119	1
139	4.30213	0.182226	1
140	4.24645	0.183416	1
141	4.16998	0.18509	0
142	4.09673	0.186738	0
143	4.18749	0.184703	0
144	4.14086	0.18574	0
145	4.0151	0.188626	0
146	4.07268	0.187288	0
147	4.17218	0.185042	0
148	4.17218	0.185042	0
149	4.18966	0.184655	0
150	4.14086	0.18574	0
151	4.31939	0.181861	0
152	4.2444	0.183461	0
153	4.21529	0.184093	0
154	4.19827	0.184466	0
155	4.20895	0.184232	0
156	4.18313	0.184799	0
157	4.08478	0.187011	0
158	3.88597	0.191735	0
159	3.96217	0.189882	0
160	3.96759	0.189753	0
161	3.8712	0.1921	0
162	3.80984	0.193641	0
163	3.87418	0.192027	0
