Input	../Output/Countries/CRI.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	52
beta0	3.55848	error	0.0498251
beta1	0.0608762	error	0.00153551

X	Y	Error	Weight
0	3.42936	0.204101	1
1	3.62245	0.198587	1
2	3.60705	0.19901	1
3	3.6525	0.197768	1
4	3.77113	0.194633	1
5	3.89473	0.191519	1
6	4.00473	0.188871	1
7	4.04305	0.187973	1
8	4.03802	0.18809	1
9	4.05055	0.187799	1
10	4.09673	0.186738	1
11	4.07024	0.187345	1
12	4.04806	0.187857	1
13	4.1544	0.185437	1
14	4.19613	0.184513	1
15	4.26469	0.183024	1
16	4.33261	0.181583	1
17	4.40322	0.180121	1
18	4.52179	0.177744	1
19	4.66748	0.174948	1
20	4.71082	0.174142	1
21	4.80167	0.172486	1
22	4.8752	0.171181	1
23	4.95381	0.169817	1
24	5.04894	0.16821	1
25	5.17534	0.166143	1
26	5.25377	0.164898	1
27	5.3505	0.163401	1
28	5.45776	0.161787	1
29	5.58564	0.159924	1
30	5.64089	0.159139	1
31	5.6684	0.158753	1
32	5.69565	0.158372	1
33	5.86282	0.156098	1
34	5.89164	0.155716	1
35	5.92119	0.155327	1
36	5.91736	0.155377	1
37	5.98968	0.154436	1
38	6.05912	0.153549	1
39	6.10925	0.152917	1
40	6.08059	0.153277	1
41	6.10096	0.153021	1
42	6.16181	0.152264	1
43	6.21974	0.151553	1
44	6.21404	0.151623	1
45	6.16452	0.15223	1
46	6.17824	0.152061	1
47	6.23804	0.151331	1
48	6.27018	0.150942	1
49	6.36032	0.149869	1
50	6.37648	0.149679	1
51	6.42209	0.149146	1
52	6.47323	0.148556	1
53	6.45227	0.148797	0
54	6.3876	0.149549	0
55	6.38519	0.149577	0
56	6.23916	0.151317	0
57	6.28253	0.150794	0
58	6.23189	0.151405	0
59	6.21261	0.15164	0
60	6.24749	0.151216	0
61	6.29157	0.150686	0
62	6.41135	0.149271	0
63	6.49116	0.148351	0
64	6.42302	0.149136	0
65	6.45923	0.148717	0
66	6.50322	0.148213	0
67	6.49656	0.148289	0
68	6.58301	0.147312	0
69	6.54082	0.147786	0
70	6.5582	0.147591	0
71	6.60646	0.147051	0
72	6.61281	0.14698	0
73	6.59792	0.147146	0
74	6.63931	0.146686	0
75	6.56042	0.147566	0
76	6.61108	0.146999	0
77	6.63838	0.146697	0
78	6.63988	0.14668	0
79	6.64435	0.146631	0
80	6.69562	0.146068	0
81	6.73646	0.145625	0
82	6.78913	0.145059	0
83	6.81046	0.144831	0
84	6.85119	0.1444	0
85	6.73323	0.14566	0
86	6.88229	0.144074	0
87	6.89032	0.14399	0
88	6.90747	0.143811	0
89	6.93119	0.143564	0
90	6.93523	0.143523	0
91	6.93884	0.143485	0
92	6.93884	0.143485	0
93	6.97581	0.143105	0
94	7.00475	0.142809	0
95	7.03111	0.142541	0
96	7.0526	0.142323	0
97	7.07677	0.14208	0
98	7.1059	0.141789	0
99	7.1059	0.141789	0
100	7.11139	0.141734	0
101	7.07085	0.14214	0
102	7.07714	0.142076	0
103	7.07436	0.142104	0
104	7.09067	0.141941	0
105	7.07303	0.142118	0
106	7.07303	0.142118	0
107	7.07097	0.142138	0
108	7.10801	0.141768	0
109	7.10696	0.141778	0
110	7.11836	0.141664	0
111	7.09506	0.141897	0
112	7.08255	0.142022	0
113	7.08255	0.142022	0
114	7.05519	0.142297	0
115	7.03061	0.142546	0
116	7.00319	0.142825	0
117	6.95913	0.143276	0
118	6.90961	0.143789	0
119	6.92658	0.143612	0
120	6.92658	0.143612	0
121	6.96535	0.143212	0
122	6.9818	0.143043	0
123	7.00786	0.142777	0
124	7.04129	0.142438	0
125	7.0689	0.142159	0
126	7.07291	0.142119	0
127	7.07291	0.142119	0
128	7.05297	0.14232	0
129	7.05321	0.142317	0
130	7.07605	0.142087	0
131	7.08099	0.142038	0
132	7.0775	0.142073	0
133	7.05062	0.142343	0
134	7.05062	0.142343	0
135	7.02261	0.142627	0
136	7.00099	0.142847	0
137	6.9959	0.142899	0
138	6.97194	0.143144	0
139	6.97381	0.143125	0
140	6.98657	0.142994	0
141	6.98657	0.142994	0
142	6.9613	0.143254	0
143	6.96333	0.143233	0
144	6.92588	0.14362	0
145	6.90116	0.143876	0
146	6.91345	0.143749	0
147	6.8909	0.143984	0
148	6.8909	0.143984	0
149	6.87833	0.144115	0
150	6.87847	0.144114	0
151	6.86515	0.144253	0
152	6.87833	0.144115	0
153	6.84146	0.144503	0
154	6.81689	0.144763	0
155	6.81689	0.144763	0
156	6.80715	0.144867	0
157	6.82531	0.144674	0
158	6.83472	0.144574	0
159	6.84466	0.144469	0
160	6.86485	0.144257	0
161	6.88755	0.144019	0
162	6.88755	0.144019	0
163	6.90847	0.1438	0
164	6.91118	0.143772	0
165	6.94202	0.143452	0
166	6.94862	0.143384	0
167	6.94903	0.14338	0
168	6.78559	0.145097	0
169	6.78559	0.145097	0
170	7.00345	0.142822	0
171	6.98999	0.142959	0
172	6.97781	0.143084	0
173	6.97821	0.14308	0
174	6.99981	0.142859	0
175	6.99981	0.142859	0
176	6.99981	0.142859	0
177	6.95559	0.143312	0
178	6.90518	0.143835	0
179	6.88171	0.14408	0
180	6.87331	0.144168	0
181	6.8477	0.144437	0
182	6.8477	0.144437	0
183	6.8477	0.144437	0
184	6.87627	0.144137	0
