Input	../Output/Countries/CUB.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	109
beta0	4.07456	error	0.0395611
beta1	-0.0259167	error	0.000737465

X	Y	Error	Weight
0	3.4012	0.204944	1
1	3.55535	0.200452	1
2	3.696	0.196601	1
3	3.74107	0.195413	1
4	3.85923	0.192398	1
5	3.90916	0.191165	1
6	3.98367	0.189369	1
7	3.96759	0.189753	1
8	3.93183	0.190614	1
9	3.90341	0.191306	1
10	3.93742	0.190478	1
11	3.95673	0.190013	1
12	3.95673	0.190013	1
13	3.94296	0.190344	1
14	3.97029	0.189688	1
15	3.98101	0.189432	1
16	3.97567	0.18956	1
17	3.94573	0.190277	1
18	3.91488	0.191026	1
19	3.86523	0.192249	1
20	3.76452	0.194803	1
21	3.75787	0.194976	1
22	3.6817	0.196982	1
23	3.63759	0.198173	1
24	3.58352	0.199662	1
25	3.66722	0.197371	1
26	3.68888	0.19679	1
27	3.6853	0.196886	1
28	3.56753	0.200109	1
29	3.51791	0.201515	1
30	3.48342	0.202511	1
31	3.37222	0.205823	1
32	3.01695	0.217604	1
33	2.81625	0.225225	1
34	2.79905	0.225915	1
35	2.83321	0.224549	1
36	2.72694	0.228883	1
37	2.66924	0.231343	1
38	2.64922	0.232216	1
39	2.73625	0.228493	1
40	2.71754	0.229278	1
41	2.63906	0.232663	1
42	2.47292	0.240351	1
43	2.55389	0.23651	1
44	2.41081	0.243427	1
45	2.38481	0.244751	1
46	2.28818	0.249865	1
47	2.28818	0.249865	1
48	2.24379	0.252325	1
49	2.38481	0.244751	1
50	2.35811	0.246132	1
51	2.37155	0.245434	1
52	2.5427	0.23703	1
53	2.59742	0.23452	1
54	2.69847	0.230087	1
55	2.96677	0.219437	1
56	2.91393	0.221417	1
57	2.94444	0.220267	1
58	2.96677	0.219437	1
59	2.90614	0.221714	1
60	3.05131	0.216375	1
61	3.03769	0.21686	1
62	2.81625	0.225225	1
63	2.78149	0.226627	1
64	2.69847	0.230087	1
65	2.65928	0.231776	1
66	2.65928	0.231776	1
67	2.22851	0.253188	1
68	2.09716	0.260997	1
69	2.18121	0.255919	1
70	2.27357	0.250667	1
71	2.28818	0.249865	1
72	2.38481	0.244751	1
73	2.33078	0.247571	1
74	2.31678	0.248318	1
75	2.21299	0.254075	1
76	2.02433	0.265651	1
77	1.86082	0.277076	1
78	1.71758	0.288399	1
79	1.31211	0.329964	1
80	1.04977	0.368896	1
81	1.09861	0.360603	1
82	1.04977	0.368896	1
83	1.27285	0.335014	1
84	1.18967	0.346527	1
85	1.42142	0.317022	1
86	1.51973	0.306597	1
87	1.63764	0.295354	1
88	1.71758	0.288399	1
89	1.74292	0.286294	1
90	1.74292	0.286294	1
91	2.04304	0.264431	1
92	1.98595	0.268205	1
93	1.96613	0.269553	1
94	2.00539	0.266902	1
95	1.98595	0.268205	1
96	2.04304	0.264431	1
97	1.92527	0.272399	1
98	1.66506	0.292911	1
99	1.71758	0.288399	1
100	1.66506	0.292911	1
101	1.48817	0.30983	1
102	1.27285	0.335014	1
103	1.04977	0.368896	1
104	0.944295	0.388953	1
105	0.88748	0.40121	1
106	1.23227	0.340485	1
107	1.31211	0.329964	1
108	1.27285	0.335014	1
109	1.55054	0.303536	1
110	1.94591	0.27095	0
111	2.50846	0.238642	0
112	2.71754	0.229278	0
113	2.89037	0.222318	0
114	2.92927	0.220837	0
115	2.98856	0.218635	0
116	3.09752	0.214755	0
117	3.07135	0.215668	0
118	2.98133	0.2189	0
119	3.03769	0.21686	0
120	2.98133	0.2189	0
121	3.23589	0.210114	0
122	3.45224	0.203423	0
123	3.59537	0.199333	0
124	3.78093	0.19438	0
125	3.98367	0.189369	0
126	4.02535	0.188386	0
127	4.05055	0.187799	0
128	4.04305	0.187973	0
129	4.04556	0.187915	0
130	4.0555	0.187685	0
131	3.94849	0.190211	0
132	3.81615	0.193481	0
133	3.80666	0.193722	0
134	3.92338	0.190819	0
135	4.0228	0.188446	0
136	3.92057	0.190887	0
137	3.83792	0.192931	0
138	3.95673	0.190013	0
139	3.92057	0.190887	0
140	3.8712	0.1921	0
141	3.6781	0.197079	0
142	3.5389	0.200917	0
143	3.70305	0.196413	0
144	3.78419	0.194296	0
145	3.7274	0.195771	0
146	3.80666	0.193722	0
147	3.82553	0.193244	0
148	3.95946	0.189947	0
149	4.06536	0.187457	0
150	4.04556	0.187915	0
151	3.97567	0.18956	0
152	3.8712	0.1921	0
153	3.8224	0.193323	0
154	3.79708	0.193966	0
155	3.86222	0.192323	0
156	3.87418	0.192027	0
157	3.84404	0.192778	0
158	3.9262	0.19075	0
159	3.98101	0.189432	0
160	3.97835	0.189496	0
161	4.10853	0.18647	0
162	4.08717	0.186956	0
163	3.9995	0.188994	0
164	4.07268	0.187288	0
165	4.05055	0.187799	0
166	4.0629	0.187514	0
167	4.08237	0.187066	0
168	4.09196	0.186847	0
169	4.03045	0.188267	0
170	3.98633	0.189306	0
171	3.90054	0.191377	0
172	3.93183	0.190614	0
173	3.95673	0.190013	0
174	3.8889	0.191663	0
175	3.78743	0.194213	0
176	3.84404	0.192778	0
177	3.9402	0.190411	0
178	3.96217	0.189882	0
179	3.96217	0.189882	0
180	3.91773	0.190956	0
181	3.94573	0.190277	0
182	3.91773	0.190956	0
183	3.7612	0.194889	0
184	3.56349	0.200223	0
185	3.47019	0.202896	0
186	3.17805	0.212017	0
187	3.18399	0.211819	0
188	3.09752	0.214755	0
189	2.95194	0.219987	0
190	2.97405	0.219168	0
191	3.03081	0.217106	0
192	3.21888	0.210668	0
193	3.45676	0.20329	0
194	3.54302	0.2008	0
195	3.60705	0.19901	0
196	3.71705	0.196043	0
197	3.86222	0.192323	0
198	3.93742	0.190478	0
199	3.94296	0.190344	0
200	3.95124	0.190145	0
201	3.90054	0.191377	0
202	3.87418	0.192027	0
203	3.97567	0.18956	0
204	3.93742	0.190478	0
205	3.89764	0.191448	0
206	3.82864	0.193165	0
207	3.92057	0.190887	0
208	3.96488	0.189817	0
209	3.98101	0.189432	0
210	3.93183	0.190614	0
211	4.08717	0.186956	0
212	4.08957	0.186901	0
213	4.11087	0.186416	0
214	3.99427	0.189118	0
215	3.94573	0.190277	0
216	3.99163	0.18918	0
217	3.93183	0.190614	0
218	3.70657	0.19632	0
219	3.76783	0.194718	0
220	3.80029	0.193884	0
221	3.7612	0.194889	0
222	3.73426	0.195591	0
223	3.72398	0.195861	0
224	3.67087	0.197273	0
225	3.67087	0.197273	0
226	3.52636	0.201274	0
227	3.45676	0.20329	0
228	3.49216	0.202257	0
229	3.59926	0.199225	0
230	3.53474	0.201035	0
231	3.69955	0.196506	0
232	3.82864	0.193165	0
233	3.91202	0.191095	0
234	3.90341	0.191306	0
235	3.98101	0.189432	0
236	4.01252	0.188687	0
237	4.05797	0.187627	0
238	4.12019	0.186205	0
239	4.11788	0.186258	0
240	4.17659	0.184944	0
241	4.2687	0.182938	0
242	4.34751	0.181272	0
243	4.36219	0.180967	0
244	4.48703	0.178432	0
