Input	../Output/Countries/CYP.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	77
beta0	3.53743	error	0.0522119
beta1	-0.0457565	error	0.00155377

X	Y	Error	Weight
0	3.4012	0.204944	1
1	3.50942	0.201759	1
2	3.56349	0.200223	1
3	3.50083	0.202007	1
4	3.51366	0.201637	1
5	3.50083	0.202007	1
6	3.38198	0.205525	1
7	3.39162	0.205233	1
8	3.34741	0.206584	1
9	3.30112	0.208027	1
10	3.28519	0.208531	1
11	3.3373	0.206897	1
12	3.35738	0.206277	1
13	3.29584	0.208194	1
14	3.19577	0.211428	1
15	3.09752	0.214755	1
16	3.03081	0.217106	1
17	2.95194	0.219987	1
18	2.75455	0.227733	1
19	2.5427	0.23703	1
20	2.37155	0.245434	1
21	2.14838	0.257867	1
22	2.04304	0.264431	1
23	1.94591	0.27095	1
24	1.96613	0.269553	1
25	1.96613	0.269553	1
26	2.02433	0.265651	1
27	2.02433	0.265651	1
28	2.06141	0.263251	1
29	2.02433	0.265651	1
30	2.04304	0.264431	1
31	2.06141	0.263251	1
32	2.00539	0.266902	1
33	1.76764	0.284285	1
34	1.74292	0.286294	1
35	1.71758	0.288399	1
36	1.58042	0.300652	1
37	1.38629	0.321013	1
38	1.31211	0.329964	1
39	1.34989	0.325313	1
40	1.27285	0.335014	1
41	1.14518	0.353195	1
42	0.944295	0.388953	1
43	0.998424	0.378263	1
44	1.14518	0.353195	1
45	0.944295	0.388953	1
46	0.826804	0.415671	1
47	0.762207	0.432927	1
48	0.88748	0.40121	1
49	0.826804	0.415671	1
50	0.88748	0.40121	1
51	0.618962	0.480418	1
52	0.998424	0.378263	1
53	1.04977	0.368896	1
54	1.09861	0.360603	1
55	0.88748	0.40121	1
56	0.944295	0.388953	1
57	0.762207	0.432927	1
58	0.88748	0.40121	1
59	0.251537	0.753616	1
60	0.53883	0.514903	1
61	0.618962	0.480418	1
62	0.998424	0.378263	1
63	0.88748	0.40121	1
64	0.944295	0.388953	1
65	0.826804	0.415671	1
66	1.04977	0.368896	1
67	1.09861	0.360603	1
68	1.04977	0.368896	1
69	0.826804	0.415671	1
70	0.88748	0.40121	1
71	1.04977	0.368896	1
72	1.04977	0.368896	1
73	0.998424	0.378263	1
74	0.762207	0.432927	1
75	0.618962	0.480418	1
76	0.451712	0.562367	1
77	0.356975	0.632604	1
