Input	../Output/Countries/CZE.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	18
beta0	3.84847	error	0.0817157
beta1	0.113826	error	0.00736212

X	Y	Error	Weight
0	3.45676	0.20329	1
1	3.64134	0.198071	1
2	3.9262	0.19075	1
3	3.97567	0.18956	1
4	4.45102	0.179152	1
5	4.59367	0.176348	1
6	4.74618	0.173492	1
7	4.81913	0.172174	1
8	4.89784	0.170785	1
9	4.95984	0.169714	1
10	5.1358	0.166781	1
11	5.16967	0.166234	1
12	5.33064	0.163705	1
13	5.4541	0.161841	1
14	5.49071	0.161301	1
15	5.53	0.160727	1
16	5.61104	0.159562	1
17	5.57919	0.160017	1
18	5.62092	0.159422	1
19	5.55628	0.160346	0
20	5.57215	0.160118	0
21	5.53282	0.160686	0
22	5.56123	0.160275	0
23	5.49775	0.161198	0
24	5.55185	0.16041	0
25	5.49892	0.16118	0
26	5.45715	0.161796	0
27	5.2686	0.164666	0
28	5.30117	0.164159	0
29	5.17453	0.166156	0
30	5.05169	0.168164	0
31	4.86092	0.171432	0
32	4.81567	0.172236	0
33	4.75973	0.173245	0
34	4.70695	0.174213	0
35	4.68081	0.174699	0
36	4.78868	0.17272	0
37	4.88063	0.171085	0
38	4.87411	0.1712	0
39	4.67948	0.174724	0
40	4.63889	0.175487	0
41	4.66881	0.174923	0
42	4.54329	0.177323	0
43	4.35487	0.181119	0
44	4.20895	0.184232	0
45	4.15665	0.185387	0
46	4.25864	0.183154	0
47	4.19398	0.18456	0
48	4.05302	0.187742	0
49	3.98633	0.189306	0
50	3.97835	0.189496	0
51	4.02535	0.188386	0
52	4.03298	0.188208	0
53	3.90916	0.191165	0
54	3.88303	0.191808	0
55	3.88303	0.191808	0
56	3.8889	0.191663	0
57	3.93183	0.190614	0
58	3.83792	0.192931	0
59	3.74107	0.195413	0
60	3.8224	0.193323	0
61	3.85015	0.192625	0
62	3.9402	0.190411	0
63	3.91773	0.190956	0
64	4.07024	0.187345	0
65	4.10853	0.18647	0
66	4.16777	0.18514	0
67	4.05302	0.187742	0
68	4.0629	0.187514	0
69	4.12944	0.185997	0
70	4.22787	0.183819	0
71	4.08478	0.187011	0
72	4.05302	0.187742	0
73	3.95399	0.190079	0
74	4.00993	0.188748	0
75	4.00212	0.188932	0
76	3.88303	0.191808	0
77	3.80029	0.193884	0
78	3.75787	0.194976	0
79	3.80348	0.193803	0
80	3.91773	0.190956	0
81	3.92338	0.190819	0
82	3.86222	0.192323	0
83	3.87418	0.192027	0
84	3.9402	0.190411	0
85	4.03298	0.188208	0
