Input	../Output/Countries/DEU.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	18
beta0	3.83341	error	0.0766294
beta1	0.23954	error	0.00665448

X	Y	Error	Weight
0	3.51366	0.201637	1
1	4.13174	0.185945	1
2	4.48703	0.178432	1
3	4.63334	0.175592	1
4	4.86753	0.171315	1
5	4.9787	0.169392	1
6	5.19375	0.165848	1
7	5.46019	0.161751	1
8	5.42935	0.16221	1
9	6.06212	0.153511	1
10	6.29315	0.150667	1
11	6.52104	0.14801	1
12	6.76948	0.145269	1
13	7.01597	0.142694	1
14	7.30548	0.139838	1
15	7.54524	0.137599	1
16	7.74519	0.135811	1
17	7.83133	0.135062	1
18	7.91038	0.134385	1
19	8.04302	0.133273	0
20	8.12854	0.13257	0
21	8.18056	0.132148	0
22	8.31588	0.131068	0
23	8.39657	0.130437	0
24	8.53087	0.129406	0
25	8.57874	0.129044	0
26	8.59492	0.128923	0
27	8.62083	0.128729	0
28	8.66436	0.128405	0
29	8.6719	0.128349	0
30	8.6579	0.128453	0
31	8.60983	0.128811	0
32	8.60017	0.128884	0
33	8.55886	0.129194	0
34	8.54133	0.129327	0
35	8.52923	0.129418	0
36	8.47001	0.12987	0
37	8.39622	0.130439	0
38	8.32278	0.131014	0
39	8.2844	0.131317	0
40	8.24643	0.131619	0
41	8.12715	0.132581	0
42	8.0279	0.133398	0
43	7.93313	0.134193	0
44	7.91811	0.13432	0
45	7.87604	0.134678	0
46	7.81428	0.135209	0
47	7.79465	0.135379	0
48	7.79105	0.135411	0
49	7.72785	0.135963	0
50	7.69822	0.136225	0
51	7.57206	0.137355	0
52	7.53986	0.137648	0
53	7.49443	0.138064	0
54	7.42084	0.138747	0
55	7.41466	0.138805	0
56	7.34978	0.139416	0
57	7.25236	0.14035	0
58	7.1677	0.141176	0
59	7.09649	0.141883	0
60	7.02795	0.142573	0
61	6.96251	0.143241	0
62	6.92124	0.143668	0
63	6.85239	0.144388	0
64	6.82142	0.144715	0
65	6.83534	0.144568	0
66	6.8114	0.144821	0
67	6.78881	0.145062	0
68	6.82189	0.14471	0
69	6.78057	0.14515	0
70	6.74288	0.145555	0
71	6.58084	0.147337	0
72	6.49764	0.148277	0
73	6.44979	0.148826	0
74	6.4637	0.148666	0
75	6.34187	0.150087	0
76	6.48942	0.148371	0
77	6.43775	0.148965	0
78	6.47543	0.148531	0
79	6.4608	0.148699	0
80	6.40499	0.149345	0
81	6.33784	0.150134	0
82	6.36032	0.149869	0
83	6.19207	0.151891	0
84	6.07731	0.153319	0
85	6.11715	0.152819	0
