Input	../Output/Countries/DJI.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	8
beta0	3.9023	error	0.117345
beta1	0.0820869	error	0.024192

X	Y	Error	Weight
0	3.66356	0.197469	1
1	3.75787	0.194976	1
2	4.17659	0.184944	1
3	4.42056	0.179768	1
4	4.35487	0.181119	1
5	4.50298	0.178115	1
6	4.36037	0.181004	1
7	4.42056	0.179768	1
8	4.3438	0.181349	1
9	4.03298	0.188208	0
10	3.64134	0.198071	0
11	3.6745	0.197175	0
12	3.23025	0.210297	0
13	3.29584	0.208194	0
14	2.89829	0.222014	0
15	2.6888	0.2305	0
16	2.6888	0.2305	0
17	2.63906	0.232663	0
18	2.69847	0.230087	0
19	2.5427	0.23703	0
20	2.4485	0.241547	0
21	1.92527	0.272399	0
22	1.9042	0.273902	0
23	1.83832	0.278766	0
24	1.69175	0.290591	0
25	2.3979	0.244082	0
26	2.63906	0.232663	0
27	2.76361	0.227359	0
28	2.96677	0.219437	0
29	3.02388	0.217354	0
30	3.07135	0.215668	0
31	3.21314	0.210856	0
32	3.00993	0.217858	0
33	3.30637	0.207862	0
34	3.7274	0.195771	0
35	3.94573	0.190277	0
36	4.38203	0.180557	0
37	4.69135	0.174503	0
38	4.92207	0.170364	0
39	4.89891	0.170766	0
40	4.82143	0.172132	0
41	4.91055	0.170563	0
42	4.79933	0.172528	0
43	4.82143	0.172132	0
44	4.81913	0.172174	0
45	4.52179	0.177744	0
46	4.8828	0.171047	0
47	5.0425	0.168317	0
48	5.05807	0.168058	0
49	5.23264	0.165231	0
50	5.17534	0.166143	0
51	5.09287	0.167483	0
52	5.15164	0.166525	0
53	4.93653	0.170114	0
54	4.80285	0.172465	0
55	4.61795	0.175884	0
56	4.36764	0.180854	0
57	4.1363	0.185842	0
58	3.89473	0.191519	0
59	3.81615	0.193481	0
60	3.68888	0.19679	0
61	3.60705	0.19901	0
62	3.46126	0.203158	0
63	3.39162	0.205233	0
64	3.20157	0.211237	0
65	3.12298	0.213878	0
66	2.87435	0.222936	0
67	2.80765	0.225569	0
68	2.81625	0.225225	0
69	2.63906	0.232663	0
70	2.41081	0.243427	0
71	2.49675	0.239201	0
72	2.41081	0.243427	0
73	2.41081	0.243427	0
74	2.41081	0.243427	0
75	2.16493	0.256879	0
76	2.09716	0.260997	0
77	2.22851	0.253188	0
78	2.35811	0.246132	0
79	2.43615	0.242158	0
80	2.58671	0.235005	0
81	2.58671	0.235005	0
82	3.05805	0.216137	0
83	3.16607	0.212418	0
84	3.33221	0.207055	0
85	3.27446	0.208872	0
86	3.53474	0.201035	0
87	3.50083	0.202007	0
88	3.50083	0.202007	0
89	3.24704	0.209753	0
90	3.09752	0.214755	0
91	2.66924	0.231343	0
92	2.61842	0.233578	0
93	1.69175	0.290591	0
94	1.60944	0.29793	0
95	1.60944	0.29793	0
96	1.71758	0.288399	0
97	1.81531	0.280527	0
98	1.92527	0.272399	0
99	1.86082	0.277076	0
100	1.69175	0.290591	0
101	1.63764	0.295354	0
102	1.63764	0.295354	0
103	1.71758	0.288399	0
104	1.71758	0.288399	0
105	1.76764	0.284285	0
106	1.98595	0.268205	0
107	1.96613	0.269553	0
108	1.86082	0.277076	0
109	1.86082	0.277076	0
110	2.76361	0.227359	0
111	3.25258	0.209574	0
112	3.24704	0.209753	0
113	3.57153	0.199997	0
114	3.57153	0.199997	0
115	3.59143	0.199442	0
116	3.59143	0.199442	0
117	3.26358	0.20922	0
118	2.72694	0.228883	0
119	2.65928	0.231776	0
120	1.38629	0.321013	0
121	1.38629	0.321013	0
122	1.42142	0.317022	0
123	1.42142	0.317022	0
124	1.27285	0.335014	0
125	1.27285	0.335014	0
126	1.31211	0.329964	0
127	0.826804	0.415671	0
128	0.826804	0.415671	0
129	0.762207	0.432927	0
130	0.762207	0.432927	0
131	0.618962	0.480418	0
132	0.451712	0.562367	0
133	0.251537	0.753616	0
134	0.251537	0.753616	0
135	0.251537	0.753616	0
