Input	../Output/Countries/DOM.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	136
beta0	4.58778	error	0.0281399
beta1	0.0203065	error	0.000338354

X	Y	Error	Weight
0	3.50942	0.201759	1
1	3.7274	0.195771	1
2	3.97029	0.189688	1
3	4.17218	0.185042	1
4	4.28653	0.182557	1
5	4.46262	0.178919	1
6	4.54177	0.177353	1
7	4.54025	0.177383	1
8	4.73494	0.173698	1
9	4.84756	0.171668	1
10	4.84756	0.171668	1
11	4.86423	0.171374	1
12	4.69918	0.174357	1
13	4.8408	0.171788	1
14	4.88605	0.170991	1
15	4.79579	0.172592	1
16	4.7719	0.173024	1
17	4.93036	0.17022	1
18	5.08583	0.167598	1
19	5.20165	0.165722	1
20	5.16233	0.166352	1
21	5.25377	0.164898	1
22	5.24702	0.165004	1
23	5.36931	0.163114	1
24	5.30259	0.164137	1
25	5.3713	0.163084	1
26	5.41674	0.162399	1
27	5.50009	0.161163	1
28	5.54796	0.160466	1
29	5.52602	0.160785	1
30	5.4842	0.161397	1
31	5.54294	0.160539	1
32	5.44612	0.16196	1
33	5.42621	0.162257	1
34	5.33685	0.163609	1
35	5.24627	0.165016	1
36	5.27811	0.164517	1
37	5.26343	0.164747	1
38	5.31882	0.163887	1
39	5.39298	0.162756	1
40	5.46383	0.161697	1
41	5.56013	0.160291	1
42	5.62556	0.159356	1
43	5.68649	0.1585	1
44	5.72964	0.157902	1
45	5.71468	0.158108	1
46	5.69805	0.158339	1
47	5.79649	0.156989	1
48	5.83439	0.156478	1
49	5.8369	0.156444	1
50	5.84561	0.156328	1
51	5.83272	0.1565	1
52	5.7616	0.157463	1
53	5.82178	0.156647	1
54	5.76295	0.157445	1
55	5.63835	0.159175	1
56	5.69949	0.158319	1
57	5.8047	0.156878	1
58	5.78646	0.157125	1
59	5.81071	0.156796	1
60	5.77278	0.157311	1
61	5.79996	0.156942	1
62	5.87292	0.155964	1
63	5.81541	0.156733	1
64	5.67528	0.158656	1
65	5.771	0.157335	1
66	5.84189	0.156378	1
67	5.8948	0.155674	1
68	5.87252	0.155969	1
69	5.87172	0.15598	1
70	5.87774	0.1559	1
71	5.87333	0.155958	1
72	5.80212	0.156913	1
73	5.77322	0.157305	1
74	5.73979	0.157762	1
75	5.78909	0.157089	1
76	5.80125	0.156924	1
77	5.89951	0.155612	1
78	5.9413	0.155064	1
79	5.97997	0.154562	1
80	6.09904	0.153045	1
81	6.15577	0.152339	1
82	6.17883	0.152054	1
83	6.17438	0.152109	1
84	6.10766	0.152937	1
85	6.14694	0.152448	1
86	6.15486	0.15235	1
87	6.12749	0.15269	1
88	6.08026	0.153282	1
89	6.12687	0.152697	1
90	6.27422	0.150894	1
91	6.37259	0.149725	1
92	6.40876	0.149301	1
93	6.47168	0.148574	1
94	6.46503	0.14865	1
95	6.50856	0.148152	1
96	6.53897	0.147807	1
97	6.50856	0.148152	1
98	6.45385	0.148779	1
99	6.49483	0.148309	1
100	6.52125	0.148008	1
101	6.58242	0.147319	1
102	6.64528	0.14662	1
103	6.67834	0.146257	1
104	6.76223	0.145347	1
105	6.8043	0.144897	1
106	6.73034	0.145691	1
107	6.78656	0.145086	1
108	6.84785	0.144435	1
109	6.8739	0.144161	1
110	6.89771	0.143913	1
111	6.92293	0.14365	1
112	6.96035	0.143263	1
113	7.02554	0.142597	1
114	7.05161	0.142333	1
115	7.03539	0.142497	1
116	7.06574	0.142191	1
117	7.09067	0.141941	1
118	7.08087	0.142039	1
119	7.09601	0.141887	1
120	7.10097	0.141838	1
121	7.08674	0.14198	1
122	7.14475	0.141403	1
123	7.15506	0.141301	1
124	7.2001	0.140858	1
125	7.26972	0.140182	1
126	7.28423	0.140042	1
127	7.25367	0.140337	1
128	7.27823	0.1401	1
129	7.29399	0.139949	1
130	7.32005	0.139699	1
131	7.31503	0.139747	1
132	7.19562	0.140902	1
133	7.15473	0.141304	1
134	7.22413	0.140624	1
135	7.21082	0.140753	1
136	7.11605	0.141688	1
137	7.04876	0.142362	0
138	6.95831	0.143284	0
139	6.97528	0.14311	0
140	6.96089	0.143258	0
141	6.87862	0.144112	0
142	6.84345	0.144482	0
143	6.84861	0.144427	0
144	6.87568	0.144143	0
145	6.8739	0.144161	0
146	6.84542	0.144461	0
147	6.79251	0.145023	0
148	6.75843	0.145388	0
149	6.73731	0.145616	0
150	6.73272	0.145665	0
151	6.64435	0.146631	0
152	6.57448	0.147408	0
153	6.54124	0.147782	0
154	6.54514	0.147738	0
155	6.58991	0.147235	0
156	6.45024	0.148821	0
157	6.33657	0.150149	0
158	6.22116	0.151536	0
159	6.11589	0.152834	0
160	6.08678	0.1532	0
161	6.0955	0.15309	0
162	5.9778	0.15459	0
163	6.08352	0.15324	0
164	6.26067	0.151057	0
165	6.13711	0.15257	0
166	6.58004	0.147345	0
167	6.58952	0.147239	0
168	6.60723	0.147042	0
169	6.60123	0.147109	0
170	6.63144	0.146773	0
171	6.58853	0.14725	0
172	6.68515	0.146183	0
173	6.42417	0.149122	0
174	6.42672	0.149093	0
175	6.39978	0.149406	0
176	6.50343	0.148211	0
177	6.48442	0.148428	0
178	6.44799	0.148847	0
179	6.46592	0.14864	0
180	6.48964	0.148368	0
181	6.49419	0.148316	0
182	6.50365	0.148208	0
183	6.45834	0.148727	0
184	6.40073	0.149395	0
185	6.34463	0.150054	0
186	6.31381	0.15042	0
187	6.14265	0.152501	0
188	6.09228	0.15313	0
189	6.02068	0.154038	0
190	5.92921	0.155222	0
191	5.86687	0.156044	0
192	5.91966	0.155347	0
193	5.97454	0.154632	0
194	6.05007	0.153664	0
195	6.09131	0.153142	0
196	6.18208	0.152014	0
197	6.20629	0.151717	0
198	6.33277	0.150195	0
199	6.38351	0.149596	0
200	6.37454	0.149702	0
201	6.3699	0.149756	0
202	6.34739	0.150021	0
203	6.29395	0.150657	0
204	6.253	0.151149	0
205	6.2186	0.151567	0
206	6.12312	0.152744	0
207	6.05812	0.153561	0
208	6.03034	0.153915	0
209	6.01616	0.154096	0
210	6	0.154303	0
211	6.04872	0.153681	0
212	5.96834	0.154712	0
213	5.99396	0.154381	0
214	5.84685	0.156311	0
215	6.09099	0.153147	0
216	6.11873	0.152799	0
217	6.11747	0.152815	0
218	6.07206	0.153385	0
219	6.11621	0.15283	0
220	6.0737	0.153364	0
221	6.20282	0.15176	0
222	6.06046	0.153532	0
223	5.99325	0.15439	0
224	5.97272	0.154655	0
225	6.00565	0.154231	0
226	5.95805	0.154846	0
227	6.03034	0.153915	0
228	6.04973	0.153668	0
229	5.92769	0.155242	0
230	6.00916	0.154186	0
231	6.06445	0.153481	0
232	6.1506	0.152403	0
233	6.05611	0.153587	0
234	5.99574	0.154358	0
235	6.14173	0.152513	0
236	6.23721	0.151341	0
237	6.22654	0.15147	0
238	6.24278	0.151273	0
239	6.23329	0.151388	0
240	6.32077	0.150337	0
241	6.47631	0.148521	0
242	6.40405	0.149356	0
243	6.47587	0.148526	0
244	6.50643	0.148177	0
245	6.49354	0.148324	0
246	6.44663	0.148862	0
247	6.40617	0.149332	0
248	6.51767	0.148049	0
249	6.56988	0.147459	0
250	6.5476	0.14771	0
251	6.5838	0.147303	0
252	6.60259	0.147094	0
253	6.60877	0.147025	0
254	6.71988	0.145804	0
255	6.58853	0.14725	0
256	6.55169	0.147664	0
257	6.57168	0.147439	0
258	6.56728	0.147489	0
259	6.60084	0.147113	0
