Input	../Output/Countries/ECU.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	27
beta0	4.49137	error	0.0629514
beta1	0.0692999	error	0.00383143

X	Y	Error	Weight
0	3.91202	0.191095	1
1	4.2237	0.18391	1
2	4.68872	0.174552	1
3	4.90421	0.170674	1
4	4.98556	0.169275	1
5	5.022	0.16866	1
6	5.14749	0.166592	1
7	5.16723	0.166273	1
8	5.2372	0.165159	1
9	5.08848	0.167555	1
10	4.94266	0.170008	1
11	5.10854	0.167225	1
12	5.4161	0.162408	1
13	5.52716	0.160768	1
14	5.53452	0.160661	1
15	5.45776	0.161787	1
16	5.50533	0.161087	1
17	5.54126	0.160563	1
18	5.37197	0.163074	1
19	5.49365	0.161258	1
20	5.55074	0.160426	1
21	6.295	0.150644	1
22	6.29474	0.150648	1
23	6.30209	0.15056	1
24	6.2921	0.150679	1
25	6.31147	0.150448	1
26	6.18797	0.151942	1
27	6.14357	0.15249	1
28	5.21571	0.165499	0
29	5.53	0.160727	0
30	5.65599	0.158927	0
31	5.91697	0.155382	0
32	5.98968	0.154436	0
33	6.05779	0.153566	0
34	6.04636	0.153711	0
35	7.61993	0.136923	0
36	7.57902	0.137292	0
37	7.54592	0.137593	0
38	7.53537	0.137689	0
39	7.59085	0.137185	0
40	7.58832	0.137208	0
41	7.58296	0.137256	0
42	6.24749	0.151216	0
43	6.51894	0.148034	0
44	6.88156	0.144081	0
45	7.11836	0.141664	0
46	6.99301	0.142928	0
47	6.93676	0.143507	0
48	6.64156	0.146661	0
49	5.87091	0.155991	0
50	5.43621	0.162107	0
51	1.09861	0.360603	0
