Input	../Output/Countries/EGY.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	87
beta0	3.68711	error	0.0375771
beta1	0.0451354	error	0.000687704

X	Y	Error	Weight
0	3.43399	0.203963	1
1	3.42936	0.204101	1
2	3.38198	0.205525	1
3	3.61477	0.198797	1
4	3.53056	0.201154	1
5	3.57954	0.199773	1
6	3.696	0.196601	1
7	3.696	0.196601	1
8	3.72398	0.195861	1
9	3.78419	0.194296	1
10	3.83175	0.193087	1
11	3.96759	0.189753	1
12	4.16111	0.185288	1
13	4.25662	0.183197	1
14	4.38914	0.18041	1
15	4.55538	0.177088	1
16	4.66074	0.175075	1
17	4.71466	0.174071	1
18	4.78032	0.172871	1
19	4.74988	0.173424	1
20	4.82143	0.172132	1
21	4.84756	0.171668	1
22	4.82028	0.172153	1
23	4.85648	0.17151	1
24	4.90527	0.170655	1
25	4.9355	0.170132	1
26	5.01063	0.168851	1
27	5.05077	0.168179	1
28	5.03788	0.168394	1
29	5.0955	0.167439	1
30	5.09287	0.167483	1
31	5.10508	0.167282	1
32	5.15906	0.166405	1
33	5.18339	0.166014	1
34	5.21416	0.165523	1
35	5.29115	0.164315	1
36	5.33272	0.163673	1
37	5.40139	0.162629	1
38	5.43746	0.162089	1
39	5.46019	0.161751	1
40	5.55129	0.160418	1
41	5.58992	0.159863	1
42	5.61988	0.159436	1
43	5.67037	0.158725	1
44	5.73149	0.157876	1
45	5.80341	0.156895	1
46	5.85548	0.156196	1
47	5.91002	0.155474	1
48	5.98105	0.154548	1
49	6.03855	0.15381	1
50	6.03787	0.153819	1
51	6.02379	0.153998	1
52	6.00671	0.154217	1
53	6.00846	0.154195	1
54	5.97417	0.154637	1
55	5.97526	0.154622	1
56	6.00177	0.154281	1
57	6.06644	0.153456	1
58	6.18297	0.152003	1
59	6.29632	0.150629	1
60	6.39072	0.149512	1
61	6.47873	0.148493	1
62	6.52921	0.147918	1
63	6.57846	0.147363	1
64	6.61108	0.146999	1
65	6.62425	0.146853	1
66	6.65507	0.146512	1
67	6.71798	0.145825	1
68	6.80176	0.144924	1
69	6.89857	0.143904	1
70	7.00566	0.142799	1
71	7.0921	0.141927	1
72	7.13432	0.141506	1
73	7.15339	0.141317	1
74	7.15618	0.14129	1
75	7.16273	0.141225	1
76	7.17702	0.141084	1
77	7.16946	0.141159	1
78	7.16571	0.141196	1
79	7.19111	0.140946	1
80	7.23077	0.140559	1
81	7.26032	0.140273	1
82	7.28306	0.140054	1
83	7.30057	0.139885	1
84	7.31503	0.139747	1
85	7.34555	0.139457	1
86	7.36219	0.139299	1
87	7.35381	0.139378	1
88	7.33312	0.139575	0
89	7.35134	0.139402	0
90	7.33935	0.139515	0
91	7.326	0.139643	0
92	7.31512	0.139746	0
93	7.29253	0.139963	0
94	7.29806	0.13991	0
95	7.33143	0.139591	0
96	7.3174	0.139724	0
97	7.2808	0.140075	0
98	7.25992	0.140277	0
99	7.25892	0.140286	0
100	7.28129	0.140071	0
101	7.28941	0.139992	0
102	7.28119	0.140072	0
103	7.26002	0.140276	0
104	7.27557	0.140126	0
105	7.27091	0.140171	0
106	7.20976	0.140764	0
107	7.15551	0.141296	0
108	7.10073	0.14184	0
109	7.03565	0.142495	0
110	6.97994	0.143062	0
111	6.92517	0.143627	0
112	6.88126	0.144084	0
113	6.87568	0.144143	0
114	6.85661	0.144343	0
115	6.83963	0.144522	0
116	6.83626	0.144558	0
117	6.79267	0.145021	0
118	6.75594	0.145415	0
119	6.70319	0.145986	0
120	6.64843	0.146586	0
121	6.60045	0.147117	0
122	6.55149	0.147666	0
123	6.49699	0.148284	0
124	6.48747	0.148393	0
125	6.44595	0.14887	0
126	6.41743	0.149201	0
127	6.36794	0.149779	0
128	6.31484	0.150408	0
129	6.24583	0.151236	0
130	6.16901	0.152175	0
131	6.06246	0.153506	0
132	5.96725	0.154726	0
133	5.84603	0.156322	0
134	5.73103	0.157883	0
135	5.55241	0.160402	0
136	5.3799	0.162954	0
137	5.18419	0.166001	0
138	5.02857	0.16855	0
139	4.95984	0.169714	0
140	4.97081	0.169526	0
141	4.98751	0.169242	0
142	5.04065	0.168348	0
143	5.04619	0.168255	0
144	5.05898	0.168043	0
145	5.03231	0.168487	0
146	4.98361	0.169309	0
147	4.9447	0.169973	0
148	4.8828	0.171047	0
149	4.87738	0.171142	0
150	4.9116	0.170545	0
151	4.8752	0.171181	0
152	4.88712	0.170972	0
153	4.85759	0.171491	0
154	4.81682	0.172215	0
155	4.84306	0.171748	0
156	4.81797	0.172194	0
157	4.86863	0.171296	0
158	4.99818	0.169062	0
159	5.09024	0.167526	0
160	5.19296	0.165861	0
161	5.28899	0.164348	0
162	5.34096	0.163546	0
163	5.36464	0.163185	0
164	5.33685	0.163609	0
165	5.27153	0.16462	0
166	5.2219	0.1654	0
167	5.15659	0.166445	0
168	5.08936	0.16754	0
169	5.05898	0.168043	0
170	5.0689	0.167878	0
171	5.07785	0.16773	0
172	5.08583	0.167598	0
173	5.08052	0.167686	0
174	5.09638	0.167425	0
175	5.09812	0.167396	0
176	5.08936	0.16754	0
177	5.068	0.167893	0
178	5.05442	0.168118	0
179	5.0425	0.168317	0
180	5.02388	0.168629	0
181	5.00491	0.168948	0
182	4.96783	0.169577	0
183	4.92518	0.17031	0
184	4.87192	0.171238	0
185	4.82831	0.17201	0
186	4.82488	0.172071	0
187	4.80285	0.172465	0
188	4.78272	0.172828	0
189	4.76947	0.173068	0
190	4.75605	0.173312	0
191	4.76947	0.173068	0
192	4.76704	0.173112	0
193	4.74369	0.173537	0
194	4.78868	0.17272	0
195	4.7863	0.172763	0
196	4.79106	0.172677	0
197	4.77069	0.173046	0
198	4.76704	0.173112	0
199	4.78391	0.172806	0
200	4.7863	0.172763	0
201	4.73369	0.173721	0
202	4.75359	0.173356	0
203	4.77912	0.172893	0
204	4.81913	0.172174	0
205	4.83968	0.171808	0
206	4.83401	0.171908	0
207	4.8306	0.171969	0
208	4.85315	0.171569	0
209	4.86753	0.171315	0
210	4.86533	0.171354	0
211	4.85538	0.17153	0
212	4.87629	0.171162	0
213	4.92932	0.170238	0
214	4.98848	0.169226	0
215	5.03044	0.168519	0
216	5.05716	0.168073	0
217	5.0716	0.167833	0
218	5.11026	0.167197	0
219	5.12056	0.167029	0
220	5.09899	0.167382	0
221	5.10074	0.167353	0
222	5.09812	0.167396	0
223	5.10854	0.167225	0
224	5.14083	0.1667	0
225	5.15906	0.166405	0
226	5.18098	0.166052	0
227	5.22344	0.165376	0
228	5.24023	0.165111	0
229	5.28248	0.164449	0
230	5.3033	0.164126	0
231	5.3437	0.163505	0
232	5.36531	0.163175	0
233	5.38842	0.162825	0
234	5.40139	0.162629	0
235	5.40973	0.162504	0
236	5.40973	0.162504	0
237	5.42243	0.162313	0
238	5.41037	0.162494	0
239	5.42369	0.162294	0
240	5.45043	0.161896	0
241	5.51112	0.161002	0
242	5.58242	0.15997	0
243	5.65449	0.158948	0
244	5.7175	0.158069	0
245	5.77721	0.15725	0
246	5.82558	0.156596	0
247	5.86119	0.15612	0
248	5.87573	0.155926	0
249	5.8861	0.155789	0
250	5.88372	0.155821	0
251	5.88093	0.155858	0
252	5.88372	0.155821	0
253	5.89007	0.155737	0
254	5.90224	0.155576	0
255	5.92387	0.155292	0
256	5.94803	0.154976	0
257	5.97381	0.154641	0
258	6.00248	0.154272	0
259	6.02345	0.154003	0
260	6.03889	0.153806	0
