Input	../Output/Countries/ESP.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	11
beta0	3.56762	error	0.0988024
beta1	0.33866	error	0.013927

X	Y	Error	Weight
0	3.55125	0.200567	1
1	3.96217	0.189882	1
2	4.17439	0.184993	1
3	4.43252	0.179525	1
4	4.91371	0.170509	1
5	5.38711	0.162844	1
6	5.68212	0.158561	1
7	5.66395	0.158815	1
8	6.53711	0.147829	1
9	6.73527	0.145638	1
10	6.92546	0.143624	1
11	7.14441	0.141406	1
12	7.26972	0.140182	0
13	7.41569	0.138795	0
14	7.71461	0.13608	0
15	7.68169	0.136371	0
16	7.90539	0.134428	0
17	8.00494	0.133589	0
18	8.18845	0.132084	0
19	8.29893	0.131202	0
20	8.53433	0.12938	0
21	8.64629	0.128539	0
22	8.77535	0.127591	0
23	8.83015	0.127194	0
24	8.90035	0.126691	0
25	8.92873	0.12649	0
26	8.98788	0.126073	0
27	8.96193	0.126255	0
28	8.95598	0.126297	0
29	8.94115	0.126402	0
30	8.93087	0.126475	0
31	8.90413	0.126665	0
32	8.84791	0.127066	0
33	8.7909	0.127478	0
34	8.74835	0.127787	0
35	8.67924	0.128295	0
36	8.6273	0.128681	0
37	8.56894	0.129118	0
38	8.52247	0.12947	0
39	8.47112	0.129862	0
40	8.38281	0.130544	0
41	8.34366	0.13085	0
42	8.41898	0.130263	0
43	8.44511	0.130061	0
44	8.31871	0.131046	0
45	8.42266	0.130235	0
46	8.36674	0.130669	0
47	8.41617	0.130285	0
48	8.38757	0.130507	0
49	8.29676	0.131219	0
50	7.45926	0.13839	0
51	7.61361	0.13698	0
52	7.15461	0.141305	0
53	7.18701	0.140986	0
54	6.84816	0.144432	0
55	6.47213	0.148569	0
56	4.07268	0.187288	0
57	7.46541	0.138332	0
58	7.32994	0.139605	0
59	7.24749	0.140397	0
60	7.10731	0.141775	0
61	7.10848	0.141763	0
62	6.96441	0.143222	0
63	7.04279	0.142423	0
64	6.99537	0.142904	0
65	6.90718	0.143814	0
66	6.89105	0.143982	0
67	7.20521	0.140808	0
68	7.12528	0.141596	0
69	7.08602	0.141987	0
70	7.05284	0.142321	0
71	6.95327	0.143336	0
72	6.92475	0.143631	0
73	6.80999	0.144836	0
74	6.38976	0.149523	0
75	6.34989	0.149992	0
76	6.31355	0.150423	0
77	6.21375	0.151626	0
78	6.49678	0.148287	0
79	6.48616	0.148408	0
80	6.58597	0.147279	0
81	6.29527	0.150641	0
82	6.40215	0.149378	0
83	6.27126	0.150929	0
84	6.54473	0.147742	0
85	6.28093	0.150813	0
86	6.33252	0.150198	0
87	6.27207	0.15092	0
88	6.40594	0.149334	0
89	6.26285	0.151031	0
90	6.36475	0.149817	0
91	5.9749	0.154627	0
92	5.84313	0.156361	0
93	5.69518	0.158379	0
94	5.68988	0.158453	0
95	5.69373	0.158399	0
96	5.67185	0.158704	0
97	5.63172	0.159269	0
98	5.67822	0.158615	0
99	5.76429	0.157427	0
100	5.79258	0.157042	0
101	5.8281	0.156562	0
102	5.83397	0.156484	0
103	5.82135	0.156653	0
104	5.83856	0.156422	0
105	5.90224	0.155576	0
106	5.82305	0.15663	0
107	5.809	0.15682	0
108	5.8137	0.156756	0
109	5.83523	0.156467	0
110	5.84727	0.156306	0
111	5.83856	0.156422	0
112	5.75845	0.157506	0
113	5.80771	0.156837	0
114	5.89046	0.155731	0
115	5.87734	0.155905	0
116	5.86444	0.156077	0
117	5.88571	0.155794	0
118	5.90692	0.155514	0
119	5.92387	0.155292	0
120	5.93262	0.155177	0
121	5.69229	0.158419	0
122	5.53564	0.160645	0
123	5.99823	0.154326	0
124	6.01232	0.154145	0
125	6.01057	0.154168	0
126	6.04467	0.153732	0
127	6.17468	0.152105	0
128	6.17468	0.152105	0
129	6.17468	0.152105	0
130	6.38832	0.14954	0
131	6.46348	0.148668	0
132	6.56747	0.147486	0
133	6.71953	0.145808	0
134	6.80983	0.144838	0
135	6.80983	0.144838	0
136	6.80983	0.144838	0
137	7.14598	0.14139	0
138	7.221	0.140654	0
139	7.27011	0.140178	0
140	7.38762	0.139059	0
141	7.46049	0.138378	0
142	7.46049	0.138378	0
143	7.46049	0.138378	0
144	7.59704	0.137129	0
145	7.63018	0.136831	0
146	7.67588	0.136423	0
147	7.68734	0.136321	0
148	7.74073	0.13585	0
149	7.74073	0.13585	0
150	7.74073	0.13585	0
151	7.86721	0.134754	0
152	8.06212	0.133115	0
153	8.1028	0.13278	0
154	8.15745	0.132335	0
155	8.21377	0.13188	0
156	8.21377	0.13188	0
157	8.21377	0.13188	0
158	8.21709	0.131854	0
159	8.13145	0.132546	0
160	8.14061	0.132472	0
161	8.27527	0.131389	0
162	8.31003	0.131114	0
163	8.31003	0.131114	0
164	8.31003	0.131114	0
165	8.54819	0.129275	0
166	8.58842	0.128972	0
167	8.67744	0.128308	0
