Input	../Output/Countries/EST.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	23
beta0	3.25138	error	0.0806189
beta1	0.0393188	error	0.00581249

X	Y	Error	Weight
0	3.4154	0.204517	1
1	3.54302	0.2008	1
2	3.57954	0.199773	1
3	3.37222	0.205823	1
4	3.30637	0.207862	1
5	3.09752	0.214755	1
6	3.04452	0.216616	1
7	3.02388	0.217354	1
8	3.03769	0.21686	1
9	3.6562	0.197668	1
10	3.73084	0.195681	1
11	3.8801	0.19188	1
12	3.92057	0.190887	1
13	3.94849	0.190211	1
14	3.98367	0.189369	1
15	3.98101	0.189432	1
16	3.8224	0.193323	1
17	4.00993	0.188748	1
18	4.03045	0.188267	1
19	4.08957	0.186901	1
20	4.0279	0.188327	1
21	4.0555	0.187685	1
22	4.06044	0.18757	1
23	3.90916	0.191165	1
24	3.74783	0.195236	0
25	3.63382	0.198276	0
26	3.41069	0.204659	0
27	3.46574	0.203027	0
28	3.46574	0.203027	0
29	3.42472	0.204239	0
30	3.47905	0.202638	0
31	3.35738	0.206277	0
32	3.39162	0.205233	0
33	3.44317	0.203691	0
34	3.3673	0.205973	0
35	3.24146	0.209933	0
36	3.12298	0.213878	0
37	3.11667	0.214095	0
38	3.03769	0.21686	0
39	2.86625	0.223251	0
40	2.79905	0.225915	0
41	2.77259	0.226991	0
42	2.73625	0.228493	0
43	2.72694	0.228883	0
44	2.62879	0.233116	0
45	2.5427	0.23703	0
46	2.21299	0.254075	0
47	2.09716	0.260997	0
48	2.07944	0.262106	0
49	1.98595	0.268205	0
50	1.9042	0.273902	0
51	1.48817	0.30983	0
52	1.48817	0.30983	0
53	1.58042	0.300652	0
54	1.71758	0.288399	0
55	1.69175	0.290591	0
56	1.60944	0.29793	0
57	1.69175	0.290591	0
58	1.69175	0.290591	0
59	1.76764	0.284285	0
60	1.66506	0.292911	0
61	1.60944	0.29793	0
62	1.81531	0.280527	0
63	1.86082	0.277076	0
64	1.81531	0.280527	0
65	1.79176	0.282365	0
66	1.76764	0.284285	0
67	1.98595	0.268205	0
68	1.94591	0.27095	0
69	1.74292	0.286294	0
70	1.81531	0.280527	0
71	1.88267	0.275464	0
72	1.98595	0.268205	0
73	2.00539	0.266902	0
74	1.83832	0.278766	0
75	1.88267	0.275464	0
76	1.88267	0.275464	0
77	1.63764	0.295354	0
78	1.74292	0.286294	0
79	1.71758	0.288399	0
80	1.98595	0.268205	0
81	2.24379	0.252325	0
82	2.30259	0.249082	0
83	2.30259	0.249082	0
84	2.3979	0.244082	0
85	2.41081	0.243427	0
86	2.37155	0.245434	0
87	2.14838	0.257867	0
88	1.79176	0.282365	0
89	1.58042	0.300652	0
90	1.58042	0.300652	0
91	1.38629	0.321013	0
92	0.998424	0.378263	0
93	0.53883	0.514903	0
94	0.251537	0.753616	0
95	0.133656	1.03385	0
96	0.133656	1.03385	0
