Input	../Output/Countries/ETH.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	33
beta0	4.10436	error	0.061291
beta1	0.041988	error	0.00308698

X	Y	Error	Weight
0	3.63382	0.198276	1
1	3.76783	0.194718	1
2	3.8712	0.1921	1
3	3.8889	0.191663	1
4	4.12251	0.186153	1
5	4.33636	0.181505	1
6	4.39797	0.180229	1
7	4.43422	0.179491	1
8	4.45435	0.179085	1
9	4.52023	0.177775	1
10	4.68081	0.174699	1
11	4.74493	0.173515	1
12	4.78391	0.172806	1
13	4.82374	0.172091	1
14	4.79697	0.172571	1
15	4.85538	0.17153	1
16	4.95381	0.169817	1
17	4.98165	0.169342	1
18	4.99528	0.169111	1
19	5.0662	0.167923	1
20	5.17048	0.166221	1
21	5.24326	0.165063	1
22	5.273	0.164597	1
23	5.21958	0.165437	1
24	5.18739	0.16595	1
25	5.21183	0.16556	1
26	5.10595	0.167268	1
27	5.22652	0.165327	1
28	5.13327	0.166822	1
29	5.09463	0.167454	1
30	5.15906	0.166405	1
31	5.20479	0.165672	1
32	5.16152	0.166365	1
33	5.26564	0.164712	1
34	5.05807	0.168058	0
35	5.10768	0.16724	0
36	5.1299	0.166877	0
37	4.95984	0.169714	0
38	4.75359	0.173356	0
39	4.56286	0.176943	0
40	4.09673	0.186738	0
41	3.6745	0.197175	0
42	3.11036	0.214312	0
