Input	../Output/Countries/FIN.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	30
beta0	3.5641	error	0.0673485
beta1	0.0523313	error	0.00368948

X	Y	Error	Weight
0	3.4012	0.204944	1
1	3.45224	0.203423	1
2	3.56349	0.200223	1
3	3.69245	0.196695	1
4	3.6781	0.197079	1
5	3.88597	0.191735	1
6	3.74107	0.195413	1
7	3.75117	0.195149	1
8	3.9995	0.188994	1
9	4.10147	0.18663	1
10	4.20895	0.184232	1
11	4.35304	0.181157	1
12	4.37845	0.18063	1
13	4.43591	0.179457	1
14	4.52179	0.177744	1
15	4.47408	0.178689	1
16	4.53414	0.177502	1
17	4.49345	0.178304	1
18	4.39268	0.180338	1
19	4.38203	0.180557	1
20	4.40672	0.18005	1
21	4.62637	0.175724	1
22	4.58643	0.176487	1
23	4.76826	0.17309	1
24	4.84531	0.171708	1
25	5.00202	0.168997	1
26	5.04527	0.168271	1
27	5.10508	0.167282	1
28	4.98459	0.169292	1
29	5.00777	0.1689	1
30	4.84306	0.171748	1
31	4.80285	0.172465	0
32	4.67416	0.174823	0
33	4.69266	0.174478	0
34	4.63334	0.175592	0
35	4.70824	0.174189	0
36	4.74988	0.173424	0
37	4.74369	0.173537	0
38	4.80285	0.172465	0
39	4.84756	0.171668	0
40	4.87301	0.171219	0
41	4.86313	0.171393	0
42	4.73118	0.173767	0
43	4.72992	0.17379	0
44	4.7719	0.173024	0
45	4.64164	0.175435	0
46	4.70953	0.174166	0
47	4.62076	0.175831	0
48	4.54025	0.177383	0
49	4.6066	0.176101	0
50	4.57324	0.176742	0
51	4.50298	0.178115	0
52	4.56435	0.176914	0
53	4.55688	0.177059	0
54	4.57324	0.176742	0
55	4.58643	0.176487	0
56	4.61086	0.176019	0
57	4.61653	0.175911	0
58	4.54177	0.177353	0
59	4.43591	0.179457	0
60	4.22995	0.183774	0
61	4.21108	0.184185	0
62	4.2485	0.183372	0
63	4.06044	0.18757	0
64	4.00733	0.188809	0
65	4.0355	0.188149	0
66	4.0355	0.188149	0
67	4.01766	0.188566	0
68	3.90629	0.191236	0
69	3.78743	0.194213	0
70	3.696	0.196601	0
71	3.50083	0.202007	0
72	3.44317	0.203691	0
73	3.4878	0.202383	0
74	3.57153	0.199997	0
75	3.57554	0.199885	0
76	3.53056	0.201154	0
77	3.60705	0.19901	0
78	3.68888	0.19679	0
79	3.71008	0.196227	0
80	3.61092	0.198903	0
81	3.44317	0.203691	0
82	3.17805	0.212017	0
83	3.16002	0.212621	0
84	2.98133	0.2189	0
85	2.85813	0.223568	0
86	2.80765	0.225569	0
87	2.98133	0.2189	0
88	2.91393	0.221417	0
89	3.08452	0.215207	0
90	2.93688	0.22055	0
91	2.86625	0.223251	0
92	2.86625	0.223251	0
93	2.72694	0.228883	0
94	2.52003	0.238094	0
95	2.3979	0.244082	0
96	2.06141	0.263251	0
97	2.14838	0.257867	0
98	2.06141	0.263251	0
99	1.71758	0.288399	0
100	1.63764	0.295354	0
101	1.81531	0.280527	0
102	1.96613	0.269553	0
103	2.02433	0.265651	0
104	2.11457	0.25992	0
105	2.07944	0.262106	0
106	2.06141	0.263251	0
107	2.22851	0.253188	0
108	2.13168	0.258875	0
109	2.28818	0.249865	0
110	2.28818	0.249865	0
111	1.98595	0.268205	0
112	1.96613	0.269553	0
113	2.06141	0.263251	0
114	1.92527	0.272399	0
115	1.92527	0.272399	0
116	1.42142	0.317022	0
117	1.51973	0.306597	0
118	1.66506	0.292911	0
119	1.81531	0.280527	0
120	1.76764	0.284285	0
121	1.69175	0.290591	0
122	1.71758	0.288399	0
123	1.48817	0.30983	0
124	1.04977	0.368896	0
125	1.14518	0.353195	0
126	1.34989	0.325313	0
127	1.76764	0.284285	0
128	1.86082	0.277076	0
129	1.96613	0.269553	0
130	2.24379	0.252325	0
131	2.42356	0.242786	0
132	2.42356	0.242786	0
133	2.30259	0.249082	0
134	2.11457	0.25992	0
135	2.11457	0.25992	0
136	2.02433	0.265651	0
137	2.00539	0.266902	0
138	1.98595	0.268205	0
139	2.00539	0.266902	0
140	2.06141	0.263251	0
141	2.14838	0.257867	0
142	2.27357	0.250667	0
143	2.42356	0.242786	0
144	2.63906	0.232663	0
145	2.74541	0.228112	0
146	2.85813	0.223568	0
147	2.8824	0.222625	0
148	2.92927	0.220837	0
149	2.95938	0.21971	0
150	2.99573	0.218373	0
151	2.9216	0.221126	0
152	3.07135	0.215668	0
153	3.03769	0.21686	0
154	3.07796	0.215437	0
155	3.04452	0.216616	0
156	3.07135	0.215668	0
157	3.08452	0.215207	0
158	3.14785	0.213031	0
159	3.12298	0.213878	0
160	3.19577	0.211428	0
161	3.27982	0.208702	0
162	3.29584	0.208194	0
163	3.27982	0.208702	0
164	3.37711	0.205674	0
165	3.3373	0.206897	0
166	3.23025	0.210297	0
167	3.19577	0.211428	0
168	3.01695	0.217604	0
169	3.11036	0.214312	0
170	3.05131	0.216375	0
171	3.13549	0.213451	0
172	3.12298	0.213878	0
173	3.25258	0.209574	0
174	3.26358	0.20922	0
175	3.41069	0.204659	0
176	3.42005	0.204378	0
177	3.5389	0.200917	0
178	3.32708	0.207214	0
179	3.64881	0.197868	0
180	3.64881	0.197868	0
181	3.71357	0.196135	0
182	3.74446	0.195324	0
183	3.72052	0.195952	0
184	3.75787	0.194976	0
185	4.0151	0.188626	0
186	3.8224	0.193323	0
187	3.85319	0.192549	0
188	3.90054	0.191377	0
189	3.95399	0.190079	0
190	4.04556	0.187915	0
191	4.09196	0.186847	0
192	4.20683	0.184278	0
193	4.34195	0.181388	0
194	4.41712	0.179838	0
195	4.49345	0.178304	0
196	4.53872	0.177413	0
197	4.60803	0.176073	0
198	4.60087	0.17621	0
199	4.60087	0.17621	0
200	4.61086	0.176019	0
201	4.63889	0.175487	0
202	4.6874	0.174576	0
203	4.75605	0.173312	0
204	4.80636	0.172402	0
205	4.91998	0.1704	0
206	4.99818	0.169062	0
207	5.01728	0.16874	0
208	5.17857	0.166091	0
209	5.25152	0.164933	0
210	5.33891	0.163578	0
