Input	../Output/Countries/FRA.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	19
beta0	4.11754	error	0.0744321
beta1	0.192858	error	0.00620615

X	Y	Error	Weight
0	3.6525	0.197768	1
1	3.8889	0.191663	1
2	4.44935	0.179186	1
3	4.80986	0.17234	1
4	4.96783	0.169577	1
5	4.98946	0.169209	1
6	5.42558	0.162266	1
7	5.65749	0.158906	1
8	5.61052	0.159569	1
9	6.06876	0.153427	1
10	6.22513	0.151488	1
11	6.18444	0.151985	1
12	6.66003	0.146458	1
13	6.74035	0.145583	1
14	6.88332	0.144063	1
15	7.12252	0.141623	1
16	7.16759	0.141177	1
17	7.26112	0.140265	1
18	7.42237	0.138733	1
19	7.56008	0.137464	1
20	7.66368	0.136531	0
21	7.76375	0.135649	0
22	7.88399	0.13461	0
23	7.98927	0.13372	0
24	8.12487	0.1326	0
25	8.15909	0.132321	0
26	8.1826	0.132131	0
27	8.36985	0.130645	0
28	8.43223	0.130161	0
29	8.37556	0.1306	0
30	8.42131	0.130245	0
31	8.40849	0.130344	0
32	8.38624	0.130517	0
33	8.36879	0.130653	0
34	8.23278	0.131728	0
35	8.19297	0.132048	0
36	8.27374	0.131401	0
37	8.24035	0.131667	0
38	8.19514	0.13203	0
39	8.87985	0.126838	0
40	8.87489	0.126873	0
41	8.89762	0.126711	0
42	8.88437	0.126805	0
43	9.03444	0.125748	0
44	8.99336	0.126035	0
45	8.93634	0.126436	0
46	8.40543	0.130368	0
47	8.36301	0.130698	0
48	8.28699	0.131296	0
49	8.07068	0.133044	0
50	7.46557	0.138331	0
51	7.43569	0.138609	0
52	7.56882	0.137384	0
53	7.18203	0.141035	0
54	7.31987	0.139701	0
55	7.34923	0.139422	0
56	7.3192	0.139707	0
57	7.15862	0.141266	0
58	6.95695	0.143298	0
59	6.88959	0.143997	0
60	6.8647	0.144258	0
61	6.24832	0.151206	0
62	5.45288	0.161859	0
63	7.00059	0.142851	0
64	6.99249	0.142934	0
65	7.14756	0.141375	0
66	7.07375	0.14211	0
67	7.06219	0.142227	0
68	7.03678	0.142483	0
69	6.99812	0.142876	0
70	6.33809	0.150132	0
71	6.36696	0.149791	0
72	6.19382	0.15187	0
73	6.00846	0.154195	0
74	5.91697	0.155382	0
75	5.87973	0.155873	0
76	5.91118	0.155458	0
77	6.21917	0.15156	0
78	6.04602	0.153715	0
79	5.96395	0.154769	0
80	6.08157	0.153265	0
81	6.06578	0.153464	0
82	6.06578	0.153464	0
83	5.61104	0.159562	0
84	5.25302	0.16491	0
85	6.4464	0.148865	0
86	6.48114	0.148465	0
87	6.76323	0.145336	0
88	6.80239	0.144917	0
89	6.79938	0.144949	0
90	6.70843	0.145929	0
91	6.73612	0.145628	0
92	6.16692	0.152201	0
93	6.18238	0.15201	0
94	5.72218	0.158005	0
95	5.7616	0.157463	0
96	5.70235	0.158279	0
97	6.14572	0.152463	0
98	6.20311	0.151756	0
99	6.09904	0.153045	0
100	6.13556	0.152589	0
101	6.11904	0.152795	0
102	6.13896	0.152547	0
103	6.12061	0.152775	0
104	6.1016	0.153013	0
105	6.07337	0.153368	0
106	6.0871	0.153195	0
107	6.114	0.152858	0
108	6.14969	0.152414	0
109	6.11147	0.15289	0
110	6.17913	0.15205	0
111	6.22907	0.15144	0
112	6.11684	0.152823	0
113	5.95768	0.15485	0
114	6.21003	0.151672	0
115	6.00671	0.154217	0
116	5.57161	0.160126	0
117	6.21831	0.15157	0
118	6.22513	0.151488	0
119	6.43752	0.148968	0
120	6.57786	0.14737	0
121	6.35487	0.149933	0
122	6.35487	0.149933	0
123	6.51915	0.148032	0
124	6.36672	0.149794	0
125	6.35039	0.149986	0
126	6.09034	0.153155	0
127	6.27449	0.15089	0
128	6.295	0.150644	0
129	6.295	0.150644	0
130	6.295	0.150644	0
131	6.35883	0.149886	0
132	6.23385	0.151382	0
133	6.46503	0.14865	0
134	6.28253	0.150794	0
135	6.32998	0.150228	0
136	6.32998	0.150228	0
137	6.32998	0.150228	0
138	6.43958	0.148944	0
139	6.56466	0.147518	0
140	6.57866	0.147361	0
141	6.67834	0.146257	0
142	6.72897	0.145706	0
143	6.72965	0.145698	0
144	6.72965	0.145698	0
145	6.80699	0.144868	0
146	6.82902	0.144634	0
147	6.66149	0.146442	0
148	6.72005	0.145802	0
149	6.96333	0.143233	0
150	6.96292	0.143237	0
151	6.96292	0.143237	0
152	6.54	0.147796	0
153	6.97661	0.143096	0
154	6.97661	0.143096	0
155	7.14124	0.141437	0
156	7.26543	0.140223	0
157	7.26543	0.140223	0
158	7.26832	0.140195	0
159	7.61163	0.136997	0
160	7.33945	0.139515	0
161	7.70346	0.136178	0
162	7.5102	0.137919	0
163	7.6324	0.136811	0
164	7.83863	0.134999	0
165	7.83699	0.135013	0
166	7.80582	0.135282	0
167	7.80553	0.135285	0
168	7.48324	0.138168	0
169	7.4826	0.138173	0
170	8.06666	0.133077	0
171	8.07966	0.13297	0
172	8.27581	0.131385	0
173	8.21535	0.131868	0
174	8.34175	0.130865	0
175	8.51261	0.129545	0
176	8.67422	0.128332	0
177	8.45796	0.129963	0
178	8.34233	0.13086	0
179	8.52726	0.129433	0
180	8.56113	0.129177	0
181	8.60117	0.128876	0
182	8.64284	0.128565	0
183	8.66893	0.128371	0
184	8.70711	0.12809	0
185	8.70711	0.12809	0
186	8.4104	0.130329	0
187	8.83695	0.127145	0
188	8.86886	0.126916	0
189	8.91754	0.126569	0
190	8.95125	0.126331	0
191	8.9623	0.126253	0
192	8.97902	0.126135	0
193	8.98048	0.126125	0
194	9.03422	0.125749	0
195	9.0593	0.125575	0
196	9.06576	0.12553	0
197	9.08935	0.125367	0
198	9.14437	0.12499	0
199	9.1332	0.125066	0
200	9.13193	0.125075	0
201	9.22426	0.124447	0
202	9.25566	0.124236	0
203	9.12986	0.125089	0
204	9.36885	0.123483	0
205	9.4045	0.123249	0
206	9.40261	0.123261	0
207	9.40284	0.12326	0
208	9.35789	0.123556	0
209	9.37913	0.123415	0
210	9.52176	0.122488	0
211	9.35255	0.123591	0
212	9.30578	0.123901	0
213	9.30636	0.123897	0
214	9.30612	0.123899	0
215	9.41978	0.123149	0
216	9.41287	0.123194	0
217	9.45689	0.122907	0
218	9.51275	0.122546	0
219	9.5966	0.122009	0
220	9.59585	0.122014	0
221	9.59585	0.122014	0
222	9.67863	0.121491	0
223	9.77013	0.120921	0
224	9.80424	0.12071	0
225	9.89842	0.120135	0
226	9.93102	0.119937	0
227	9.93102	0.119937	0
228	9.93102	0.119937	0
229	10.1352	0.118723	0
230	10.1267	0.118773	0
231	10.1548	0.118609	0
232	10.2141	0.118264	0
233	10.3009	0.117764	0
234	10.301	0.117764	0
235	10.3013	0.117762	0
236	10.5111	0.116581	0
237	10.5638	0.116289	0
238	10.5961	0.116112	0
239	10.6174	0.115996	0
240	10.641	0.115867	0
241	10.7549	0.115252	0
242	10.8868	0.114552	0
243	10.6752	0.115681	0
244	10.6819	0.115645	0
245	10.7014	0.115539	0
246	10.7337	0.115366	0
247	10.7681	0.115181	0
248	10.6558	0.115787	0
249	10.8919	0.114525	0
250	10.801	0.115006	0
251	10.7589	0.11523	0
252	10.7413	0.115325	0
253	10.6628	0.115749	0
254	10.5318	0.116466	0
255	10.647	0.115834	0
256	10.2414	0.118106	0
257	10.1836	0.11844	0
258	10.3027	0.117754	0
259	10.2651	0.117969	0
260	10.2034	0.118326	0
261	10.1993	0.118349	0
262	10.1196	0.118814	0
263	10.0352	0.119313	0
264	10.003	0.119505	0
265	9.74049	0.121105	0
266	9.62676	0.121818	0
267	9.5513	0.122298	0
268	9.43766	0.123032	0
269	9.37786	0.123424	0
270	9.33625	0.123699	0
271	9.33081	0.123735	0
272	9.30625	0.123898	0
273	9.28623	0.124031	0
274	9.27578	0.124101	0
275	9.25905	0.124213	0
276	9.2637	0.124182	0
277	9.28033	0.124071	0
278	9.26803	0.124153	0
