Input	../Output/Countries/GAB.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	55
beta0	4.21789	error	0.0482152
beta1	0.00851786	error	0.00149286

X	Y	Error	Weight
0	3.48342	0.202511	1
1	3.89473	0.191519	1
2	3.84098	0.192855	1
3	3.84098	0.192855	1
4	4.12944	0.185997	1
5	4.19827	0.184466	1
6	4.46262	0.178919	1
7	4.45102	0.179152	1
8	4.43252	0.179525	1
9	4.54481	0.177294	1
10	4.54481	0.177294	1
11	4.49981	0.178178	1
12	4.514	0.177898	1
13	4.38737	0.180447	1
14	4.19182	0.184608	1
15	4.306	0.182144	1
16	4.47408	0.178689	1
17	4.47408	0.178689	1
18	4.60945	0.176046	1
19	4.65532	0.175177	1
20	4.67683	0.174773	1
21	4.81567	0.172236	1
22	4.83968	0.171808	1
23	4.63473	0.175565	1
24	4.63473	0.175565	1
25	4.30792	0.182103	1
26	4.39091	0.180374	1
27	4.42228	0.179733	1
28	4.31558	0.181941	1
29	4.2444	0.183461	1
30	4.1544	0.185437	1
31	4.1544	0.185437	1
32	4.1544	0.185437	1
33	4.14992	0.185537	1
34	4.21318	0.184139	1
35	4.28456	0.182599	1
36	3.94573	0.190277	1
37	3.94573	0.190277	1
38	3.94573	0.190277	1
39	4.89142	0.170897	1
40	4.81913	0.172174	1
41	4.80402	0.172444	1
42	4.8306	0.171969	1
43	4.92622	0.170292	1
44	4.92622	0.170292	1
45	4.92622	0.170292	1
46	4.6137	0.175965	1
47	4.65396	0.175202	1
48	4.64302	0.175409	1
49	4.67015	0.174898	1
50	4.71466	0.174071	1
51	4.71466	0.174071	1
52	4.71466	0.174071	1
53	4.53872	0.177413	1
54	4.35487	0.181119	1
55	4.37665	0.180668	1
56	4.10853	0.18647	0
57	4.07268	0.187288	0
58	4.07268	0.187288	0
59	4.07268	0.187288	0
60	3.90916	0.191165	0
61	3.90916	0.191165	0
62	3.93463	0.190546	0
63	3.93463	0.190546	0
64	3.82864	0.193165	0
65	3.82864	0.193165	0
66	3.82864	0.193165	0
67	3.69955	0.196506	0
68	3.69955	0.196506	0
69	3.57554	0.199885	0
70	3.57554	0.199885	0
71	3.97567	0.18956	0
72	3.97567	0.18956	0
73	3.97567	0.18956	0
74	4.0629	0.187514	0
75	4.0629	0.187514	0
76	4.20041	0.184419	0
77	4.20041	0.184419	0
78	4.55987	0.177001	0
79	4.55987	0.177001	0
80	4.55987	0.177001	0
81	4.68213	0.174674	0
82	4.68213	0.174674	0
83	4.69266	0.174478	0
84	4.69266	0.174478	0
85	3.96217	0.189882	0
86	4.35854	0.181042	0
87	4.35854	0.181042	0
88	4.17878	0.184896	0
89	4.17878	0.184896	0
90	4.12944	0.185997	0
91	4.12944	0.185997	0
92	4.40147	0.180157	0
93	4.02535	0.188386	0
94	4.02535	0.188386	0
95	3.9402	0.190411	0
96	3.9402	0.190411	0
97	3.72398	0.195861	0
98	3.72398	0.195861	0
99	3.76452	0.194803	0
100	3.76452	0.194803	0
101	3.76452	0.194803	0
102	3.63003	0.198379	0
103	3.63003	0.198379	0
104	3.54302	0.2008	0
105	3.54302	0.2008	0
106	3.14785	0.213031	0
107	3.14785	0.213031	0
108	3.14785	0.213031	0
109	2.98856	0.218635	0
110	2.98856	0.218635	0
111	3.05805	0.216137	0
112	3.05805	0.216137	0
113	2.81625	0.225225	0
114	2.81625	0.225225	0
115	2.81625	0.225225	0
116	2.87435	0.222936	0
117	2.87435	0.222936	0
118	2.30259	0.249082	0
119	2.30259	0.249082	0
120	2.61842	0.233578	0
121	2.61842	0.233578	0
122	2.61842	0.233578	0
123	2.37155	0.245434	0
124	2.37155	0.245434	0
125	2.47292	0.240351	0
126	2.47292	0.240351	0
127	1.79176	0.282365	0
128	1.79176	0.282365	0
129	1.79176	0.282365	0
130	1.88267	0.275464	0
131	1.88267	0.275464	0
132	2.09716	0.260997	0
133	2.09716	0.260997	0
134	2.02433	0.265651	0
135	2.02433	0.265651	0
136	2.02433	0.265651	0
137	1.96613	0.269553	0
138	1.96613	0.269553	0
139	1.69175	0.290591	0
140	1.69175	0.290591	0
141	1.51973	0.306597	0
142	1.51973	0.306597	0
143	1.51973	0.306597	0
144	1.23227	0.340485	0
145	1.92527	0.272399	0
146	1.96613	0.269553	0
147	1.96613	0.269553	0
148	2.28818	0.249865	0
149	2.28818	0.249865	0
150	2.28818	0.249865	0
151	2.43615	0.242158	0
152	2.07944	0.262106	0
153	1.94591	0.27095	0
154	1.94591	0.27095	0
155	1.69175	0.290591	0
156	1.69175	0.290591	0
157	1.69175	0.290591	0
158	2.00539	0.266902	0
159	2.00539	0.266902	0
160	2.04304	0.264431	0
161	2.04304	0.264431	0
162	1.88267	0.275464	0
163	1.88267	0.275464	0
164	1.88267	0.275464	0
165	1.23227	0.340485	0
166	1.23227	0.340485	0
167	1.51973	0.306597	0
168	1.51973	0.306597	0
169	1.69175	0.290591	0
170	1.69175	0.290591	0
171	1.69175	0.290591	0
172	2.02433	0.265651	0
173	2.02433	0.265651	0
174	2.07944	0.262106	0
175	2.07944	0.262106	0
176	1.94591	0.27095	0
177	1.94591	0.27095	0
178	1.94591	0.27095	0
179	1.9042	0.273902	0
180	1.9042	0.273902	0
181	1.92527	0.272399	0
182	1.92527	0.272399	0
183	2.04304	0.264431	0
184	2.04304	0.264431	0
185	2.04304	0.264431	0
186	1.86082	0.277076	0
187	1.86082	0.277076	0
188	1.81531	0.280527	0
189	1.81531	0.280527	0
190	1.74292	0.286294	0
191	1.74292	0.286294	0
192	1.74292	0.286294	0
193	2.06141	0.263251	0
194	2.06141	0.263251	0
195	1.63764	0.295354	0
196	2.27357	0.250667	0
197	2.28818	0.249865	0
198	2.28818	0.249865	0
199	2.28818	0.249865	0
200	2.24379	0.252325	0
201	2.24379	0.252325	0
202	2.5427	0.23703	0
203	2.09716	0.260997	0
204	2.14838	0.257867	0
205	2.14838	0.257867	0
206	2.14838	0.257867	0
207	2.21299	0.254075	0
208	2.21299	0.254075	0
209	2.24379	0.252325	0
210	2.24379	0.252325	0
211	2.19722	0.254984	0
212	2.19722	0.254984	0
213	2.19722	0.254984	0
214	2.21299	0.254075	0
