Input	../Output/Countries/GMB.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	27
beta0	3.47669	error	0.0723358
beta1	0.0556348	error	0.00440286

X	Y	Error	Weight
0	3.42005	0.204378	1
1	3.42005	0.204378	1
2	3.24704	0.209753	1
3	3.50514	0.201882	1
4	3.696	0.196601	1
5	3.45224	0.203423	1
6	3.45224	0.203423	1
7	3.20157	0.211237	1
8	3.89764	0.191448	1
9	4.21318	0.184139	1
10	4.33073	0.181623	1
11	4.43759	0.179423	1
12	4.43759	0.179423	1
13	4.65668	0.175151	1
14	4.65668	0.175151	1
15	4.56881	0.176827	1
16	4.57324	0.176742	1
17	4.48542	0.178464	1
18	4.33261	0.181583	1
19	4.44935	0.179186	1
20	4.51086	0.17796	1
21	4.51086	0.17796	1
22	4.70048	0.174333	1
23	4.75236	0.173379	1
24	4.79342	0.172635	1
25	4.75605	0.173312	1
26	4.67149	0.174873	1
27	4.75482	0.173334	1
28	4.62357	0.175777	0
29	4.39973	0.180193	0
30	4.09434	0.186792	0
31	3.8889	0.191663	0
32	3.9402	0.190411	0
33	4.18097	0.184847	0
34	3.6817	0.196982	0
35	3.98898	0.189243	0
36	3.89182	0.191591	0
37	3.93742	0.190478	0
38	3.93463	0.190546	0
39	3.83175	0.193087	0
40	3.59537	0.199333	0
41	3.50942	0.201759	0
42	3.50942	0.201759	0
43	3.55943	0.200337	0
44	3.47463	0.202767	0
45	3.4878	0.202383	0
46	3.54302	0.2008	0
47	3.47463	0.202767	0
48	3.39162	0.205233	0
49	3.39162	0.205233	0
50	3.08452	0.215207	0
51	3.04452	0.216616	0
52	3.01695	0.217604	0
53	2.86625	0.223251	0
54	2.90614	0.221714	0
55	2.8499	0.223891	0
56	2.8499	0.223891	0
57	2.77259	0.226991	0
58	2.67903	0.23092	0
59	2.42356	0.242786	0
60	2.30259	0.249082	0
61	1.98595	0.268205	0
62	1.81531	0.280527	0
63	1.81531	0.280527	0
64	1.71758	0.288399	0
65	1.66506	0.292911	0
66	1.51973	0.306597	0
67	1.45535	0.313305	0
68	1.60944	0.29793	0
69	1.27285	0.335014	0
70	1.27285	0.335014	0
71	1.58042	0.300652	0
72	1.58042	0.300652	0
73	1.55054	0.303536	0
74	1.63764	0.295354	0
75	1.69175	0.290591	0
76	1.69175	0.290591	0
77	1.79176	0.282365	0
78	1.18967	0.346527	0
79	1.42142	0.317022	0
80	1.34989	0.325313	0
81	1.38629	0.321013	0
82	1.09861	0.360603	0
83	0.88748	0.40121	0
84	0.618962	0.480418	0
85	0.998424	0.378263	0
86	0.762207	0.432927	0
87	0.762207	0.432927	0
88	0.356975	0.632604	0
89	0.356975	0.632604	0
90	0.451712	0.562367	0
91	0.826804	0.415671	0
92	0.451712	0.562367	0
93	0.251537	0.753616	0
