Input	../Output/Countries/GNB.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	55
beta0	4.03004	error	0.0528212
beta1	-0.0363344	error	0.0018061

X	Y	Error	Weight
0	3.88303	0.191808	1
1	3.88303	0.191808	1
2	3.6525	0.197768	1
3	3.93742	0.190478	1
4	3.87418	0.192027	1
5	4.00473	0.188871	1
6	4.20469	0.184325	1
7	3.90629	0.191236	1
8	4.0629	0.187514	1
9	3.94296	0.190344	1
10	3.90916	0.191165	1
11	3.81927	0.193402	1
12	3.8471	0.192701	1
13	3.63003	0.198379	1
14	3.6562	0.197668	1
15	3.43859	0.203827	1
16	3.58748	0.199552	1
17	3.33221	0.207055	1
18	3.35738	0.206277	1
19	3.03081	0.217106	1
20	2.87435	0.222936	1
21	3.03769	0.21686	1
22	2.99573	0.218373	1
23	2.71754	0.229278	1
24	2.50846	0.238642	1
25	3.00993	0.217858	1
26	3.00993	0.217858	1
27	3.00993	0.217858	1
28	3.13549	0.213451	1
29	3.13549	0.213451	1
30	3.02388	0.217354	1
31	3.02388	0.217354	1
32	2.77259	0.226991	1
33	2.77259	0.226991	1
34	2.77259	0.226991	1
35	1.96613	0.269553	1
36	1.96613	0.269553	1
37	1.96613	0.269553	1
38	1.96613	0.269553	1
39	2.57589	0.235498	1
40	2.57589	0.235498	1
41	2.57589	0.235498	1
42	2.6888	0.2305	1
43	2.6888	0.2305	1
44	2.6888	0.2305	1
45	2.6888	0.2305	1
46	2.4485	0.241547	1
47	2.4485	0.241547	1
48	2.4485	0.241547	1
49	2.21299	0.254075	1
50	2.21299	0.254075	1
51	2.21299	0.254075	1
52	2.21299	0.254075	1
53	2.34459	0.246841	1
54	2.34459	0.246841	1
55	2.34459	0.246841	1
56	2.63906	0.232663	0
57	2.63906	0.232663	0
58	2.63906	0.232663	0
59	2.63906	0.232663	0
60	3.07135	0.215668	0
61	3.07135	0.215668	0
62	3.07135	0.215668	0
63	2.96677	0.219437	0
64	2.96677	0.219437	0
65	2.96677	0.219437	0
66	2.96677	0.219437	0
67	2.3979	0.244082	0
68	2.3979	0.244082	0
69	2.3979	0.244082	0
70	2.00539	0.266902	0
71	2.00539	0.266902	0
72	2.00539	0.266902	0
73	2.77259	0.226991	0
74	2.49675	0.239201	0
75	2.72694	0.228883	0
76	2.72694	0.228883	0
77	2.72694	0.228883	0
78	2.77259	0.226991	0
79	2.77259	0.226991	0
80	2.00539	0.266902	0
81	1.34989	0.325313	0
