Input	../Output/Countries/GUY.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	109
beta0	3.86622	error	0.0369132
beta1	-0.00166167	error	0.000589697

X	Y	Error	Weight
0	3.42472	0.204239	1
1	3.50083	0.202007	1
2	3.57954	0.199773	1
3	3.55943	0.200337	1
4	3.8224	0.193323	1
5	3.83175	0.193087	1
6	3.813	0.193561	1
7	3.73767	0.195502	1
8	3.75453	0.195062	1
9	3.61092	0.198903	1
10	3.6853	0.196886	1
11	3.6781	0.197079	1
12	3.80029	0.193884	1
13	3.72052	0.195952	1
14	3.61862	0.198692	1
15	3.45224	0.203423	1
16	3.67087	0.197273	1
17	3.50942	0.201759	1
18	3.59143	0.199442	1
19	3.53474	0.201035	1
20	3.82553	0.193244	1
21	3.90916	0.191165	1
22	3.94573	0.190277	1
23	3.92057	0.190887	1
24	4.00733	0.188809	1
25	3.83484	0.193009	1
26	3.89764	0.191448	1
27	3.59537	0.199333	1
28	3.6781	0.197079	1
29	3.8801	0.19188	1
30	3.92902	0.190682	1
31	4.08478	0.187011	1
32	4.30406	0.182185	1
33	4.2258	0.183864	1
34	4.41194	0.179944	1
35	4.36764	0.180854	1
36	4.46262	0.178919	1
37	4.37665	0.180668	1
38	4.27468	0.18281	1
39	4.00733	0.188809	1
40	4.06781	0.1874	1
41	3.93742	0.190478	1
42	3.91202	0.191095	1
43	3.61092	0.198903	1
44	3.54714	0.200683	1
45	3.82553	0.193244	1
46	4.04806	0.187857	1
47	3.8889	0.191663	1
48	4.04054	0.188032	1
49	4.04556	0.187915	1
50	4.02023	0.188506	1
51	4.13403	0.185893	1
52	3.98367	0.189369	1
53	3.86222	0.192323	1
54	3.98633	0.189306	1
55	3.74783	0.195236	1
56	3.7274	0.195771	1
57	3.80348	0.193803	1
58	3.77439	0.194548	1
59	3.63382	0.198276	1
60	3.55125	0.200567	1
61	3.49651	0.202131	1
62	3.61862	0.198692	1
63	3.60316	0.199117	1
64	3.71705	0.196043	1
65	3.70305	0.196413	1
66	3.72052	0.195952	1
67	3.61862	0.198692	1
68	3.63382	0.198276	1
69	3.46574	0.203027	1
70	3.45224	0.203423	1
71	3.26358	0.20922	1
72	3.17805	0.212017	1
73	3.27446	0.208872	1
74	3.41069	0.204659	1
75	3.26904	0.209046	1
76	3.57554	0.199885	1
77	3.74107	0.195413	1
78	3.80348	0.193803	1
79	3.82864	0.193165	1
80	3.77767	0.194464	1
81	3.71008	0.196227	1
82	3.70657	0.19632	1
83	3.73767	0.195502	1
84	3.64881	0.197868	1
85	3.64134	0.198071	1
86	3.79067	0.19413	1
87	3.78743	0.194213	1
88	3.91202	0.191095	1
89	3.9402	0.190411	1
90	3.74446	0.195324	1
91	3.80348	0.193803	1
92	3.69245	0.196695	1
93	3.75453	0.195062	1
94	3.79067	0.19413	1
95	3.68888	0.19679	1
96	3.75453	0.195062	1
97	3.82864	0.193165	1
98	3.75787	0.194976	1
99	3.77439	0.194548	1
100	3.55535	0.200452	1
101	3.54714	0.200683	1
102	3.58352	0.199662	1
103	3.50942	0.201759	1
104	3.4154	0.204517	1
105	3.58352	0.199662	1
106	3.7274	0.195771	1
107	3.75453	0.195062	1
108	3.72052	0.195952	1
109	3.7274	0.195771	1
