Input	../Output/Countries/HND.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	71
beta0	4.0108	error	0.0407341
beta1	0.0406207	error	0.000928568

X	Y	Error	Weight
0	3.48342	0.202511	1
1	3.58352	0.199662	1
2	3.4154	0.204517	1
3	4.00212	0.188932	1
4	4.11322	0.186363	1
5	4.30213	0.182226	1
6	4.39621	0.180265	1
7	4.6375	0.175513	1
8	4.87192	0.171238	1
9	4.92829	0.170256	1
10	4.7634	0.173178	1
11	4.8752	0.171181	1
12	4.88063	0.171085	1
13	4.75112	0.173402	1
14	4.73118	0.173767	1
15	4.50457	0.178084	1
16	4.58934	0.176431	1
17	4.65396	0.175202	1
18	4.56732	0.176856	1
19	4.60231	0.176183	1
20	4.82831	0.17201	1
21	4.60517	0.176128	1
22	4.8408	0.171788	1
23	4.9787	0.169392	1
24	4.86973	0.171277	1
25	5.22728	0.165315	1
26	5.29187	0.164303	1
27	5.33064	0.163705	1
28	5.48361	0.161405	1
29	5.39881	0.162668	1
30	5.20479	0.165672	1
31	5.44242	0.162015	1
32	5.18659	0.165963	1
33	5.12141	0.167015	1
34	5.08052	0.167686	1
35	5.01063	0.168851	1
36	5.08229	0.167657	1
37	5.15988	0.166392	1
38	5.02105	0.168676	1
39	5.07963	0.167701	1
40	5.04619	0.168255	1
41	5.30402	0.164115	1
42	5.47467	0.161537	1
43	5.5435	0.160531	1
44	5.73241	0.157864	1
45	5.79475	0.157012	1
46	5.89046	0.155731	1
47	5.96541	0.15475	1
48	5.96284	0.154783	1
49	6.03991	0.153793	1
50	6.08352	0.15324	1
51	6.1016	0.153013	1
52	6.31018	0.150463	1
53	6.32564	0.150279	1
54	6.39168	0.149501	1
55	6.41743	0.149201	1
56	6.41393	0.149241	1
57	6.49375	0.148321	1
58	6.51704	0.148056	1
59	6.50962	0.14814	1
60	6.632	0.146767	1
61	6.65966	0.146462	1
62	6.68729	0.146159	1
63	6.70073	0.146012	1
64	6.71174	0.145893	1
65	6.77373	0.145224	1
66	6.73917	0.145595	1
67	6.73017	0.145693	1
68	6.72777	0.145719	1
69	6.7317	0.145676	1
70	6.70511	0.145965	1
71	6.62274	0.14687	1
72	6.5586	0.147586	0
73	6.50129	0.148235	0
74	6.38423	0.149588	0
75	6.32641	0.15027	0
76	6.26422	0.151014	0
77	6.36254	0.149843	0
78	6.46214	0.148684	0
79	6.5077	0.148162	0
