Input	../Output/Countries/HTI.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	196
beta0	5.03463	error	0.0266304
beta1	-0.0174472	error	0.000272238

X	Y	Error	Weight
0	3.66722	0.197371	1
1	3.83484	0.193009	1
2	3.83484	0.193009	1
3	3.94573	0.190277	1
4	4.18749	0.184703	1
5	4.27269	0.182852	1
6	4.28261	0.18264	1
7	4.06781	0.1874	1
8	4.10617	0.186523	1
9	4.51712	0.177836	1
10	4.63889	0.175487	1
11	4.42741	0.179629	1
12	4.70308	0.174285	1
13	4.96184	0.16968	1
14	5.19216	0.165873	1
15	5.19929	0.16576	1
16	5.01254	0.168819	1
17	5.13327	0.166822	1
18	5.23947	0.165123	1
19	5.10681	0.167254	1
20	5.14999	0.166551	1
21	5.15247	0.166511	1
22	5.2334	0.165219	1
23	5.32371	0.163811	1
24	5.21571	0.165499	1
25	5.22498	0.165352	1
26	5.145	0.166632	1
27	5.05077	0.168179	1
28	4.77672	0.172936	1
29	4.85981	0.171451	1
30	4.83968	0.171808	1
31	4.84756	0.171668	1
32	4.93653	0.170114	1
33	5.00011	0.169029	1
34	4.86973	0.171277	1
35	4.86973	0.171277	1
36	4.70048	0.174333	1
37	4.70953	0.174166	1
38	4.66209	0.175049	1
39	4.49503	0.178273	1
40	4.66344	0.175024	1
41	4.60517	0.176128	1
42	4.60517	0.176128	1
43	4.63612	0.175539	1
44	4.5326	0.177532	1
45	4.46919	0.178787	1
46	4.37845	0.18063	1
47	4.28456	0.182599	1
48	4.30213	0.182226	1
49	4.37486	0.180704	1
50	4.1363	0.185842	1
51	4.17878	0.184896	1
52	4.1544	0.185437	1
53	4.00733	0.188809	1
54	4.01252	0.188687	1
55	4.0355	0.188149	1
56	4.03045	0.188267	1
57	3.92902	0.190682	1
58	3.74107	0.195413	1
59	3.89764	0.191448	1
60	4.18966	0.184655	1
61	3.93463	0.190546	1
62	3.94849	0.190211	1
63	3.84098	0.192855	1
64	3.84098	0.192855	1
65	3.97567	0.18956	1
66	3.8712	0.1921	1
67	3.57153	0.199997	1
68	3.70657	0.19632	1
69	3.55125	0.200567	1
70	3.62245	0.198587	1
71	3.71357	0.196135	1
72	3.53474	0.201035	1
73	3.40595	0.204801	1
74	3.42472	0.204239	1
75	3.15397	0.212825	1
76	3.19577	0.211428	1
77	3.08452	0.215207	1
78	3.19577	0.211428	1
79	3.19577	0.211428	1
80	3.16607	0.212418	1
81	3.1899	0.211623	1
82	3.21888	0.210668	1
83	3.01695	0.217604	1
84	3.16607	0.212418	1
85	2.86625	0.223251	1
86	2.98133	0.2189	1
87	3.34741	0.206584	1
88	3.34741	0.206584	1
89	3.40595	0.204801	1
90	3.44773	0.203556	1
