Input	../Output/Countries/HUN.dat
Flat	no	Result	f(y)~beta0+beta1*y
Regression	asymptotic	c	2	Include	left
Range	0	33
beta0	3.69956	error	0.0648827
beta1	0.0295282	error	0.00329065

X	Y	Error	Weight
0	3.42472	0.204239	1
1	3.53474	0.201035	1
2	3.6781	0.197079	1
3	3.68888	0.19679	1
4	3.77439	0.194548	1
5	3.75453	0.195062	1
6	3.83484	0.193009	1
7	3.83175	0.193087	1
8	3.86822	0.192174	1
9	3.83792	0.192931	1
10	3.74783	0.195236	1
11	3.83792	0.192931	1
12	3.96759	0.189753	1
13	4.03298	0.188208	1
14	4.39445	0.180301	1
15	4.50298	0.178115	1
16	4.57176	0.17677	1
17	4.62497	0.17575	1
18	4.598	0.176265	1
19	4.58204	0.176572	1
20	4.56435	0.176914	1
21	4.40497	0.180086	1
22	4.31558	0.181941	1
23	4.28063	0.182683	1
24	4.31939	0.181861	1
25	4.42741	0.179629	1
26	4.43252	0.179525	1
27	4.50298	0.178115	1
28	4.57618	0.176685	1
29	4.46591	0.178853	1
30	4.424	0.179698	1
31	4.44935	0.179186	1
32	4.36582	0.180891	1
33	4.38024	0.180594	1
34	4.25054	0.183328	0
35	4.09434	0.186792	0
36	4.2667	0.182981	0
37	4.26469	0.183024	0
38	4.16777	0.18514	0
39	4.08478	0.187011	0
40	4.00473	0.188871	0
41	3.98101	0.189432	0
42	3.80666	0.193722	0
43	3.6562	0.197668	0
44	3.63382	0.198276	0
45	3.57153	0.199997	0
46	3.56753	0.200109	0
47	3.49216	0.202257	0
48	3.49216	0.202257	0
49	3.53056	0.201154	0
50	3.61477	0.198797	0
51	3.55943	0.200337	0
52	3.57954	0.199773	0
53	3.54714	0.200683	0
54	3.60316	0.199117	0
55	3.61862	0.198692	0
56	3.61862	0.198692	0
57	3.53474	0.201035	0
58	3.50083	0.202007	0
59	3.45224	0.203423	0
60	3.42472	0.204239	0
61	3.32708	0.207214	0
62	3.21888	0.210668	0
63	3.14785	0.213031	0
64	3.09104	0.21498	0
65	2.95938	0.21971	0
66	2.96677	0.219437	0
67	3.06474	0.215901	0
68	2.98133	0.2189	0
69	2.98133	0.2189	0
70	2.91393	0.221417	0
71	2.86625	0.223251	0
72	2.93688	0.22055	0
73	2.85813	0.223568	0
74	2.61842	0.233578	0
75	2.61842	0.233578	0
76	2.49675	0.239201	0
77	2.47292	0.240351	0
78	2.35811	0.246132	0
79	2.16493	0.256879	0
80	2.18121	0.255919	0
81	2.14838	0.257867	0
82	1.98595	0.268205	0
83	1.74292	0.286294	0
84	1.38629	0.321013	0
85	1.14518	0.353195	0
86	1.27285	0.335014	0
87	1.31211	0.329964	0
88	1.45535	0.313305	0
89	1.63764	0.295354	0
90	1.83832	0.278766	0
91	1.88267	0.275464	0
92	2.00539	0.266902	0
93	1.92527	0.272399	0
94	1.81531	0.280527	0
95	1.92527	0.272399	0
96	1.81531	0.280527	0
97	1.81531	0.280527	0
98	1.86082	0.277076	0
99	1.63764	0.295354	0
100	1.76764	0.284285	0
101	1.83832	0.278766	0
102	1.96613	0.269553	0
103	2.02433	0.265651	0
104	2.04304	0.264431	0
105	1.98595	0.268205	0
106	2.06141	0.263251	0
107	1.98595	0.268205	0
108	2.11457	0.25992	0
109	2.02433	0.265651	0
110	2.02433	0.265651	0
111	2.13168	0.258875	0
112	2.30259	0.249082	0
113	2.50846	0.238642	0
114	2.64922	0.232216	0
115	2.57589	0.235498	0
116	2.5427	0.23703	0
117	2.6888	0.2305	0
118	2.66924	0.231343	0
119	2.70805	0.22968	0
120	2.74541	0.228112	0
121	2.67903	0.23092	0
122	2.74541	0.228112	0
123	2.74541	0.228112	0
124	2.64922	0.232216	0
125	2.69847	0.230087	0
126	2.72694	0.228883	0
127	2.67903	0.23092	0
128	2.65928	0.231776	0
129	2.61842	0.233578	0
130	2.62879	0.233116	0
131	2.64922	0.232216	0
132	2.78149	0.226627	0
133	2.80765	0.225569	0
134	2.89829	0.222014	0
135	3.13549	0.213451	0
136	3.28519	0.208531	0
137	3.31676	0.207536	0
138	3.37222	0.205823	0
139	3.42936	0.204101	0
140	3.50083	0.202007	0
141	3.46574	0.203027	0
142	3.44773	0.203556	0
143	3.42472	0.204239	0
144	3.46574	0.203027	0
145	3.50942	0.201759	0
146	3.50514	0.201882	0
147	3.55535	0.200452	0
148	3.59926	0.199225	0
149	3.53056	0.201154	0
150	3.55535	0.200452	0
151	3.55535	0.200452	0
152	3.71008	0.196227	0
153	3.86222	0.192323	0
154	4.07754	0.187177	0
155	4.33822	0.181466	0
156	4.74618	0.173492	0
157	4.90845	0.1706	0
158	5.00299	0.16898	0
159	5.25002	0.164957	0
160	5.39622	0.162707	0
161	5.58832	0.159886	0
162	5.7607	0.157476	0
163	5.84809	0.156295	0
164	6	0.154303	0
165	6.076	0.153335	0
166	6.09099	0.153147	0
167	6.14602	0.152459	0
168	6.22229	0.151522	0
169	6.33125	0.150213	0
170	6.32845	0.150246	0
171	6.39454	0.149467	0
172	6.48245	0.14845	0
173	6.51894	0.148034	0
174	6.56707	0.147491	0
175	6.61089	0.147001	0
176	6.59011	0.147233	0
177	6.69897	0.146032	0
178	6.70459	0.14597	0
179	6.68818	0.146149	0
180	6.75194	0.145458	0
181	6.75859	0.145386	0
182	6.75627	0.145411	0
183	6.77943	0.145162	0
184	6.7576	0.145397	0
185	6.72829	0.145713	0
186	6.76487	0.145319	0
187	6.75544	0.14542	0
188	6.77161	0.145246	0
189	6.83426	0.144579	0
190	6.85496	0.144361	0
191	6.84299	0.144487	0
192	6.87346	0.144166	0
193	6.86857	0.144217	0
194	6.85691	0.14434	0
195	6.86946	0.144208	0
196	6.84755	0.144439	0
197	6.89032	0.14399	0
198	6.92039	0.143676	0
199	6.9575	0.143293	0
200	6.98524	0.143008	0
201	6.9989	0.142868	0
202	7.00125	0.142844	0
203	7.01635	0.142691	0
204	7.06842	0.142164	0
205	7.11663	0.141682	0
206	7.15137	0.141337	0
207	7.14733	0.141377	0
208	7.20234	0.140836	0
209	7.31131	0.139783	0
210	7.38248	0.139107	0
211	7.38505	0.139083	0
212	7.52348	0.137798	0
213	7.58615	0.137227	0
214	7.6622	0.136545	0
215	7.71888	0.136042	0
216	7.72911	0.135952	0
217	7.80297	0.135307	0
218	7.91795	0.134321	0
219	7.95517	0.134007	0
220	8.01665	0.133492	0
221	8.10285	0.13278	0
222	8.18292	0.132129	0
223	8.24984	0.131592	0
224	8.30159	0.131181	0
225	8.35036	0.130797	0
226	8.37685	0.13059	0
227	8.42752	0.130197	0
228	8.43223	0.130161	0
229	8.42367	0.130227	0
230	8.42364	0.130227	0
231	8.43573	0.130134	0
232	8.42068	0.13025	0
233	8.4069	0.130357	0
234	8.44855	0.130035	0
235	8.48056	0.129789	0
236	8.49073	0.129711	0
237	8.50775	0.129582	0
238	8.48862	0.129728	0
239	8.47563	0.129827	0
240	8.47807	0.129808	0
